Date,y
2007-11-30,440.0
2007-11-30,440.0
2008-01-18,397.0
2008-04-03,404.0
2008-07-02,443.0
2008-10-07,422.0
2009-01-05,453.0
2009-04-01,491.0
2009-07-01,542.0
2009-10-05,520.0
2010-01-06,518.0
2010-04-05,554.0
2010-07-07,638.0
2010-10-06,696.0
2011-01-04,1215.0
2011-04-04,511.0
2011-08-02,690.0
2011-10-05,606.0
2012-01-05,652.0
2012-04-11,630.0
2012-07-27,578.0
2012-10-03,510.0
2013-01-17,416.0
2013-04-15,479.0
2013-07-12,580.0
2013-10-02,480.0
2014-02-12,480.0
2014-04-07,480.0
2014-07-10,500.0
2014-10-09,510.0
2015-01-21,430.0
2015-04-06,450.0
2015-07-27,450.0
2015-10-29,450.0
2016-02-22,380.0
2016-05-06,400.0
2016-08-31,450.0
2016-12-07,450.0
2017-02-02,420.0
2017-04-12,420.0
2017-08-24,370.0
2017-10-30,410.0
2018-02-22,390.0
2018-05-25,390.0
2018-08-17,370.0
2018-11-21,340.0
2019-03-19,340.0
2019-04-24,320.0
2019-07-26,360.0
2019-10-09,430.0
