Year,Month,Concentration
1986,1,12.1650837949839
1986,2,12.1650837949839
1986,3,12.1650837949839
1986,4,12.1650837949839
1986,5,12.1650837949839
1986,6,12.1650837949839
1986,7,12.1650837949839
1986,8,12.1650837949839
1986,9,12.1650837949839
1986,10,12.1650837949839
1986,11,12.1650837949839
1986,12,12.1650837949839
1987,1,12.1617315014458
1987,2,12.1567030611387
1987,3,12.1567030611387
1987,4,12.1567030611387
1987,5,12.15452187811
1987,6,12.15452187811
1987,7,12.1538055929399
1987,8,12.1536265216474
1987,9,12.1536265216474
1987,10,12.1534082107047
1987,11,12.1525349669341
1987,12,12.1525349669341
1988,1,12.1469364615471
1988,2,12.1432041246224
1988,3,12.1432041246224
1988,4,12.1432041246224
1988,5,12.1423272165015
1988,6,12.139696492139
1988,7,12.139696492139
1988,8,12.138262488979
1988,9,12.1364024384023
1988,10,12.1344590663777
1988,11,12.1344590663777
1988,12,12.0852516554939
1989,1,12.072949802773
1989,2,12.0719668476501
1989,3,12.0094547204125
1989,4,11.7930388901293
1989,5,11.7930388901293
1989,6,11.7914553168471
1989,7,11.7504390873783
1989,8,11.751488196704
1989,9,11.751488196704
1989,10,11.6779422910837
1989,11,11.656011302229
1989,12,11.6548266394574
1990,1,11.591508469809
1990,2,11.530485240163
1990,3,11.530485240163
1990,4,11.4579126303506
1990,5,10.7739786197945
1990,6,10.7716721151481
1990,7,10.7026356612665
1990,8,10.5477719913266
1990,9,10.5412076450951
1990,10,10.5161547461251
1990,11,10.4475667815604
1990,12,10.4204342235304
1991,1,10.4194319072726
1991,2,10.3782688151896
1991,3,10.3702741941466
1991,4,10.3702741941466
1991,5,10.3195300798795
1991,6,10.3095906130034
1991,7,10.3095906130034
1991,8,10.270411491927
1991,9,10.2651896060514
1991,10,10.2528074189329
1991,11,10.215397430322
1991,12,10.2142265360948
1992,1,10.2139187072902
1992,2,10.0707726867066
1992,3,10.0692999603728
1992,4,10.0586388072079
1992,5,10.0208987353844
1992,6,9.99730640959939
1992,7,9.99548888040975
1992,8,9.99393527810403
1992,9,9.98969314064141
1992,10,9.99062356673648
1992,11,9.99284974528471
1992,12,9.97778369617092
1993,1,9.97778369617092
1993,2,9.97295181563342
1993,3,9.97089038058608
1993,4,9.97079906967221
1993,5,9.97141427892975
1993,6,9.98626223469972
1993,7,9.98783054341392
1993,8,9.98938099029259
1993,9,9.98697494171472
1993,10,9.98697494171472
1993,11,9.98758365575801
1993,12,9.98940979788789
1994,1,9.98983378977179
1994,2,9.99110576542346
1994,3,9.99110576542346
1994,4,9.99638330069819
1994,5,10.0174934417971
1994,6,10.0174934417971
1994,7,10.0160785479974
1994,8,10.0151352854642
1994,9,10.0154811804683
1994,10,10.0188234113515
1994,11,10.0195380204347
1994,12,10.0209448349299
1995,1,10.0303145447395
1995,2,10.0387463782188
1995,3,10.0516915655241
1995,4,10.0642822428652
1995,5,10.0839483852508
1995,6,10.0849860302031
1995,7,10.0849533193253
1995,8,10.084855186692
1995,9,10.084855186692
1995,10,10.084855186692
1995,11,10.0873253156868
1995,12,10.0876162810213
1996,1,10.090682539044
1996,2,10.0924290202726
1996,3,10.0929234804238
1996,4,10.0902393621572
1996,5,10.0836338593173
1996,6,10.0824124832409
1996,7,10.0925007195832
1996,8,10.1017003529834
1996,9,10.0984944575582
1996,10,10.0993928158231
1996,11,10.1309085458236
1996,12,10.1604420837701
1997,1,10.1616892798737
1997,2,10.1739132741263
1997,3,10.1775055917364
1997,4,10.1799985461202
1997,5,10.189706816916
1997,6,10.2465382990582
1997,7,10.2465382990582
1997,8,10.2485168215602
1997,9,10.2442327163917
1997,10,10.2165478288913
1997,11,10.216058748712
1997,12,10.2185666292288
1998,1,10.1851297915116
1998,2,10.1650858671516
1998,3,10.161148876631
1998,4,10.1672432541245
1998,5,10.1709400117392
1998,6,10.1715180494551
1998,7,10.1721428106656
1998,8,10.1733764518113
1998,9,10.1715875858271
1998,10,10.1737763952894
1998,11,10.1747899196889
1998,12,10.1832402333058
1999,1,10.1820977099338
1999,2,10.1866274742099
1999,3,10.2458975776934
1999,4,10.2742927439309
1999,5,10.2680733186977
1999,6,10.2792006018377
1999,7,10.3024870931856
1999,8,10.3010690742604
1999,9,10.2973275867665
1999,10,10.2879798691684
1999,11,10.2577500625864
1999,12,10.2343809011972
2000,1,10.2029411887967
2000,2,10.2202425484519
2000,3,10.2359608033119
2000,4,10.2453098600629
2000,5,10.2674851859425
2000,6,10.2918780145804
2000,7,10.318881424756
2000,8,10.3541154775497
2000,9,10.4260359451585
2000,10,10.4673098529257
2000,11,10.4764335835894
2000,12,10.4525542501217
2001,1,10.4104286762889
2001,2,10.3529361574928
2001,3,10.3721389408816
2001,4,10.3477652591806
2001,5,10.33111870786
2001,6,10.2943574077298
2001,7,10.1959640251515
2001,8,10.0291035556053
2001,9,9.98298942366659
2001,10,9.94007284223827
2001,11,9.88766669974157
2001,12,9.88955217484517
2002,1,9.89035750450712
2002,2,9.88706639262899
2002,3,9.90058408504831
2002,4,9.83876293535386
2002,5,9.75801300107172
2002,6,9.73864794831756
2002,7,9.73750075643652
2002,8,9.69812475884337
2002,9,9.63423776378881
2002,10,9.60584940345016
2002,11,9.59545826810733
2002,12,9.59176429347149
2003,1,9.60373537281806
2003,2,9.62354580586651
2003,3,9.62194039333125
2003,4,9.61730880425026
2003,5,9.6166134510725
2003,6,9.60630037308989
2003,7,9.62183161591819
2003,8,9.68080280780145
2003,9,9.64570889879744
2003,10,9.64627771625814
2003,11,9.63711608650133
2003,12,9.63252100966233
2004,1,7.04146817357084
2004,2,5.32485765467215
2004,3,5.33836183622838
2004,4,5.33777225307184
2004,5,5.33447048878333
2004,6,5.33310467698635
2004,7,5.33827058519157
2004,8,5.34564079568141
2004,9,5.34597701268165
2004,10,5.33768257872763
2004,11,5.32436714954553
2004,12,5.31992103481108
2005,1,5.2927367804492
2005,2,5.26155200959648
2005,3,5.26150355369928
2005,4,5.26247588106982
2005,5,5.26241889953903
2005,6,5.2591923779618
2005,7,5.25700084847222
2005,8,5.24070660764048
2005,9,5.23877277767396
2005,10,5.23616190780699
2005,11,5.24822582988361
2005,12,5.24794229266251
2006,1,5.24686163685902
2006,2,5.24122188338614
2006,3,5.24184705037699
2006,4,5.23731379308193
2006,5,5.22992349082798
2006,6,5.22688556462679
2006,7,5.22563235681763
2006,8,5.20973261401695
2006,9,5.21076142325243
2006,10,5.20895250312378
2006,11,5.20211923725681
2006,12,5.19758483075391
2007,1,5.19689975620553
2007,2,5.18713063258651
2007,3,5.18523328679891
2007,4,5.17112462590335
2007,5,5.16891937288361
2007,6,5.16950229028681
2007,7,5.16702482848096
2007,8,5.17447883548832
2007,9,5.17538820887777
2007,10,5.17503832365917
2007,11,5.17503832365917
2007,12,5.17309156307461
2008,1,5.1669293307959
2008,2,5.1666828141182
2008,3,5.16545478167907
2008,4,5.16447729284712
2008,5,5.16504103118573
2008,6,5.16504103118573
2008,7,5.13664452667875
2008,8,5.13385902770673
2008,9,5.04468767779125
2008,10,5.01050563530953
2008,11,5.00259525239844
2008,12,4.99768614258455
2009,1,4.9817900178244
2009,2,4.93293985522774
2009,3,4.89485846214937
2009,4,4.89492939554425
2009,5,4.89472512350917
2009,6,4.89472512350917
2009,7,4.88939521546415
2009,8,4.82405728299451
2009,9,4.82019798340069
2009,10,4.79299349319661
2009,11,4.78578245580189
2009,12,4.77326519242767
2010,1,4.7516559413958
2010,2,4.71250267247236
2010,3,4.70803744250806
2010,4,4.70567803836055
2010,5,4.70567803836055
2010,6,4.69928577167299
2010,7,4.69114402030582
2010,8,4.65476319988384
2010,9,4.60130514532832
2010,10,4.60138451305829
2010,11,4.60322338259841
2010,12,4.60118776843493
2011,1,4.59958590056739
2011,2,4.56708458951933
2011,3,4.51169649946951
2011,4,4.51512872977331
2011,5,4.51604128748215
2011,6,4.51540694259646
2011,7,4.50879561686624
2011,8,4.48923933021073
2011,9,4.25720946216803
2011,10,4.23209008615291
2011,11,4.22717262280845
2011,12,4.2240841452913
2012,1,4.21792932850241
2012,2,4.1785198747301
2012,3,4.0986854449984
2012,4,4.04196341323551
2012,5,3.97179688023827
2012,6,3.95996233481932
2012,7,3.90997508638445
2012,8,3.83659598401508
2012,9,3.80718673976265
2012,10,3.79973906222357
2012,11,3.79920560543455
2012,12,3.80600641347286
2013,1,3.80581381245416
2013,2,3.80288878489155
2013,3,3.80177111391895
2013,4,3.81158715852371
2013,5,3.82826104376432
2013,6,3.83701498558376
2013,7,3.83334421523847
