Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0.712190458529302
1990,11,2.8772419540946
1990,12,2.91634515304885
1991,1,2.91857167005416
1991,2,2.98535500191814
1991,3,3.08209739248711
1991,4,3.10020439568522
1991,5,3.25595073280579
1991,6,3.26036411122858
1991,7,3.25862619534072
1991,8,6949.19772248325
1991,9,11518.5897525649
1991,10,11476.4653267422
1991,11,3.27025711993457
1991,12,3.28130656598863
1992,1,3.28177276657719
1992,2,3.32669245040867
1992,3,3.33074256694244
1992,4,3.37424205578218
1992,5,3.42380324830547
1992,6,3.40906628895832
1992,7,3.41553618188631
1992,8,3.4265710573058
1992,9,3.42809597271853
1992,10,3.42846149773633
1992,11,3.44666493219474
1992,12,3.45107177207697
1993,1,3.4509964484429
1993,2,3.45995050396642
1993,3,3.50030934887783
1993,4,3.50035377459289
1993,5,3.50188930587393
1993,6,9725.9435113974
1993,7,9712.14104934592
1993,8,9586.10999258961
1993,9,9514.37453383794
1993,10,9432.3171786397
1993,11,9305.34649129279
1993,12,9201.85863131609
1994,1,9153.87248121382
1994,2,9108.20431947036
1994,3,9016.94905538948
1994,4,8827.45360292917
1994,5,8619.68277058133
1994,6,8293.12628901828
1994,7,7530.38870655818
1994,8,7462.16640387166
1994,9,7379.23201486169
1994,10,7217.05445949888
1994,11,7138.53300345649
1994,12,7122.62507463255
1995,1,7116.78680835194
1995,2,7114.84071959174
1995,3,7124.37013513859
1995,4,7104.46371567548
1995,5,7090.17985041495
1995,6,7083.76719610245
1995,7,7083.76719610245
1995,8,7082.74687488061
1995,9,7084.28595562759
1995,10,7103.16006195135
1995,11,7103.16006195135
1995,12,7108.98658553721
1996,1,7105.40362519925
1996,2,7102.26808827651
1996,3,7102.26808827651
1996,4,7099.98516595627
1996,5,7099.22419184953
1996,6,7099.22419184953
1996,7,7094.03904737314
1996,8,7082.68763541914
1996,9,7058.90995032888
1996,10,7043.80694006765
1996,11,7059.93047130121
1996,12,7060.22202113987
1997,1,7034.70780660559
1997,2,7014.88008143801
1997,3,7006.87781505617
1997,4,6997.34731657446
1997,5,6998.45177668743
1997,6,6998.45177668743
1997,7,3.47624183374271
1997,8,3.5000336001786
1997,9,3.56600754630963
1997,10,3.6322487279353
1997,11,3.71645683237224
1997,12,3.72816515434601
1998,1,3.71875493233338
1998,2,1694.37217303368
1998,3,6786.31561326406
1998,4,6884.92909163191
1998,5,6896.86571864022
1998,6,6935.0380497672
1998,7,6868.71611614901
1998,8,6823.31842414693
1998,9,6747.77781986305
1998,10,6634.29572233164
1998,11,6542.40807097301
1998,12,1633.40651544723
1999,1,23.6162031595081
1999,2,24.2916833926005
1999,3,25.7657421248445
1999,4,27.0313403064171
1999,5,27.5085833053251
1999,6,27.5497242186681
1999,7,27.2914192057643
1999,8,27.2101111220629
1999,9,27.461197491776
1999,10,28.1502387309902
1999,11,28.2900790414331
1999,12,29.0674031954635
2000,1,29.8795476892603
2000,2,29.8524076201472
2000,3,30.6133686797072
2000,4,31.3633990755088
2000,5,31.7855842578618
2000,6,31.9298261606537
2000,7,32.0945959078539
2000,8,32.2427567926763
2000,9,32.3803660732829
2000,10,32.7587709684753
2000,11,32.8979896927191
2000,12,33.1808675390936
2001,1,33.6335113112838
2001,2,34.1250604484863
2001,3,34.0039499882174
2001,4,33.7002645156576
2001,5,33.8704201015519
2001,6,34.4089302256013
2001,7,34.1425193188583
2001,8,33.1953024882964
2001,9,33.6164501090657
2001,10,34.2827281967727
2001,11,36.6447973689579
2001,12,37.143106190233
2002,1,37.3397978092725
2002,2,37.4864889221368
2002,3,17.0072434880223
2002,4,3.39784406839145
2002,5,3.4042861963136
2002,6,3.39440761135295
2002,7,3.39537114862606
2002,8,3.38075703790436
2002,9,3.36615687646113
2002,10,3.3577007650229
2002,11,2468.31956185366
2002,12,3080.13042061534
2003,1,3073.4733808723
2003,2,3065.53399685768
2003,3,3004.40663207039
2003,4,2987.01268372748
2003,5,2944.66366844551
2003,6,2940.71189382638
2003,7,2938.85367690683
2003,8,2934.32813519996
2003,9,2926.64856149757
2003,10,2912.50158563025
2003,11,2909.35515469479
2003,12,2906.20449780667
2004,1,2905.60968677612
