Year,Month,Concentration
1986,1,12.5896389628484
1986,2,12.5896389628484
1986,3,12.5896389628484
1986,4,12.5896389628484
1986,5,12.5896389628484
1986,6,12.5896389628484
1986,7,12.5896389628484
1986,8,12.5896389628484
1986,9,12.5896389628484
1986,10,12.5853934454638
1986,11,12.5853934454638
1986,12,12.5853934454638
1987,1,12.5850186668597
1987,2,12.5844564989535
1987,3,12.5834119229326
1987,4,12.5802781948699
1987,5,12.5802781948699
1987,6,12.5802781948699
1987,7,12.5802781948699
1987,8,12.5802781948699
1987,9,12.5802781948699
1987,10,12.5802781948699
1987,11,12.5793854634723
1987,12,12.5797915871103
1988,1,12.5800261540338
1988,2,12.5800261540338
1988,3,12.5828171328569
1988,4,12.5826680852738
1988,5,12.5734954509958
1988,6,12.5644221817732
1988,7,12.5658038659818
1988,8,12.5663262874032
1988,9,12.5664445748129
1988,10,12.566523433086
1988,11,12.5672492499719
1988,12,12.5677725515973
1989,1,12.5644487127048
1989,2,12.573034089129
1989,3,12.5777952682145
1989,4,12.5717754767425
1989,5,12.5717754767425
1989,6,12.5717754767425
1989,7,12.5717754767425
1989,8,12.5717754767425
1989,9,12.5717754767425
1989,10,12.5727289052013
1989,11,12.5762266198484
1989,12,12.5762266198484
1990,1,12.5634853055422
1990,2,12.5459305451439
1990,3,12.5572485862717
1990,4,12.5731163605378
1990,5,12.4454508267906
1990,6,12.4454508267906
1990,7,12.4422529984421
1990,8,12.4414053041928
1990,9,12.4414053041928
1990,10,12.4390421236741
1990,11,12.4267935010905
1990,12,12.4239219358048
1991,1,12.4146932726937
1991,2,12.4034271205816
1991,3,12.4034268244328
1991,4,12.4042117949932
1991,5,12.4168164651502
1991,6,12.4180607760582
1991,7,12.422687175474
1991,8,12.4015273646243
1991,9,12.3891786099634
1991,10,12.3790466166612
1991,11,12.334908551487
1991,12,12.3345392276755
1992,1,12.3012454983863
1992,2,12.1724413296777
1992,3,12.1683789208092
1992,4,12.08699416905
1992,5,11.8448898947197
1992,6,11.8093871925806
