Year,Month,Concentration
1986,1,133.121044020678
1986,2,133.121044020678
1986,3,133.121044020678
1986,4,133.121044020678
1986,5,133.121044020678
1986,6,133.121044020678
1986,7,133.121044020678
1986,8,133.121044020678
1986,9,133.121044020678
1986,10,133.121044020678
1986,11,133.121044020678
1986,12,133.121044020678
1987,1,133.121044020678
1987,2,133.121044020678
1987,3,133.121044020678
1987,4,133.121044020678
1987,5,133.121044020678
1987,6,133.121044020678
1987,7,133.121044020678
1987,8,133.121044020678
1987,9,133.121044020678
1987,10,133.121044020678
1987,11,133.121044020678
1987,12,133.121044020678
1988,1,133.121044020678
1988,2,133.121044020678
1988,3,133.121044020678
1988,4,133.121044020678
1988,5,133.121044020678
1988,6,133.121044020678
1988,7,133.121044020678
1988,8,133.140725309388
1988,9,133.160406598098
1988,10,133.160406598098
1988,11,133.160406598098
1988,12,133.29503534819
1989,1,133.303640072713
1989,2,133.303640072713
1989,3,133.306168313977
1989,4,133.316281279037
1989,5,133.316281279037
1989,6,133.316281279037
1989,7,133.369336946377
1989,8,133.422392613718
1989,9,133.422392613718
1989,10,133.428148200386
1989,11,133.445414960391
1989,12,133.445414960391
1990,1,133.444698683927
1990,2,133.442549854536
1990,3,133.442549854536
1990,4,133.442549854536
1990,5,133.420742978077
1990,6,133.420742978077
1990,7,133.420742978077
1990,8,133.438649348173
1990,9,133.438649348173
1990,10,133.383512495823
1990,11,133.369005036174
1990,12,133.369005036174
1991,1,133.369005036174
1991,2,133.355176671934
1991,3,133.350567217187
1991,4,133.350567217187
1991,5,133.261370320048
1991,6,133.261370320048
1991,7,133.261370320048
1991,8,133.261370320048
1991,9,133.261370320048
1991,10,133.261370320048
1991,11,133.261370320048
1991,12,133.261370320048
1992,1,133.261370320048
1992,2,133.261370320048
1992,3,133.261370320048
1992,4,133.261370320048
1992,5,133.261370320048
1992,6,133.261370320048
1992,7,133.261370320048
1992,8,133.261370320048
1992,9,133.261370320048
1992,10,133.261370320048
1992,11,133.296081415769
1992,12,133.307651781009
1993,1,133.307651781009
1993,2,133.307651781009
1993,3,133.307651781009
1993,4,133.307651781009
1993,5,133.307651781009
1993,6,133.307651781009
1993,7,133.307651781009
1993,8,133.307651781009
1993,9,133.307651781009
1993,10,133.307651781009
1993,11,133.307651781009
1993,12,133.307651781009
1994,1,133.307651781009
1994,2,133.307651781009
1994,3,133.307651781009
1994,4,133.307651781009
1994,5,133.307651781009
1994,6,133.307651781009
1994,7,133.291339894488
1994,8,133.287261922858
1994,9,133.287261922858
1994,10,133.287261922858
1994,11,133.287261922858
1994,12,133.287261922858
1995,1,133.287261922858
1995,2,133.287261922858
1995,3,133.287261922858
1995,4,133.292376605699
1995,5,133.307720654221
1995,6,133.307720654221
1995,7,133.307720654221
1995,8,133.307720654221
1995,9,133.307720654221
1995,10,133.307720654221
1995,11,133.307720654221
1995,12,133.307720654221
1996,1,133.307720654221
1996,2,133.491653553181
1996,3,133.498692066788
1996,4,133.498692066788
1996,5,133.498692066788
1996,6,133.498692066788
1996,7,133.498692066788
1996,8,133.498692066788
1996,9,133.498692066788
1996,10,133.498692066788
1996,11,133.498692066788
1996,12,133.498692066788
1997,1,133.491082548538
1997,2,133.489286630248
1997,3,133.519834135122
1997,4,133.530016636746
1997,5,133.530016636746
1997,6,133.565077254276
1997,7,133.670259106865
1997,8,133.802421325561
1997,9,133.802421325561
1997,10,133.856321851115
1997,11,133.883611234602
1997,12,133.919099127411
1998,1,133.921821174031
1998,2,133.92681883992
1998,3,133.92681883992
1998,4,133.943098184746
1998,5,133.928208853687
1998,6,133.884686017861
1998,7,133.885762743861
1998,8,133.885762743861
1998,9,133.882996899542
1998,10,133.911874390545
1998,11,133.91530490641
1998,12,133.900845885921
1999,1,133.898456075462
1999,2,133.89686286849
1999,3,133.89686286849
1999,4,133.89686286849
1999,5,133.89686286849
1999,6,133.844206647351
1999,7,133.824682549797
1999,8,133.881473901567
1999,9,133.70947596541
1999,10,133.680317726034
1999,11,133.678521269774
1999,12,133.678521269774
2000,1,133.678521269774
2000,2,133.678521269774
2000,3,133.678521269774
2000,4,133.678521269774
2000,5,133.678521269774
2000,6,133.921627962263
2000,7,134.388439690962
2000,8,134.700657476142
2000,9,135.147198770084
2000,10,135.103450235637
2000,11,135.280061653755
2000,12,134.718792775903
2001,1,134.464491475346
2001,2,134.613939532026
2001,3,135.36195140357
2001,4,134.043485175753
2001,5,133.161453242556
2001,6,133.102623226859
2001,7,133.162826673053
2001,8,133.046972821288
2001,9,131.944877219077
2001,10,131.267985188177
2001,11,130.684688594926
2001,12,130.573571075522
2002,1,130.56918156586
2002,2,130.515064349556
2002,3,130.498482006692
2002,4,130.498482006692
2002,5,130.501454543286
2002,6,130.506320883291
2002,7,130.510338321745
2002,8,130.517524297104
2002,9,130.72385756686
2002,10,131.2900612285
2002,11,131.353263345687
2002,12,131.327419189489
2003,1,131.277676214035
2003,2,131.100364998902
2003,3,130.900371465658
2003,4,131.766742237107
2003,5,130.611087253953
2003,6,130.926178781984
2003,7,132.535295004597
2003,8,135.194960256468
2003,9,135.220396281821
2003,10,136.13999007048
2003,11,137.798043006749
2003,12,137.907079881044
2004,1,139.027434623069
2004,2,139.201825426251
2004,3,139.193635593895
2004,4,138.038443506981
2004,5,136.516855019468
2004,6,136.004578680563
2004,7,135.468846372877
2004,8,135.544503779284
2004,9,136.298948061767
2004,10,136.154140557969
2004,11,136.958976469369
2004,12,137.331265810903
2005,1,136.713105021055
2005,2,135.980193382706
2005,3,135.833412221342
2005,4,135.016641984998
2005,5,132.681377349094
2005,6,130.916778955149
2005,7,130.858572731746
2005,8,130.434396937409
2005,9,126.976965563576
2005,10,126.202593775505
2005,11,126.186134081445
2005,12,126.139948171753
2006,1,124.591587281173
2006,2,123.687707715406
2006,3,123.972353381513
2006,4,123.222429875568
2006,5,123.105737289152
2006,6,122.544453661736
2006,7,122.119403679963
2006,8,121.152982682453
2006,9,120.124796201263
2006,10,118.8110518262
