Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,949.382726131743
1998,12,3782.53062042826
1999,1,3794.0074065811
1999,2,3793.137617086
1999,3,3800.94339304038
1999,4,3814.20865509726
1999,5,3822.90454505667
1999,6,3821.86102046029
1999,7,3807.99138774554
1999,8,3793.46822900832
1999,9,3781.52813303979
1999,10,3784.00278034236
1999,11,3778.28773725955
1999,12,3778.78590085968
2000,1,3840.04781491147
2000,2,3936.48522491619
2000,3,3955.98881016977
2000,4,3967.20657065208
2000,5,4037.42873575284
2000,6,4609.87965498505
2000,7,4726.2225043147
2000,8,4694.07587681092
2000,9,4615.5461469244
2000,10,4635.39398897244
2000,11,4894.68419828467
2000,12,4915.46262668216
2001,1,4840.50279611193
2001,2,4801.47104491478
2001,3,3797.58274303598
2001,4,0
2001,5,0
2001,6,889.435688551843
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,905.144890311578
2002,2,3523.1500160503
2002,3,3385.14247337948
2002,4,3310.4082552959
2002,5,3158.22559795224
2002,6,3040.21480348443
2002,7,2239.00460140959
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,5.66897470576725
2003,8,5.6691495092408
2003,9,5.67085711221206
2003,10,5.67315456585068
2003,11,5.67927620373737
2003,12,5.69229837883489
2004,1,5.71714143628897
2004,2,5.74215444618244
2004,3,5.74752557209438
2004,4,5.74478141507829
2004,5,5.7214788484144
2004,6,5.71316813686405
2004,7,5.71501168981586
2004,8,5.71593754239805
2004,9,5.71626845505111
2004,10,5.71904227868726
2004,11,5.72021054528715
2004,12,5.72057231446064
2005,1,5.71807680767663
2005,2,5.71629285676428
2005,3,5.71629285676428
2005,4,5.71758079523466
2005,5,5.72120999501445
2005,6,5.72722048634332
2005,7,5.73357229734537
2005,8,5.73771668242415
2005,9,5.73771072150517
2005,10,5.74932227130019
2005,11,5.77835774933507
2005,12,5.78494417545677
2006,1,5.78704913872385
2006,2,5.79417871196983
2006,3,5.79561817379001
2006,4,5.80090425198813
2006,5,5.80281827103496
2006,6,5.80834790142922
2006,7,5.81676879125774
2006,8,5.82056253446078
2006,9,5.83546671152427
2006,10,5.84012436302049
2006,11,5.84212095939791
2006,12,5.84267246625442
2007,1,5.84485812519675
2007,2,5.84724267063235
2007,3,5.84724267063235
2007,4,5.84872434667806
2007,5,5.85396838318007
2007,6,5.85675928684292
2007,7,5.86373944211763
2007,8,5.87054642248245
2007,9,5.87868930816013
2007,10,5.90415236713352
2007,11,5.9134962671371
2007,12,5.91876396371648
2008,1,5.92444008574856
2008,2,5.92632668933168
2008,3,5.93570961506447
2008,4,5.93571127952801
2008,5,5.93488994475791
2008,6,5.93503919509449
2008,7,5.93967184054065
