Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,2.65370622320513
1998,11,2.6531311129915
1998,12,2.664461421961
1999,1,2.66857018463327
1999,2,2.66169620440847
1999,3,2.66495666127306
1999,4,2.69627617977049
1999,5,2.70366600862164
1999,6,2.70601674465304
1999,7,2.70630392078078
1999,8,2.70586857126949
1999,9,2.6996509460078
1999,10,2.68851563202138
1999,11,2.67347325515225
1999,12,2.6707338736761
2000,1,2.66748129096239
2000,2,2.66769473693759
2000,3,2.67791214021448
2000,4,2.69233815192824
2000,5,2.6951644056922
2000,6,2.6906423067372
2000,7,2.71255935181072
2000,8,2.7207227344125
2000,9,2.72416721589873
2000,10,2.73075324848322
2000,11,2.73026128007811
2000,12,2.72804493028944
2001,1,2.73526535554373
2001,2,2.75288293692068
2001,3,2.75882110566965
2001,4,2.74948877803141
2001,5,2.75392730849057
2001,6,2.75988909047219
2001,7,2.75913108624793
2001,8,2.74435231139006
2001,9,2.74977989308904
2001,10,2.78668830375765
2001,11,2.79678994959518
2001,12,2.81884939703011
2002,1,2.84419777664304
2002,2,2.85702331485806
2002,3,2.86813335955801
2002,4,2.88457825130517
2002,5,2.91566351816261
2002,6,2.92420782363927
2002,7,2.9273139290726
2002,8,2.93489903561641
2002,9,2.94830639895578
2002,10,2.95204963748981
2002,11,2.95825806625539
2002,12,2.97813340425414
2003,1,2.9991193918553
2003,2,3.01764759334109
2003,3,3.02650233154133
2003,4,3.01805868872154
2003,5,3.01282782204081
2003,6,3.0114707830382
2003,7,3.01200827041434
2003,8,3.00883095046875
2003,9,3.00680228969557
2003,10,3.00813838889282
2003,11,3.00686640006736
2003,12,2.99824874069621
2004,1,2.99941689350464
2004,2,3.00416968388252
2004,3,3.00012612143359
2004,4,2.99513194483925
2004,5,2.99299910821824
2004,6,3.0180458893074
2004,7,3.02380020474306
2004,8,3.06612052594707
2004,9,3.11958628756616
2004,10,3.11840702551255
2004,11,3.12127004864792
2004,12,3.12350790763838
2005,1,3.1288388159789
2005,2,3.16172960921366
2005,3,3.17439143752424
2005,4,3.19706776997187
2005,5,3.19813920872359
2005,6,3.11467668961382
2005,7,3.12279455029417
2005,8,3.52107797165308
2005,9,3.55981449499245
2005,10,3.60117359895634
2005,11,3.645960324677
2005,12,3.66615934228962
2006,1,3.66821533052254
2006,2,3.66952927733321
2006,3,3.68407129621883
2006,4,3.7275283938465
2006,5,3.75792269209229
2006,6,3.80571498126838
2006,7,3.62496816660637
2006,8,3.4990285723008
2006,9,31.886966187055
2006,10,38.5877362185514
2006,11,38.6758651664435
2006,12,39.0094955344581
2007,1,39.6383434591872
2007,2,40.1788231121182
2007,3,40.8494096952743
2007,4,41.4310782022709
2007,5,42.7611666442346
2007,6,42.9964908024871
2007,7,42.4631837183245
2007,8,42.132975992064
2007,9,42.3965796924287
