Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0.517727844331081
2000,8,0.518239252522057
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,366.427029212524
2003,8,489.31147575946
2003,9,488.479914736487
2003,10,487.867477889947
2003,11,487.491648833789
2003,12,486.752388202969
2004,1,486.424355007332
2004,2,486.146251559803
2004,3,485.794822607878
2004,4,484.806565113501
2004,5,483.041295532939
2004,6,482.429366364718
2004,7,481.586824898435
2004,8,481.32460130042
2004,9,480.787424378249
2004,10,480.841588451031
2004,11,480.570639185769
2004,12,480.483968516163
2005,1,480.692765047392
2005,2,481.44443590197
2005,3,481.39424474917
2005,4,482.349981010364
2005,5,483.000569950704
2005,6,483.186940747641
2005,7,483.88643404639
2005,8,484.455788477529
2005,9,484.629150105266
2005,10,485.320896079611
2005,11,486.388157440785
2005,12,487.555255196721
2006,1,487.349246040324
2006,2,487.276073477894
2006,3,487.696916462126
2006,4,487.815978857806
2006,5,488.690934811038
2006,6,488.429461655229
2006,7,490.901614421568
2006,8,495.579808200497
2006,9,501.688487882081
2006,10,503.851723857245
2006,11,504.853403654617
2006,12,505.61111574765
2007,1,506.530319387299
2007,2,506.676112429484
2007,3,506.851190351503
2007,4,507.379620047195
2007,5,509.49537368834
2007,6,512.095753386581
2007,7,513.588662995821
2007,8,515.833739017947
2007,9,519.90904388005
2007,10,521.813105629347
2007,11,522.146055196602
2007,12,522.322116236105
2008,1,522.235711751285
2008,2,522.905555198923
2008,3,523.176703819571
2008,4,523.710633191848
2008,5,524.464365219815
2008,6,525.116304329292
2008,7,525.415413686294
2008,8,525.344859215613
2008,9,525.533454309023
2008,10,525.785515747058
2008,11,525.639604706576
2008,12,525.915671716968
2009,1,526.80985983558
2009,2,528.131931098404
2009,3,528.305465873753
2009,4,528.320849075658
2009,5,527.444825648443
2009,6,527.453399086927
2009,7,527.649732676038
2009,8,527.239320227514
2009,9,526.309859420612
2009,10,525.659943085903
2009,11,524.517902243948
2009,12,524.958905702864
2010,1,526.211000133365
2010,2,527.214749103099
2010,3,530.448396984432
2010,4,534.761846994256
2010,5,539.209075275025
