Year,Month,Concentration
1986,1,35.8968260863148
1986,2,35.8968260863148
1986,3,35.8968260863148
1986,4,35.8968260863148
1986,5,35.9040552513731
1986,6,35.9148989989606
1986,7,35.9148989989606
1986,8,35.919184865454
1986,9,35.9256136651942
1986,10,35.9256136651942
1986,11,35.9256136651942
1986,12,35.9250295750078
1987,1,35.9232773044488
1987,2,35.9228997096739
1987,3,35.9145212886028
1987,4,35.8893860253895
1987,5,35.8772317645093
1987,6,35.8677782855363
1987,7,35.8677782855363
1987,8,35.8677782855363
1987,9,35.8917276467263
1987,10,35.893991798243
1987,11,35.885413344923
1987,12,36.0457148234136
1988,1,36.0733089968177
1988,2,36.0522354456932
1988,3,36.0522354456932
1988,4,36.0263123419453
1988,5,36.0066425813862
1988,6,36.0066425813862
1988,7,36.0090616420036
1988,8,35.9858093599436
1988,9,35.9710848244823
1988,10,35.9710848244823
1988,11,36.0422680830096
1988,12,35.844743390974
1989,1,35.7800658772947
1989,2,35.7915937186972
1989,3,35.7445119588723
1989,4,34.822005011859
1989,5,34.7390301666189
1989,6,34.7325975127116
1989,7,34.262917292686
1989,8,34.0641614098022
1989,9,34.0641614098022
1989,10,33.6020338133269
1989,11,32.0149233717079
1989,12,32.0118341824516
1990,1,31.5650619585158
1990,2,31.0140602769303
1990,3,31.0145630559593
1990,4,30.5631410506197
1990,5,29.0529773676993
1990,6,29.0520050552104
1990,7,28.888416576062
1990,8,27.9092104454202
1990,9,27.9092104454202
1990,10,27.550880358516
1990,11,26.5435213574173
1990,12,26.4785530221597
1991,1,26.2157521449422
1991,2,25.1546345244736
1991,3,24.9694599559395
1991,4,24.8180023904376
1991,5,22.1835040731288
1991,6,21.9913340279064
1991,7,21.7275848325543
1991,8,20.1944293848938
1991,9,19.2148533399089
1991,10,19.1179025554599
1991,11,18.3815422160973
1991,12,18.3598967297541
1992,1,17.7973758004036
1992,2,17.4570659583193
1992,3,17.2711948883067
1992,4,17.07147248468
1992,5,17.0068637302563
1992,6,16.9537317682783
1992,7,16.9014586394762
1992,8,16.8457252179039
1992,9,16.7411263927832
