Year,Month,Concentration
1986,1,29.0511740218006
1986,2,29.0511740218006
1986,3,29.0511740218006
1986,4,29.0511740218006
1986,5,29.0573829746845
1986,6,29.0666964040103
1986,7,29.0666964040103
1986,8,29.0692297489709
1986,9,29.0730297664119
1986,10,29.0730297664119
1986,11,29.0730297664119
1986,12,29.0730297664119
1987,1,29.0730297664119
1987,2,29.0730297664119
1987,3,29.0730297664119
1987,4,29.0730297664119
1987,5,29.0684326635631
1987,6,29.0684326635631
1987,7,29.0684326635631
1987,8,29.0684326635631
1987,9,29.0684326635631
1987,10,29.0635207812041
1987,11,29.0561529576657
1987,12,29.0561529576657
1988,1,29.0547691451464
1988,2,29.0538466034669
1988,3,29.0538466034669
1988,4,29.0538466034669
1988,5,29.0538466034669
1988,6,29.0538466034669
1988,7,29.0538466034669
1988,8,29.0835928705759
1988,9,29.1088822066847
1988,10,29.1088822066847
1988,11,29.1048930086324
1988,12,29.1043146768362
1989,1,29.1045025270582
1989,2,29.1202012107968
1989,3,29.1254341053763
1989,4,29.1075968726579
1989,5,29.1075968726579
1989,6,29.1075968726579
1989,7,29.1035028602686
1989,8,29.1021381894721
1989,9,29.1036168024899
1989,10,29.1068303663198
1989,11,29.1246299453113
1989,12,29.1246299453113
1990,1,29.1239181505448
1990,2,29.1217827662454
1990,3,29.1233803586714
1990,4,29.0392358244858
1990,5,29.0389538991265
1990,6,29.0389538991265
1990,7,29.0389538991265
1990,8,29.0506135192337
1990,9,29.0527164483061
1990,10,29.0650243929059
1990,11,29.0770933815213
1990,12,29.0957984125276
1991,1,29.0449911208307
1991,2,28.9225387954187
1991,3,28.9225387954187
1991,4,28.7588893117752
1991,5,28.5472203371393
1991,6,28.5310283301241
1991,7,28.5209156878697
1991,8,28.4141882860548
1991,9,28.3016440257759
1991,10,28.2306994291759
1991,11,28.1622300315203
1991,12,28.1073438051384
1992,1,28.0408872664897
1992,2,27.893337413815
1992,3,27.8853123509737
1992,4,27.8853123509737
1992,5,27.8807748240042
1992,6,27.83485959487
1992,7,27.7688166290285
1992,8,27.7464433582291
1992,9,27.7427547249915
1992,10,27.6636574492126
1992,11,27.5592562418266
1992,12,27.7380113918728
1993,1,27.7136566007232
1993,2,27.6961787896695
1993,3,27.8426371015923
1993,4,28.009374871639
1993,5,28.2487344749969
1993,6,28.4142998948387
1993,7,28.5300964869217
1993,8,28.6429110019599
1993,9,28.6220890260478
1993,10,28.5804358620427
1993,11,28.578690812293
1993,12,28.5463811185542
1994,1,28.5199682587986
1994,2,28.4524741126476
1994,3,28.4288224945393
1994,4,28.4166321017608
1994,5,28.4647877076736
1994,6,28.463115481619
1994,7,28.4558247306145
1994,8,28.4552562124043
1994,9,28.3563344063697
1994,10,28.3281779716359
1994,11,28.3385776210158
1994,12,28.3481347677992
1995,1,28.3524667909739
1995,2,28.3524667909739
1995,3,28.3524667909739
1995,4,28.5598676528201
1995,5,29.8560565824311
1995,6,29.8572142342496
1995,7,29.8565234616419
1995,8,29.8565234616419
1995,9,30.2335436841002
1995,10,30.9692814437819
1995,11,30.984783846464
1995,12,30.944371815359
1996,1,30.8272435428081
1996,2,30.8270739937371
1996,3,31.0838631257829
1996,4,31.4103717072617
1996,5,31.4477799710486
1996,6,31.4717072541775
1996,7,31.4550184378108
1996,8,31.4681739801234
1996,9,31.4974345130325
1996,10,31.5173785935034
1996,11,31.5179371879125
1996,12,31.5702800336159
1997,1,31.5532105496601
1997,2,31.5901556355092
1997,3,31.6858263756746
1997,4,31.7874850558419
1997,5,31.8598526436887
1997,6,31.9251985773386
1997,7,31.9271333591862
1997,8,31.923554385467
1997,9,31.7390574947423
1997,10,31.3355129436907
1997,11,30.7065823485931
1997,12,30.3926424995553
1998,1,29.4764107826941
1998,2,29.0372841181287
1998,3,28.280788998452
1998,4,27.2959911000859
1998,5,27.1508930472191
1998,6,27.1973690125189
1998,7,27.2502557626896
1998,8,27.5954582240786
1998,9,27.9735696147281
1998,10,29.0356434778809
1998,11,29.1500321418093
1998,12,29.257121552661
1999,1,29.5426540677701
1999,2,29.7279481860719
1999,3,30.2852348753209
1999,4,30.4632170256663
1999,5,30.5695035852399
1999,6,30.547713351036
1999,7,30.5065395550881
1999,8,30.3885718043972
1999,9,30.4798345504733
1999,10,30.446643983039
1999,11,30.085215861771
1999,12,29.8443167261631
2000,1,29.5892738976251
2000,2,29.4221053826641
2000,3,29.2972573172143
2000,4,29.1737600420506
2000,5,29.1262081060686
2000,6,29.2018846643488
2000,7,29.1829541325747
2000,8,29.2171086943277
2000,9,29.5020293541068
2000,10,30.1459983800256
2000,11,30.5361984047979
2000,12,31.4231799384525
2001,1,31.7095963647474
2001,2,31.859844603592
2001,3,32.1553772056123
2001,4,32.2696276543546
2001,5,32.2892347723679
2001,6,32.1564234668827
2001,7,31.328150153271
2001,8,30.6468939990501
2001,9,30.5330671025425
2001,10,30.4463331653615
2001,11,30.4148412580707
2001,12,30.3309181810484
2002,1,30.3711741790129
2002,2,30.540779323574
2002,3,30.5644526731591
2002,4,30.9949423937477
2002,5,31.9005342910076
2002,6,32.2380756625536
2002,7,32.4970924777446
2002,8,33.4895898156096
2002,9,34.6283723065706
2002,10,36.1336260052612
2002,11,37.4913792495732
2002,12,37.8392183310915
2003,1,38.3350657862035
2003,2,38.8048012267058
2003,3,38.8014378900226
2003,4,38.841499733777
2003,5,39.1105657664807
2003,6,39.1105514393477
2003,7,39.2549316362169
2003,8,39.6648714891299
2003,9,39.9567555712329
2003,10,40.0415134371477
2003,11,40.0466464964816
2003,12,40.0311664195509
2004,1,40.0117235703903
2004,2,40.1223379075245
2004,3,40.2372962945148
2004,4,40.229065242321
2004,5,40.1778195716127
2004,6,40.1649011458943
2004,7,40.4338371226307
2004,8,40.4687490463314
2004,9,40.4268344903135
2004,10,40.0997048044348
2004,11,39.74394576908
2004,12,38.6991209742507
2005,1,36.5860236766243
2005,2,36.131054961044
2005,3,36.0371105261652
2005,4,35.9522375000101
2005,5,35.8107979496496
2005,6,35.6967772071855
2005,7,35.5807602453996
2005,8,35.4854321046328
2005,9,35.4669587369646
2005,10,35.4265240520835
2005,11,35.3835709256366
2005,12,35.43759799852
2006,1,35.46072549932
2006,2,35.4216416400889
2006,3,35.4317256083954
2006,4,35.4619798617036
2006,5,35.429494707037
2006,6,35.4117689384259
2006,7,35.3839469545127
2006,8,35.3367309615354
2006,9,35.3289196613422
2006,10,35.3274845627801
2006,11,35.2805306385037
2006,12,35.1980416341597
2007,1,35.4396026831142
2007,2,35.7095739588015
2007,3,35.8710272715774
2007,4,35.9456160152176
2007,5,36.0187784100839
2007,6,36.0013139668861
2007,7,36.0608818192339
2007,8,36.0821589447632
2007,9,35.9549043989701
2007,10,35.8447367352242
2007,11,35.6989216141804
2007,12,35.7153435126053
2008,1,35.8383680607944
2008,2,35.9001627984507
2008,3,35.942823883589
2008,4,35.9467865868887
2008,5,35.8451291386434
2008,6,35.8425114583963
2008,7,35.9137689048555
2008,8,35.9249011556602
2008,9,36.2958285023774
2008,10,36.476393875944
2008,11,36.5074195442433
2008,12,36.5159604430435
2009,1,36.5101004760213
2009,2,36.4360407948155
2009,3,36.5527483162916
2009,4,36.6486538956343
2009,5,36.8118013484168
2009,6,36.9912892542198
2009,7,36.9977707940972
2009,8,36.986704898175
2009,9,36.9521171157906
2009,10,36.9034557103366
2009,11,36.8796244490987
2009,12,36.8800849639326
2010,1,36.9429347833344
2010,2,36.9271240794401
2010,3,36.9464289766021
2010,4,36.9525398987616
2010,5,36.9707478250271
2010,6,36.9376020599901
2010,7,36.8384430500562
2010,8,36.8381315193779
2010,9,36.8166143142815
2010,10,36.8461508615053
2010,11,36.824637667675
2010,12,36.8335413476094
2011,1,36.8593770725839
2011,2,36.7765492939076
2011,3,36.6447967158107
2011,4,36.6236093168318
2011,5,36.4729210934433
2011,6,36.4298409472229
2011,7,36.1987039543156
2011,8,36.1214103405348
2011,9,36.120098707532
2011,10,36.1559976762168
2011,11,36.2437116079878
2011,12,36.1607968965388
2012,1,36.1051461564503
2012,2,36.1682600431732
2012,3,36.1804106921164
2012,4,36.3050167999695
2012,5,36.293102084516
2012,6,36.2317845534351
2012,7,36.237946513632
2012,8,36.1323805432248
2012,9,36.2264825888973
2012,10,36.2856973624328
2012,11,36.3219306014683
2012,12,37.1129533251334
2013,1,37.9780569787989
2013,2,38.4749624841708
2013,3,39.065898430456
2013,4,39.6853080196417
2013,5,39.7742461522378
2013,6,39.7039404826389
2013,7,39.6511955366
2013,8,39.6141439243731
2013,9,39.5653112112706
2013,10,39.4868345191325
2013,11,39.4571299346576
2013,12,39.5153559938583
2014,1,39.7247820150345
2014,2,39.8286455391334
2014,3,39.863361453287
2014,4,39.8589205074513
2014,5,39.8835376908681
2014,6,40.0004305482929
2014,7,40.0190358227762
2014,8,40.2195296826838
2014,9,40.5353315147885
2014,10,40.8944400615567
2014,11,40.9534500417398
2014,12,41.0641536759404
2015,1,41.1901867441726
2015,2,41.3339376572462
2015,3,41.3761635446359
2015,4,41.5484655426004
2015,5,41.5812058609355
2015,6,41.8929263761672
2015,7,42.6510440315013
2015,8,43.5884876512419
2015,9,43.7044944781715
2015,10,43.7549841531943
2015,11,43.8531396950054
2015,12,43.8611896159938
2016,1,43.9618567737619
2016,2,44.0645029278565
2016,3,44.18176253349
2016,4,44.4238304940794
2016,5,44.3827687969504
2016,6,44.3737521370209
2016,7,44.3156532158126
2016,8,43.9609830164104
