Year,Month,Concentration
1986,1,34364.7877966201
1986,2,34364.7877966201
1986,3,34360.6627206232
1986,4,34348.2874926326
1986,5,34332.5119119813
1986,6,34223.2524162604
1986,7,34194.7203746791
1986,8,34059.9251130912
1986,9,34059.9251130912
1986,10,34059.9251130912
1986,11,34059.9251130912
1986,12,34085.0806626525
1987,1,34142.8770640304
1987,2,34225.3187075386
1987,3,34287.5966281389
1987,4,34372.1154437034
1987,5,34590.2037924963
1987,6,34590.2037924963
1987,7,34591.0282382389
1987,8,34616.1550705931
1987,9,34588.2387586285
1987,10,34593.8162623087
1987,11,34775.3925989886
1987,12,34775.3925989886
1988,1,34819.7159047955
1988,2,34857.0569152242
1988,3,34857.0569152242
1988,4,34969.5352347364
1988,5,35162.4521843051
1988,6,35159.0114905739
1988,7,35159.0114905739
1988,8,34509.8963141772
1988,9,33149.6160539654
1988,10,32785.5947362015
1988,11,32764.1430499998
1988,12,31812.1352685133
1989,1,31640.6169599574
1989,2,31577.6405791208
1989,3,31506.3978270076
1989,4,30993.8146634817
1989,5,30940.2491139652
1989,6,30784.3336862631
1989,7,30280.5578682688
1989,8,29908.1675654209
1989,9,29932.7777157539
1989,10,29816.6242756206
1989,11,29853.1969167269
1989,12,29799.3169343874
1990,1,29235.8638251702
1990,2,29023.773147434
1990,3,29001.4079059503
1990,4,29002.6101694087
1990,5,28733.2723825591
1990,6,28541.3996474572
1990,7,27760.3746062102
1990,8,27262.5697052847
1990,9,27268.7703320388
1990,10,27195.474525101
1990,11,27453.3584028599
1990,12,27454.7929335986
1991,1,27537.6241979582
1991,2,27980.6813634967
1991,3,28040.1494140417
1991,4,28081.8633405847
1991,5,29328.7782286819
1991,6,29609.221505799
1991,7,29692.5627357803
1991,8,29912.2038273979
1991,9,29960.3306229181
1991,10,30019.1184599928
1991,11,30684.8633463485
1991,12,30698.6640896344
1992,1,31022.2747974208
1992,2,31246.0027673651
1992,3,31145.4790841713
1992,4,31106.8308899074
1992,5,31020.7172896647
1992,6,30896.3862866239
1992,7,30318.3250546892
1992,8,30097.2623072713
1992,9,29934.507499241
1992,10,29622.2921789668
1992,11,28070.5262535139
1992,12,27398.8547123115
1993,1,27239.588249017
1993,2,27065.3852113328
1993,3,26208.1185446366
1993,4,26208.1185446366
1993,5,26159.4537008303
1993,6,26096.2537443434
1993,7,26005.5128889426
1993,8,25531.7075641116
1993,9,25174.6769629965
1993,10,25012.2581836237
1993,11,24856.8006196689
1993,12,24830.7494612326
1994,1,24718.8109743826
1994,2,24483.7011382159
1994,3,24066.8286674048
1994,4,23579.6245777802
1994,5,23579.6245777802
1994,6,23233.5880422041
1994,7,22062.0202812997
1994,8,21892.1527400134
1994,9,21314.0276004847
1994,10,20378.4302641945
1994,11,19981.8515316693
1994,12,19922.4436094265
1995,1,19904.6509470446
1995,2,19901.676933311
1995,3,19837.0548085636
1995,4,19772.2805611754
1995,5,19739.0357417758
1995,6,19723.2294267413
1995,7,19720.2843181552
1995,8,19715.271152492
1995,9,19715.630202915
1995,10,19734.293531255
1995,11,19734.9804856629
1995,12,19732.5927661459
1996,1,19721.3501524973
1996,2,19714.1837674088
1996,3,19705.1722112454
1996,4,19699.7999736431
1996,5,19699.7999736431
1996,6,19699.7999736431
1996,7,19698.9106248486
1996,8,19689.1407051955
1996,9,19691.5605095016
1996,10,19676.5906649625
1996,11,19634.2484998224
1996,12,19632.5692039482
1997,1,19591.3328992515
1997,2,19552.1022146424
1997,3,19501.4608315589
1997,4,19480.0056271892
1997,5,19467.5015583333
1997,6,19465.2279927226
1997,7,19454.7660708651
1997,8,19419.5696549145
1997,9,19358.3148805649
1997,10,19368.7651577639
1997,11,19402.3449746935
1997,12,19400.2990387916
1998,1,19359.3952759324
1998,2,19377.8576709771
1998,3,19356.4284604426
1998,4,19335.8873883548
1998,5,19276.7671875397
1998,6,19344.8192189471
1998,7,19289.301538498
1998,8,19135.1309687631
1998,9,18896.460337965
1998,10,18306.9896485145
1998,11,18151.4881415905
1998,12,17760.8317426204
1999,1,17705.1913969413
