Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0.535213502139438
1995,2,2.14179223847336
1995,3,2.1420328537333
1995,4,2.14062502268503
1995,5,2.13976170397721
1995,6,2.1394739310746
1995,7,2.1394739310746
1995,8,2.13923077719097
1995,9,2.13532360932877
1995,10,2.14820061754944
1995,11,2.15334623959099
1995,12,2.1583912083418
1996,1,2.16590605740687
1996,2,2.17178264110852
1996,3,2.17274483244728
1996,4,2.16801311392517
1996,5,2.17146274333897
1996,6,2.17726992522931
1996,7,2.19651625030677
1996,8,2.19786835119845
1996,9,2.21167622971787
1996,10,2.22330366623131
1996,11,2.22932284888384
1996,12,2.23878943855892
1997,1,2.26336575788988
1997,2,2.27009302000243
1997,3,2.29779631220432
1997,4,2.46575239551502
1997,5,2.48296583042498
1997,6,2.49425187350449
1997,7,2.50566980888785
1997,8,2.52723205452621
1997,9,2.5927387946412
1997,10,2.6926130822984
1997,11,2.99117206028486
1997,12,3.07465541913798
1998,1,3.08099451208441
1998,2,3.06887405541887
1998,3,3.07395537628027
1998,4,3.06452248414467
1998,5,3.05970575176479
1998,6,3.06273789360925
1998,7,3.09134823940222
1998,8,3.13260450592334
1998,9,3.14999142504354
1998,10,3.13273247713613
1998,11,3.12633252396629
1998,12,3.13217691974687
1999,1,3.12828613404197
1999,2,3.12539419132607
1999,3,3.12767760229231
1999,4,3.11527753900334
1999,5,3.05611670310367
1999,6,3.0653482749981
1999,7,3.07357046702402
1999,8,3.08720481020373
1999,9,3.0944083149452
1999,10,3.08495994870732
1999,11,3.08093557209115
1999,12,3.07840921552221
2000,1,3.05939387757237
2000,2,3.05761505467368
2000,3,3.05547227860357
2000,4,3.0583082777799
2000,5,3.06593584170223
2000,6,3.06435982953378
2000,7,3.03252068224013
2000,8,3.02113776728225
2000,9,3.01305966898527
2000,10,2.964752327412
2000,11,2.87565230462604
2000,12,2.87104518774247
2001,1,2.89224373795849
2001,2,2.90391809717037
2001,3,2.90222858975679
2001,4,2.88608951586131
2001,5,2.88345486094216
2001,6,2.88044883891908
2001,7,2.88171996531459
2001,8,2.86566884211889
2001,9,2.85681464404891
2001,10,2.86078052737925
2001,11,2.87229796461139
2001,12,2.88700280788376
2002,1,2.91437492681792
2002,2,2.92554724948526
2002,3,2.93574468035444
2002,4,2.95057375027448
2002,5,2.95452189450217
2002,6,2.96105510485342
2002,7,2.96645921036241
2002,8,2.96748094608171
2002,9,2.96631641787349
2002,10,2.9696919874059
2002,11,2.98265968524552
2002,12,2.99091934762847
2003,1,2.99174462992673
2003,2,2.99131940716963
2003,3,2.98681654986449
2003,4,2.98566645947324
2003,5,2.97770850524691
2003,6,2.97471166595513
2003,7,2.97106893678228
2003,8,2.92892914668442
2003,9,2.90993046458046
2003,10,2.90140007306708
2003,11,2.89538110963739
2003,12,2.89498417411747
2004,1,2.89436892255478
2004,2,2.89204874920054
2004,3,2.88834981096323
2004,4,2.87703202690974
2004,5,2.8535474527028
2004,6,2.84919295051106
2004,7,2.82624325131719
2004,8,2.79496410595467
2004,9,2.75935917090521
2004,10,2.73184558065813
2004,11,2.70524276372766
2004,12,2.69183086953913
2005,1,2.66952111361707
2005,2,2.63694400097774
2005,3,2.63208253776873
2005,4,2.61901322370284
2005,5,2.59903942118784
2005,6,2.59067955166803
2005,7,2.5785455043086
2005,8,2.57543276986865
2005,9,2.57728908743727
2005,10,2.57991256411055
2005,11,2.58825706248673
2005,12,2.59160344773174
