Year,Month,Concentration
1986,1,2.86519039904982
1986,2,2.86519039904982
1986,3,2.86519039904982
1986,4,2.86519039904982
1986,5,2.86993417898223
1986,6,2.87704984888083
1986,7,2.87704984888083
1986,8,2.87704984888083
1986,9,2.88242998088041
1986,10,2.88242998088041
1986,11,2.88242998088041
1986,12,2.88242998088041
1987,1,2.88242998088041
1987,2,2.90028946489121
1987,3,2.90028946489121
1987,4,2.90028946489121
1987,5,2.90028946489121
1987,6,2.90028946489121
1987,7,2.90028946489121
1987,8,2.90028946489121
1987,9,2.90028946489121
1987,10,2.92358917720899
1987,11,2.93912231875418
1987,12,2.93912231875418
1988,1,2.93477300591635
1988,2,2.92027339425624
1988,3,2.92027339425624
1988,4,2.91586392584696
1988,5,2.91216715195442
1988,6,2.9019800066851
1988,7,2.89604783049061
1988,8,2.88729321213179
1988,9,2.88226966823556
1988,10,2.88226966823556
1988,11,2.88226966823556
1988,12,2.88226966823556
1989,1,2.88303988915604
1989,2,2.88504676926875
1989,3,2.88281930349846
1989,4,2.91281282196221
1989,5,2.91281282196221
1989,6,2.91281282196221
1989,7,2.92342518130915
1989,8,2.924265173119
1989,9,2.924265173119
1989,10,2.92449453158677
1989,11,2.92518260699007
1989,12,2.9264910457562
1990,1,2.93364559622792
1990,2,2.93421236126629
1990,3,2.93421236126629
1990,4,2.93421236126629
1990,5,2.91989707140044
1990,6,2.91254985467362
1990,7,2.89707331276054
1990,8,2.84950090856695
1990,9,2.84112430890723
1990,10,2.84055326702818
1990,11,2.84202940079634
1990,12,2.84555234458546
1991,1,2.85006800183651
1991,2,2.85410884578724
1991,3,2.85410884578724
1991,4,2.8541916555367
1991,5,2.87270149706965
1991,6,2.87277396067928
1991,7,2.87314737386389
1991,8,2.86976590768548
1991,9,2.86610732298429
1991,10,2.86610732298429
1991,11,2.86336133916922
1991,12,2.86336133916922
1992,1,2.86336133916922
1992,2,2.87034201190645
1992,3,2.8732833570329
1992,4,2.87711943609063
1992,5,2.88381391877063
1992,6,2.88402850025301
1992,7,2.88525689211963
1992,8,2.88731027480067
1992,9,2.88794265944402
1992,10,2.88794265944402
1992,11,2.88820129444137
1992,12,2.88951105462247
1993,1,2.88854854894204
1993,2,2.88854854894204
1993,3,2.89275206338024
1993,4,2.89218530074045
1993,5,2.89088377318184
1993,6,2.89428202224861
1993,7,2.89348011695941
1993,8,2.89265895214367
1993,9,2.89098033759165
1993,10,2.89127304163919
1993,11,2.89006735987917
1993,12,2.88962168831842
1994,1,2.88936363086785
1994,2,2.89767757231864
1994,3,2.89925203970184
1994,4,2.87869208638901
1994,5,2.87420833411233
1994,6,2.85807527287554
