Year,Month,Concentration
1986,1,2.25696041993219
1986,2,2.25696041993219
1986,3,2.25696041993219
1986,4,2.25696041993219
1986,5,2.25845559100866
1986,6,2.26069834762335
1986,7,2.26069834762335
1986,8,2.26069834762335
1986,9,2.26243937785626
1986,10,2.28358047244406
1986,11,2.28886574609101
1986,12,2.28886574609101
1987,1,2.28886574609101
1987,2,2.29112658711901
1987,3,2.30844544874466
1987,4,2.31421840261987
1987,5,2.3196635617528
1987,6,2.32329366784141
1987,7,2.32329366784141
1987,8,2.32329366784141
1987,9,2.32329366784141
1987,10,2.32812987770311
1987,11,2.33174211936491
1987,12,2.33174211936491
1988,1,2.33000350091673
1988,2,2.32375674845195
1988,3,2.32375674845195
1988,4,2.31714421035666
1988,5,2.30160088508112
1988,6,2.28704749406117
1988,7,2.27933215699543
1988,8,2.26189046220727
1988,9,2.2472670223738
1988,10,2.24680608203319
1988,11,2.24539949856622
1988,12,2.2447957492081
1989,1,2.24600125022715
1989,2,2.25172429455373
1989,3,2.25497035798404
1989,4,2.25805379126951
1989,5,2.25825614871455
1989,6,2.25686443807956
1989,7,2.26010948359715
1989,8,2.26124094750097
1989,9,2.26152360377075
1989,10,2.26028643684929
1989,11,2.26044014429949
1989,12,2.26044014429949
1990,1,2.26082742576365
1990,2,2.26116311328832
1990,3,2.26150428853663
1990,4,2.2644208120767
1990,5,2.2645370905819
1990,6,2.2629213054488
1990,7,2.25144333247326
1990,8,2.19623541405245
1990,9,2.17483685950814
1990,10,2.16510118281022
1990,11,2.14062900361579
1990,12,2.14201001593323
1991,1,2.14136853059372
1991,2,2.13746322732205
1991,3,2.13626118064819
1991,4,2.1363560679029
1991,5,2.14564348818583
1991,6,2.14545683450673
1991,7,2.1454058300734
1991,8,2.1430300528737
1991,9,2.14009663975034
1991,10,2.14009663975034
1991,11,2.13934379879745
1991,12,2.14009041703219
1992,1,2.13967867360691
1992,2,2.13977411054558
1992,3,2.14148528554233
1992,4,2.15275319267887
1992,5,2.15696346196136
1992,6,2.15643843305011
1992,7,2.15727077136626
1992,8,2.15899642962059
1992,9,2.16078777093716
1992,10,2.16122497867303
1992,11,2.16165116271529
1992,12,2.16362046843398
1993,1,2.16325543254181
1993,2,2.16293175803833
1993,3,2.1738692946271
1993,4,2.1738692946271
1993,5,2.17387949627291
1993,6,2.17496750843216
1993,7,2.16410563635191
1993,8,2.16268581914984
1993,9,2.16118587665695
1993,10,2.15897271773157
1993,11,2.15733093385138
1993,12,2.15455695076502
1994,1,2.15418406052835
1994,2,2.15221975781125
1994,3,2.10815480266781
1994,4,2.05037810981494
1994,5,2.04509922127069
1994,6,2.00269148216471
1994,7,1.9835907506243
1994,8,1.9812290461341
