Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,662.187640688994
1998,11,662.12878909044
1998,12,661.727626356028
1999,1,661.92783612816
1999,2,661.946190472112
1999,3,665.229834717846
1999,4,667.14580145352
1999,5,667.279474803514
1999,6,668.25008330988
1999,7,673.66507685228
1999,8,684.328286347089
1999,9,687.741664005593
1999,10,689.700309275063
1999,11,691.496976743609
1999,12,691.760776405137
2000,1,692.132623045621
2000,2,692.083847043362
2000,3,691.888739974399
2000,4,692.027746683116
2000,5,691.819400008122
2000,6,691.610632428859
2000,7,691.417555134039
2000,8,691.887346693434
2000,9,692.729212964692
2000,10,692.96135070618
2000,11,692.66673313696
2000,12,691.94577033532
2001,1,691.809668272378
2001,2,692.93257909187
2001,3,693.81266403624
2001,4,693.488893005522
2001,5,693.424292144855
2001,6,696.129670578213
2001,7,696.889275331969
2001,8,696.398038622523
2001,9,694.570544477672
2001,10,693.380197044756
2001,11,692.50488027542
2001,12,692.399982025325
2002,1,692.225485809029
2002,2,691.221091643852
2002,3,690.831173845585
2002,4,690.586356494087
2002,5,689.81075941375
2002,6,689.066670671041
2002,7,692.645495433883
2002,8,709.831733994856
2002,9,711.654743543128
2002,10,711.878438837844
2002,11,710.757119131489
2002,12,710.242316763507
2003,1,711.526233664269
2003,2,712.156105212753
2003,3,715.154462654274
2003,4,719.307033759357
2003,5,731.480062192649
2003,6,738.05071419766
2003,7,738.828760837437
2003,8,745.715330328415
2003,9,747.465816363204
2003,10,748.580484250184
2003,11,749.902380273773
2003,12,750.07405572507
2004,1,751.307729306172
2004,2,752.227313094364
2004,3,752.911350610214
2004,4,753.070390382493
2004,5,751.66713571638
2004,6,751.884519348102
2004,7,751.705304924209
2004,8,751.587081614239
2004,9,751.880561281912
2004,10,753.183818556019
2004,11,753.757363565325
2004,12,752.612400866792
2005,1,752.164949278701
2005,2,751.422532232624
2005,3,751.317008871777
2005,4,751.900749291828
2005,5,753.772432954198
2005,6,754.659746426761
2005,7,758.992925907011
2005,8,762.374954490974
2005,9,763.834724756529
2005,10,764.608460907907
2005,11,765.76083299933
2005,12,766.733748071561
2006,1,769.8306527891
2006,2,770.589080790142
2006,3,771.499738269808
2006,4,770.322320254257
2006,5,767.83497222068
2006,6,763.851543079629
2006,7,765.030611368755
2006,8,767.188559202408
2006,9,770.173084475978
2006,10,771.970291144572
2006,11,772.717168723064
2006,12,772.953173996184
2007,1,772.939496681752
2007,2,772.931512104058
2007,3,773.581673955089
2007,4,774.355775445351
2007,5,775.876741050447
2007,6,779.939502820461
2007,7,781.78439844603
2007,8,782.76851681998
2007,9,784.927778841682
2007,10,787.165135645859
2007,11,789.236601089186
2007,12,790.405806533337
2008,1,790.698499416193
2008,2,790.535773846754
2008,3,792.897701279747
2008,4,793.597230497342
2008,5,794.50819115864
2008,6,795.551367386363
