Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0
1996,7,0
1996,8,0
1996,9,0
1996,10,0
1996,11,0
1996,12,0
1997,1,0
1997,2,0
1997,3,0
1997,4,0
1997,5,0
1997,6,0
1997,7,0
1997,8,0
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,0
1998,8,0
1998,9,0
1998,10,0
1998,11,0
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,138.663545957842
2003,7,184.999752634139
2003,8,186.361982947158
2003,9,186.972569885091
2003,10,187.561821289194
2003,11,188.963499354216
2003,12,189.850435736556
2004,1,190.538589163438
2004,2,191.015086884381
2004,3,191.006772802321
2004,4,190.947291290512
2004,5,190.869064669303
2004,6,190.391701590799
2004,7,190.108289443738
2004,8,189.936672640384
2004,9,190.553608370642
2004,10,191.623847606081
2004,11,192.721562027761
2004,12,192.995884049913
2005,1,192.891192675278
2005,2,192.647284859995
2005,3,193.027742856101
2005,4,193.427273709149
2005,5,193.642088162927
2005,6,193.513607077698
2005,7,193.367679752557
2005,8,192.851988863298
2005,9,192.649558937485
2005,10,192.613516029061
2005,11,191.934964586649
2005,12,192.077949740313
2006,1,191.815233361341
2006,2,191.635852352637
2006,3,191.342863822363
2006,4,191.247916375993
2006,5,188.986168785121
2006,6,187.898711576431
2006,7,188.365668045252
2006,8,188.803775929878
2006,9,188.219603911366
2006,10,185.887520457276
2006,11,181.146233396421
2006,12,175.745155826849
2007,1,167.911921053042
2007,2,165.71329328137
2007,3,165.586348521537
2007,4,165.540853967683
2007,5,165.517239446483
2007,6,165.542943282332
2007,7,165.446465868724
2007,8,165.311980777632
2007,9,165.238828693644
2007,10,165.219467556481
2007,11,164.731536839587
2007,12,164.667136785217
2008,1,164.867014414884
2008,2,165.815857209806
2008,3,167.122956670814
2008,4,167.500517762052
2008,5,168.590624136161
2008,6,169.255712404566
2008,7,169.930877495348
2008,8,169.969848041492
2008,9,170.261161182126
2008,10,171.996978943956
2008,11,173.117407469894
2008,12,173.035602832247
2009,1,173.120335652915
2009,2,173.414291499918
2009,3,173.807198980806
2009,4,173.872805821268
2009,5,173.788289473597
2009,6,173.728563324005
2009,7,173.937035421864
2009,8,174.599232115348
2009,9,174.997723526581
2009,10,174.887015480048
2009,11,174.686493473431
2009,12,174.505399992445
2010,1,174.513204443433
2010,2,174.452952584803
2010,3,174.581013250135
2010,4,174.733212735019
2010,5,174.30308233156
2010,6,174.058778310463
