Year,Month,Concentration
1986,1,533.178199544291
1986,2,533.178199544291
1986,3,533.178199544291
1986,4,533.178199544291
1986,5,533.178199544291
1986,6,533.178199544291
1986,7,533.178199544291
1986,8,533.178199544291
1986,9,533.178199544291
1986,10,533.178199544291
1986,11,533.178199544291
1986,12,533.178199544291
1987,1,533.178199544291
1987,2,533.178199544291
1987,3,533.178199544291
1987,4,533.178199544291
1987,5,533.178199544291
1987,6,533.174460439614
1987,7,533.174460439614
1987,8,533.174460439614
1987,9,533.174460439614
1987,10,533.267182686171
1987,11,533.320919211045
1987,12,533.320919211045
1988,1,532.99804986577
1988,2,532.782803635587
1988,3,532.782803635587
1988,4,532.235249555257
1988,5,531.870213501704
1988,6,531.870213501704
1988,7,531.870213501704
1988,8,285.494546124733
1988,9,39.1188787477622
1988,10,39.1188787477622
1988,11,39.1218066351737
1988,12,39.1321528362422
1989,1,39.1340388062013
1989,2,39.1442181428582
1989,3,39.1270938510475
1989,4,39.1855949173269
1989,5,39.1855949173269
1989,6,39.1926501321786
1989,7,39.2010243430705
1989,8,39.2705792561253
1989,9,39.2705792561253
1989,10,39.2645039864123
1989,11,39.1298239341392
1989,12,39.1298239341392
1990,1,39.1298239341392
1990,2,38.9040355293027
1990,3,38.9040355293027
1990,4,38.9011957391234
1990,5,38.7984881517178
1990,6,38.7984881517178
1990,7,38.7984881517178
1990,8,38.7805111185846
1990,9,38.7793803519134
1990,10,38.8130052877827
1990,11,39.0597442836094
1990,12,39.0808755700262
1991,1,39.1746736752622
1991,2,39.2523661572344
1991,3,39.2478594052398
1991,4,39.2478594052398
1991,5,38.5303145703208
1991,6,38.349437138874
1991,7,38.2883058252366
1991,8,37.9703501092761
1991,9,37.8281502756217
1991,10,37.7984864968288
1991,11,36.8279724303673
1991,12,36.8279724303673
1992,1,36.5138324763017
1992,2,36.0010908606834
1992,3,35.9830371040074
1992,4,35.9254159997181
1992,5,35.7652026102103
1992,6,35.7548247735433
1992,7,35.750251146188
1992,8,35.7499320334184
1992,9,35.7068793174651
1992,10,35.7035954674721
1992,11,35.634334885293
1992,12,35.6452712955282
1993,1,35.6269158007261
1993,2,35.4267721479093
1993,3,35.4060813854435
1993,4,35.4216943448754
1993,5,35.4245742740652
1993,6,35.4419825994826
1993,7,35.4491136191259
1993,8,35.4483259569378
1993,9,35.3518919106532
1993,10,35.343335872039
1993,11,35.343335872039
1993,12,35.343335872039
1994,1,35.4422236937847
1994,2,35.6257363009515
1994,3,35.6257363009515
1994,4,35.6257363009515
1994,5,35.5928354119884
1994,6,35.584509158917
1994,7,35.5595303997027
1994,8,35.5595303997027
1994,9,35.5511638677069
1994,10,35.5142783616199
1994,11,35.4912820314646
1994,12,35.4738807526394
1995,1,35.4753312014568
1995,2,35.4753312014568
1995,3,35.4184715298706
1995,4,35.4159593702063
1995,5,35.3790056011194
1995,6,35.3878137529974
1995,7,35.4573455310253
1995,8,35.5641771867708
1995,9,35.5801618595179
1995,10,35.5429478881936
1995,11,35.5392743169233
1995,12,35.5396561359047
1996,1,35.5372436222484
1996,2,35.533247623252
1996,3,35.5256962957894
1996,4,35.4063316620334
1996,5,35.4063316620334
1996,6,35.4334328300466
1996,7,35.6473953985496
1996,8,35.6937631604135
1996,9,35.7795297111415
1996,10,35.833171175155
1996,11,35.9357989875734
1996,12,35.9145925039918
1997,1,35.9204557982039
1997,2,35.6578645104778
1997,3,35.5263234288179
1997,4,35.4151666652242
1997,5,22.4145924352725
1997,6,2.96130142051273
1997,7,2.95699594978772
1997,8,2.94775581298957
1997,9,2.97368212640427
1997,10,3.0007262038846
1997,11,3.04407511753364
1997,12,3.04479588043527
1998,1,3.03594866366406
1998,2,3.03134304908925
1998,3,3.02127208618458
1998,4,3.02884574076846
1998,5,3.03360742665273
1998,6,3.04100745914098
1998,7,3.03280857562054
1998,8,3.02861829101002
1998,9,3.02313348512825
1998,10,3.03235810456131
1998,11,3.02948253736319
1998,12,3.00882428735123
1999,1,3.00085408757507
1999,2,2.99940132766661
1999,3,3.00833307499546
1999,4,3.02008222511797
1999,5,3.0262621744962
1999,6,3.02463280773734
1999,7,3.02682198450576
1999,8,3.0268487525121
1999,9,3.02693366129609
1999,10,3.01688255588961
1999,11,3.01219169227123
1999,12,3.00311858639468
2000,1,2.99760279967798
2000,2,2.9906254732497
2000,3,2.9686369597309
2000,4,2.97583566430489
2000,5,2.95590744729513
2000,6,2.92504338716582
2000,7,2.90306802000507
2000,8,26.8705122049988
2000,9,34.8619258975248
2000,10,34.8711823744799
2000,11,34.895615170876
2000,12,34.6424187668022
2001,1,34.7165855248109
2001,2,34.8209011822482
2001,3,34.7400970806483
2001,4,34.7037018114364
2001,5,34.620246923968
2001,6,34.4160104247645
2001,7,34.079356536978
2001,8,33.2525300783917
2001,9,33.2162970499435
2001,10,33.314728726826
2001,11,33.744645047387
2001,12,26.1520988005193
2002,1,2.88046259929808
2002,2,2.89424106215685
2002,3,2.90424104013252
2002,4,2.90790065525277
2002,5,2.90929008720316
2002,6,2.89989231176331
2002,7,2.90189060412589
2002,8,2.90844217835009
2002,9,2.90567573109524
2002,10,2.90645034829439
2002,11,2.89352717371988
2002,12,2.89166831787948
2003,1,2.88880800357595
2003,2,2.88796626699853
2003,3,2.87895656587407
2003,4,2.87447505734855
2003,5,2.86067179149425
2003,6,2.14372582418931
2003,7,0
2003,8,0
2003,9,0
2003,10,0
2003,11,0
2003,12,0
2004,1,0
2004,2,0
2004,3,0
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,0
2004,11,0
2004,12,0
2005,1,0
2005,2,0
2005,3,0
2005,4,0
2005,5,0
2005,6,0
2005,7,0
2005,8,0
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2006,1,0
2006,2,0
2006,3,0
2006,4,0
2006,5,0
2006,6,0
2006,7,0
2006,8,0
2006,9,0
2006,10,0
2006,11,0
2006,12,0
2007,1,0
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0
2007,8,0
2007,9,0
2007,10,0
2007,11,0
2007,12,0
2008,1,0
2008,2,0
2008,3,0
2008,4,0
2008,5,0
2008,6,0
2008,7,0
2008,8,0
2008,9,0
2008,10,0
2008,11,0
2008,12,0
2009,1,0
2009,2,0
2009,3,0
2009,4,0
2009,5,0
2009,6,0
2009,7,0
2009,8,0
2009,9,0
2009,10,0
2009,11,0
2009,12,0
2010,1,0
2010,2,0
2010,3,0
2010,4,0
2010,5,0
2010,6,0
2010,7,0
2010,8,0
2010,9,0
2010,10,0
2010,11,0
2010,12,0
2011,1,0
2011,2,0
2011,3,0
2011,4,0
2011,5,0
2011,6,0
2011,7,0
2011,8,0
2011,9,0
2011,10,0
2011,11,0
2011,12,0
2012,1,0
2012,2,0
2012,3,0
2012,4,0
2012,5,0
2012,6,0
2012,7,0
2012,8,0
2012,9,0
2012,10,0
2012,11,0
2012,12,0
2013,1,0
2013,2,0
2013,3,0
2013,4,0
2013,5,0
2013,6,0
2013,7,0
2013,8,0
2013,9,0
2013,10,0
2013,11,0
2013,12,0
2014,1,0
2014,2,0
2014,3,0
2014,4,0
2014,5,0
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0
2014,11,0
2014,12,0
2015,1,0
2015,2,0
2015,3,0
2015,4,0
2015,5,0
2015,6,0
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,0
2015,12,0
2016,1,0
2016,2,0
2016,3,0
2016,4,0
2016,5,0
2016,6,0
2016,7,0
2016,8,0
2016,9,0
2016,10,0
2016,11,0
2016,12,0
2017,1,0
2017,2,0
2017,3,0
2017,4,0
2017,5,0
2017,6,0
2017,7,0
2017,8,0
2017,9,0
2017,10,0
2017,11,0
2017,12,0
