Year,Month,Concentration
1986,1,2.03447147591936
1986,2,2.03447147591936
1986,3,2.03447147591936
1986,4,2.03447147591936
1986,5,2.03598544746482
1986,6,2.038256404783
1986,7,2.038256404783
1986,8,2.038256404783
1986,9,2.04031699437575
1986,10,2.04031699437575
1986,11,2.04031699437575
1986,12,2.04031699437575
1987,1,2.04031699437575
1987,2,2.04979256288067
1987,3,2.04979256288067
1987,4,2.04979256288067
1987,5,2.04979256288067
1987,6,2.04979256288067
1987,7,2.04979256288067
1987,8,2.04979256288067
1987,9,2.04979256288067
1987,10,2.05516028247937
1987,11,2.05873876221184
1987,12,2.05873876221184
1988,1,2.04364795174576
1988,2,2.02308229861249
1988,3,2.02308229861249
1988,4,2.01867515797278
1988,5,2.0136299588406
1988,6,2.01331320914508
1988,7,2.00992078636986
1988,8,2.00508439850827
1988,9,2.00223403946836
1988,10,2.00113169402116
1988,11,2.00113169402116
1988,12,2.00113169402116
1989,1,2.00173889008199
1989,2,2.004020234328
1989,3,2.00678325928484
1989,4,2.01657380456381
1989,5,2.01759695296665
1989,6,2.01754422072467
1989,7,2.01754422072467
1989,8,2.01754422072467
1989,9,2.01754422072467
1989,10,2.01760725718873
1989,11,2.01779636658093
1989,12,2.01779636658093
1990,1,2.01779636658093
1990,2,2.01779636658093
1990,3,2.01779636658093
1990,4,2.01779636658093
1990,5,2.00952509676428
1990,6,2.00952509676428
1990,7,2.00249513358518
1990,8,1.98585938182622
1990,9,1.97928875935968
1990,10,1.97193027255755
1990,11,1.96119917449539
1990,12,1.96433906366962
1991,1,1.96322689432384
1991,2,1.95989038628652
1991,3,1.95989038628652
1991,4,1.95980580741267
1991,5,1.96191243884476
1991,6,1.96160404930417
1991,7,1.95946543732364
1991,8,1.95520692029124
1991,9,1.95411211919332
1991,10,1.95414101862073
1991,11,1.95258107611256
1991,12,1.95011111492698
1992,1,1.95011111492698
1992,2,1.95011111492698
1992,3,1.95117981480353
1992,4,1.95413315132439
1992,5,1.95967459122019
1992,6,1.95930686867867
1992,7,1.95966952988568
1992,8,1.9607525604779
1992,9,1.96159671265736
1992,10,1.96159671265736
1992,11,1.95597826881693
1992,12,1.95516346096596
1993,1,1.9551706796125
1993,2,1.9551706796125
1993,3,1.95850809121582
1993,4,1.95850809121582
1993,5,1.95850809121582
1993,6,1.95592596825145
1993,7,1.95524011164181
1993,8,1.95394378331128
1993,9,1.94959863919687
1993,10,1.94806506155027
1993,11,1.94738200626082
1993,12,1.94682228746834
1994,1,1.94391272808136
1994,2,1.94191218296677
1994,3,1.93336011753975
1994,4,1.91878734243213
1994,5,1.91036849987875
1994,6,1.89761591320245
1994,7,1.89418634335415
1994,8,1.89389793465147
1994,9,1.89109913652249
1994,10,1.88825592477342
1994,11,1.88401983012826
1994,12,1.87682045006185
1995,1,1.87504790724658
1995,2,1.87487019591116
1995,3,1.87439296137085
1995,4,1.87272097165682
1995,5,1.87228101809431
1995,6,1.8721343669068
1995,7,1.8721343669068
1995,8,1.87249553285685
1995,9,1.87211059037447
1995,10,1.87440501750043
1995,11,1.87799353993206
1995,12,1.8878070601518
1996,1,1.89315406886661
1996,2,1.89392523919147
1996,3,1.89478393102326
1996,4,1.89487221334141
1996,5,1.89282013791
1996,6,1.89392152410239
1996,7,1.91325846022731
1996,8,1.93637208371381
1996,9,1.95315456328278
1996,10,1.96481095374315
1996,11,1.97371736691235
