Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,1.54323220318579
1996,1,1.91741534692571
1996,2,1.75824008715645
1996,3,1.74095006575699
1996,4,1.79908945744424
1996,5,1.79885501248441
1996,6,1.81299588172672
1996,7,1.81543030598154
1996,8,1.82151688028459
1996,9,1.82907368454765
1996,10,1.84972408967485
1996,11,1.8892214045047
1996,12,1.92724645345326
1997,1,2.01214489499072
1997,2,2.02490076517811
1997,3,1.95431879719598
1997,4,1.88240597093119
1997,5,1.81777125305932
1997,6,1.76470041882887
1997,7,1.71994592394859
1997,8,1.76574570957143
1997,9,2.00646609732801
1997,10,1.92014320221057
1997,11,2.14779004769673
1997,12,2.00452845890723
1998,1,2.11482709219065
1998,2,2.20425567103528
1998,3,2.13270253844586
1998,4,2.01798468682226
1998,5,2.1156510422909
1998,6,2.04588547298842
1998,7,2.35484526001276
1998,8,2.69836690694674
1998,9,10.6336742676046
1998,10,18.5856159418724
1998,11,18.8324281697851
1998,12,19.7159387010692
1999,1,20.578320749558
1999,2,22.628345690131
1999,3,26.3402586398213
1999,4,34.5251940411314
1999,5,33.0898116238062
1999,6,36.0570541959516
1999,7,35.9913180744319
1999,8,35.720434518914
1999,9,35.8146955307307
1999,10,33.1340824173132
1999,11,30.5621776541071
1999,12,30.0680049566944
2000,1,27.8765676050599
2000,2,25.1770129571701
2000,3,21.2316023629744
2000,4,18.3113030999475
2000,5,16.8398656270313
2000,6,16.708006406365
2000,7,16.8605096470123
2000,8,16.974334506104
2000,9,17.2951554767824
2000,10,18.1160890719846
2000,11,18.4527634522623
2000,12,18.9073522156733
2001,1,18.892053744705
2001,2,18.9774169213128
2001,3,19.199431979335
2001,4,19.4067328868192
2001,5,19.5532325647579
2001,6,19.7634792884158
2001,7,19.4602302607034
2001,8,18.6581978069517
2001,9,16.8046936671757
2001,10,16.5812969125951
2001,11,16.4468071599006
2001,12,16.3928495902781
2002,1,15.89669695553
2002,2,15.4461396682884
2002,3,14.7053642133663
2002,4,14.3047713093718
2002,5,14.0636819798745
2002,6,13.898848926898
2002,7,13.6004381652331
2002,8,13.2528552028488
2002,9,13.2945113913952
2002,10,13.1856831087915
2002,11,13.1001979275664
2002,12,12.9739330998376
2003,1,12.8105722227491
2003,2,12.695043629593
2003,3,12.6079355017612
2003,4,12.4409313572357
2003,5,12.4493901834302
2003,6,12.3569602538023
2003,7,12.3632755713256
2003,8,7.72940531698439
2003,9,4.69902121537921
2003,10,4.85502139806207
2003,11,4.89785817333053
2003,12,4.92580435020633
2004,1,4.98377882129191
2004,2,5.04533953693487
2004,3,5.06714381873819
2004,4,4.87352346297532
2004,5,4.81775522028482
2004,6,4.94989991221939
2004,7,5.02399871202962
2004,8,5.05226789865398
2004,9,5.07914857297692
2004,10,5.07974000003043
2004,11,5.0392667560208
2004,12,5.04435845788525
2005,1,5.05303680171404
2005,2,5.06215476048328
2005,3,5.06874220909038
2005,4,5.07454951616303
2005,5,5.1116306711651
2005,6,5.14510759906737
2005,7,5.12073216247014
2005,8,4.95089533355864
2005,9,4.83396170101397
2005,10,4.73665741497429
2005,11,4.76175153850449
2005,12,4.88199671194288
2006,1,5.05004092181248
2006,2,5.17299599089878
2006,3,5.31632097321802
2006,4,5.41697874419133
2006,5,5.47976928266531
2006,6,5.53081661646043
