Year,Month,Concentration
1986,1,2.0661326622089
1986,2,2.0661326622089
1986,3,2.0661326622089
1986,4,2.0661326622089
1986,5,2.0661326622089
1986,6,2.0661326622089
1986,7,2.0661326622089
1986,8,2.0661326622089
1986,9,2.06673341425935
1986,10,2.06822955110746
1986,11,2.06860358531948
1986,12,2.06860358531948
1987,1,2.06860358531948
1987,2,2.06860358531948
1987,3,2.07194626714897
1987,4,2.07306049442546
1987,5,2.07312898560388
1987,6,2.07317464638949
1987,7,2.07317464638949
1987,8,2.07317464638949
1987,9,2.07317464638949
1987,10,2.07585862694217
1987,11,2.07772301558572
1987,12,2.07772301558572
1988,1,2.0671694456504
1988,2,2.05280293198525
1988,3,2.05280293198525
1988,4,2.04847414156017
1988,5,2.0432891348544
1988,6,2.03932177950172
1988,7,2.03932177950172
1988,8,2.0375194672993
1988,9,2.03587839120989
1988,10,2.03587839120989
1988,11,2.03592403612785
1988,12,2.03428019365605
1989,1,2.03400634988074
1989,2,2.03487944728946
1989,3,2.03595626885731
1989,4,2.0397592654957
1989,5,2.04000227066073
1989,6,2.0401917069973
1989,7,2.04020455608396
1989,8,2.0401669973094
1989,9,2.0401669973094
1989,10,2.04235152790882
1989,11,2.04159308496659
1989,12,2.04159308496659
1990,1,2.04159308496659
1990,2,2.04155810312231
1990,3,2.04155810312231
1990,4,2.04152618364071
1990,5,2.0394108759919
1990,6,2.039134648283
1990,7,2.03526269761369
1990,8,2.01232678266365
1990,9,1.99370351233453
1990,10,1.99046845247078
1990,11,1.98204597271688
1990,12,1.98356018974571
1991,1,1.9824228516806
1991,2,1.97819260266657
1991,3,1.97807353751391
1991,4,1.97807353751391
1991,5,1.97533568526238
1991,6,1.97506813566944
1991,7,1.97506813566944
1991,8,1.97494721746832
1991,9,1.97490588133971
1991,10,1.97490588133971
1991,11,1.97937917789077
1991,12,1.98049750202854
1992,1,1.98049750202854
1992,2,1.98345724608656
1992,3,1.98469124271283
1992,4,1.98744630562348
1992,5,1.98812250361826
1992,6,1.98812250361826
1992,7,1.98813234437245
1992,8,1.9881717073892
1992,9,1.98519815833124
1992,10,1.98424115585082
1992,11,1.9846407925972
1992,12,1.98542479096518
1993,1,1.98447671440254
1993,2,1.98425213619295
1993,3,1.98425213619295
1993,4,1.98250929143035
1993,5,1.98256010242067
1993,6,1.98038804984538
1993,7,1.96375744311172
1993,8,1.9630017143824
1993,9,1.96402215435695
1993,10,1.96405352803478
1993,11,1.96081411090389
1993,12,1.95739861325396
1994,1,1.95724975006311
1994,2,1.9557126963523
1994,3,1.91674249755028
1994,4,1.86639926656959
1994,5,1.86428871801548
1994,6,1.83203830482291
1994,7,1.82099416170686
1994,8,1.82135414627686
1994,9,1.83972583622466
1994,10,1.84437541158169
1994,11,1.84480429959994
1994,12,1.84007273169714
1995,1,1.83710955023248
1995,2,1.83638657826555
1995,3,1.8359814563327
1995,4,1.83993667782583
1995,5,1.84357150246636
1995,6,1.84822557703823
1995,7,1.84974942156255
1995,8,1.85149886208154
1995,9,1.88103246862905
1995,10,1.93271305321608
1995,11,1.99395708113504
1995,12,2.13897252235154
1996,1,2.35901184919874
1996,2,2.38375438137799
1996,3,2.38896979828729
1996,4,2.3988617812827
1996,5,2.73580654599632
1996,6,2.88596379549233
1996,7,2.95568861607011
1996,8,2.96109942978031
1996,9,3.01141130627218
1996,10,3.07969333448893
1996,11,3.09196831992253
1996,12,3.14913241256893
1997,1,3.15619668218488
1997,2,3.17266891179402
1997,3,3.17667058125015
1997,4,3.20277309911845
1997,5,3.20021408882887
1997,6,3.17438801019693
1997,7,3.13326357528064
1997,8,2.75550565177369
1997,9,2.85696095929453
1997,10,3.22805719199362
1997,11,3.27940648959874
1997,12,3.31927563583775
1998,1,3.31243425048128
1998,2,3.32039765987125
1998,3,3.32942635542672
1998,4,3.27292218475668
1998,5,2.87110399712525
1998,6,2.52557442396572
1998,7,2.54994035768109
1998,8,2.60131770541443
1998,9,2.6062915015826
1998,10,2.58869708618602
1998,11,2.6855737251186
1998,12,3.29535410081212
1999,1,3.35179102872957
1999,2,3.3616474966936
