Year,Month,Concentration
1986,1,7381.49252863345
1986,2,7381.49252863345
1986,3,7381.49252863345
1986,4,7381.49252863345
1986,5,7381.49252863345
1986,6,7381.49252863345
1986,7,7381.49252863345
1986,8,7381.49252863345
1986,9,7381.49252863345
1986,10,7381.49252863345
1986,11,7381.49252863345
1986,12,7380.71318961956
1987,1,7387.14654541987
1987,2,7396.79657912032
1987,3,7396.79657912032
1987,4,7397.73426503598
1987,5,7398.67195095164
1987,6,7402.40108979649
1987,7,7402.40108979649
1987,8,7419.87620742527
1987,9,7447.00480048266
1987,10,7450.75145398858
1987,11,7450.02577842891
1987,12,7450.02577842891
1988,1,7439.67271118712
1988,2,7432.77066635926
1988,3,7432.77066635926
1988,4,7437.33705062855
1988,5,7441.04619861199
1988,6,7441.27043181582
1988,7,7441.27043181582
1988,8,7438.52792771817
1988,9,7441.28431436617
1988,10,7441.28431436617
1988,11,7424.37419459765
1988,12,7367.04185963643
1989,1,7356.00274753743
1989,2,7340.5497847475
1989,3,7329.40968970399
1989,4,7313.77570258261
1989,5,7312.00312947275
1989,6,7303.0654794563
1989,7,7282.7797910651
1989,8,7237.30082253784
1989,9,7194.10418030178
1989,10,7164.7455834268
1989,11,7120.66141480355
1989,12,7106.93774515804
1990,1,6899.30715358331
1990,2,6719.53149014686
1990,3,6701.01825069318
1990,4,6699.21934561596
1990,5,6691.08921115449
1990,6,6594.96876931832
1990,7,6247.56187524118
1990,8,6062.89850274483
1990,9,6044.13074158568
1990,10,6008.64606607346
1990,11,5836.94918559939
1990,12,5836.94918559939
1991,1,5773.701197783
1991,2,5597.55331168302
1991,3,5587.66404777662
1991,4,5569.10951291355
1991,5,5480.21806975429
1991,6,5463.86010739664
1991,7,5453.18943049259
1991,8,5420.03943269799
1991,9,5418.33248207428
1991,10,5418.06628639068
1991,11,5338.60808142463
1991,12,5338.60808142463
1992,1,5337.72899275735
1992,2,5330.83412182783
1992,3,5330.27983710977
1992,4,5329.83685827733
1992,5,5326.77121568316
1992,6,5316.17611682239
1992,7,5280.1662951866
1992,8,5229.57205008389
1992,9,5221.03116003897
1992,10,5209.38873355888
1992,11,5206.87047364833
1992,12,5206.38732145589
1993,1,5206.45947824427
1993,2,5207.27706615902
1993,3,5155.8298813606
1993,4,5177.4070032538
1993,5,5174.4146426871
1993,6,5171.82216692565
1993,7,5163.23487473242
1993,8,5123.32537612612
1993,9,5120.40187326805
1993,10,5110.39755275534
1993,11,5102.28097772563
1993,12,5108.84049110711
1994,1,5110.48036945247
