Year,Month,Concentration
1986,1,2.9289500299985
1986,2,2.9289500299985
1986,3,2.9289500299985
1986,4,2.9289500299985
1986,5,2.9289500299985
1986,6,2.9289500299985
1986,7,2.9289500299985
1986,8,2.9289500299985
1986,9,2.9289500299985
1986,10,2.93995448304159
1986,11,2.94270559630236
1986,12,2.94270559630236
1987,1,2.94270559630236
1987,2,2.94270559630236
1987,3,2.95525245265555
1987,4,2.95943473810661
1987,5,2.95943473810661
1987,6,2.95943473810661
1987,7,2.95943473810661
1987,8,2.95943473810661
1987,9,2.95943473810661
1987,10,2.96199952118857
1987,11,2.96370937657654
1987,12,2.96370937657654
1988,1,2.93929206759324
1988,2,2.92431101968661
1988,3,2.92431101968661
1988,4,2.92228517903784
1988,5,2.91612842923712
1988,6,2.9133377412476
1988,7,2.90726312770831
1988,8,2.88786245951919
1988,9,2.87341112706361
1988,10,2.87330280015037
1988,11,2.87297781941065
1988,12,2.87404251298477
1989,1,2.8738855491565
1989,2,2.88065518401071
1989,3,2.88686652380499
1989,4,2.88770627265026
1989,5,2.88802702827017
1989,6,2.88817225334424
1989,7,2.89138599847998
1989,8,2.89238463432152
1989,9,2.89238463432152
1989,10,2.89415708021792
1989,11,2.89869582201175
1989,12,2.89869582201175
1990,1,2.90000376396304
1990,2,2.89772535831792
1990,3,2.89846012088069
1990,4,2.90014388034623
1990,5,2.89605079826112
1990,6,2.89605079826112
1990,7,2.89011580473793
1990,8,2.86303882730549
1990,9,2.85004368171059
1990,10,2.8445598081629
1990,11,2.83438293382304
1990,12,2.84140502425645
1991,1,2.83797292480768
1991,2,2.82627977202045
1991,3,2.82600370321472
1991,4,2.82600370321472
1991,5,2.80809727797071
1991,6,2.80637930330108
1991,7,2.80636094513355
1991,8,2.80079782970498
1991,9,2.79565093377849
1991,10,2.79565093377849
1991,11,2.79529143225525
1991,12,2.79497947753849
1992,1,2.79497947753849
1992,2,2.79082993580586
1992,3,2.7903474700575
1992,4,2.79130792177744
1992,5,2.79189867696062
1992,6,2.79532726601197
1992,7,2.79867625962426
1992,8,2.80165626260021
1992,9,2.80142215038033
1992,10,2.80179986281681
1992,11,2.80024373467312
1992,12,2.79997858900054
1993,1,2.79399310899967
1993,2,2.79262197794234
1993,3,2.79682127383733
1993,4,2.79682127383733
1993,5,2.79774349255367
1993,6,2.79294578420189
1993,7,2.76061289268798
1993,8,2.75578505480204
1993,9,2.75578505480204
1993,10,2.75386336296551
1993,11,2.7503304606221
1993,12,2.74671678976463
1994,1,2.74501566191317
1994,2,2.74634104116293
1994,3,2.70879223511847
1994,4,2.67222492255422
1994,5,2.66595052530154
1994,6,2.61796862441317
1994,7,2.60283173562598
1994,8,2.6016096400179
1994,9,2.59910607162337
1994,10,2.59591756822577
1994,11,2.59591756822577
1994,12,2.58755640658274
1995,1,2.58399147024491
1995,2,2.5813435333724
1995,3,2.58078069335915
1995,4,2.58089372198931
1995,5,2.58234934969259
1995,6,2.58723705386034
1995,7,2.58723705386034
1995,8,2.58820368296228
1995,9,2.61288771000111
1995,10,2.61774517640984
1995,11,2.62183766321125
1995,12,2.6857886042613
1996,1,2.76869186128004
1996,2,2.79052849695303
1996,3,2.80497449206489
1996,4,2.8200006450664
1996,5,2.82102183957014
1996,6,2.83125481802661
1996,7,2.85173151764058
1996,8,2.85641184575477
1996,9,2.88757920617501
1996,10,2.91214328442476
1996,11,2.93273114862152
1996,12,2.96430728644314
1997,1,2.96883851740654
1997,2,2.97027688364654
1997,3,2.96786729106219
1997,4,2.98136492123963
1997,5,2.99842715567886
1997,6,2.99531297421306
1997,7,2.97977533346451
1997,8,2.99468075139281
1997,9,3.04519325645892
1997,10,3.06301670070986
