Year,Month,Concentration
1986,1,21.6452009847749
1986,2,21.6452009847749
1986,3,21.6452009847749
1986,4,21.6452009847749
1986,5,21.6497639712903
1986,6,21.6566084510634
1986,7,21.6566084510634
1986,8,21.6597994426424
1986,9,21.6645859300108
1986,10,21.6645859300108
1986,11,21.6645859300108
1986,12,21.6645859300108
1987,1,21.6645859300108
1987,2,21.6645859300108
1987,3,21.6645859300108
1987,4,21.6645859300108
1987,5,21.661797783448
1987,6,21.661797783448
1987,7,21.661797783448
1987,8,21.661797783448
1987,9,21.661797783448
1987,10,21.6581880197103
1987,11,21.6527733741038
1987,12,21.6932661937498
1988,1,21.7062658620839
1988,2,21.7059339032741
1988,3,21.7059339032741
1988,4,21.7059339032741
1988,5,21.7059339032741
1988,6,21.7059339032741
1988,7,21.7059339032741
1988,8,21.7132363191011
1988,9,21.7204719519815
1988,10,21.7156497112336
1988,11,21.713385287187
1988,12,21.7158768493949
1989,1,21.7179645631195
1989,2,21.8033156451921
1989,3,21.8439951204588
1989,4,21.8213702763068
1989,5,21.8235155232726
1989,6,21.8235879975243
1989,7,21.8075873236295
1989,8,21.8022882327618
1989,9,21.8033830820282
1989,10,21.7811045538966
1989,11,21.7182128716672
1989,12,21.7203694907344
1990,1,21.7056274376067
1990,2,21.6237257765859
1990,3,21.624441565796
1990,4,21.5707542102657
1990,5,21.4728737726289
1990,6,21.4728737726289
1990,7,21.4703653684069
1990,8,21.4123774338084
1990,9,21.4117155245429
1990,10,21.3975690680026
1990,11,21.4031747587242
1990,12,21.4133045970831
1991,1,21.3779914273708
1991,2,21.2928338003226
1991,3,21.2765810139331
1991,4,21.0925358320692
1991,5,20.8566907898518
1991,6,20.8389077345884
1991,7,20.8389077345884
1991,8,20.610877914251
1991,9,20.3980698373225
1991,10,20.3772716653358
1991,11,20.2543429131617
1991,12,20.229063756687
1992,1,20.1632658401341
1992,2,20.1183079334663
1992,3,20.1333489102335
1992,4,20.1332811533649
1992,5,20.111541468216
1992,6,20.0999702699209
1992,7,20.1018483712143
1992,8,20.0919001816556
1992,9,20.0807535010306
1992,10,20.1396991695945
1992,11,20.3027081351747
1992,12,21.0249398303167
1993,1,21.0769267727508
1993,2,21.1207757754713
1993,3,21.414085827617
1993,4,21.8010736892179
1993,5,22.3183833130802
1993,6,22.6360827885813
1993,7,22.7682008041617
1993,8,23.0073911865252
1993,9,23.0312593619808
1993,10,22.8241887123304
1993,11,22.8232700888811
1993,12,22.8038622889395
1994,1,22.7771358115663
1994,2,22.7272838560348
1994,3,22.7145611846422
1994,4,22.6533371356194
1994,5,22.6533371356194
1994,6,22.5978418106005
1994,7,22.4313558355435
1994,8,22.4313558355435
1994,9,22.4309545381009
1994,10,22.4406756351173
1994,11,22.4433072390104
1994,12,22.4412405390153
1995,1,22.427726407856
1995,2,22.3419361250179
1995,3,22.2527719224138
1995,4,22.1666119529508
1995,5,22.3306427635224
1995,6,22.2465311442424
1995,7,22.2465311442424
1995,8,22.2465311442424
1995,9,22.250197257465
1995,10,22.1199913842507
1995,11,22.0948446663138
1995,12,21.9928410864053
1996,1,21.836768671209
1996,2,21.809889813374
1996,3,21.8225722920391
1996,4,21.8258840057934
1996,5,21.8335998945344
1996,6,21.8398347823288
1996,7,21.8586155708065
1996,8,21.8287875101228
1996,9,21.8239893493683
1996,10,21.8269230169986
1996,11,21.8259838093436
1996,12,21.8175134087514
1997,1,21.7827609379715
1997,2,21.7927754812677
1997,3,21.8059914382621
1997,4,21.7858972344186
1997,5,21.5954129954364
1997,6,21.5105610275722
1997,7,21.4935153335491
1997,8,21.4781573427621
1997,9,21.4161383472912
1997,10,21.2788767529131
1997,11,21.0209647244352
1997,12,20.9723270880361
1998,1,20.5907531068861
1998,2,20.4734511514887
1998,3,20.4733802781463
1998,4,20.4580809708721
1998,5,20.5083537071478
1998,6,20.545234022363
1998,7,20.6320183821431
1998,8,20.9667129493187
1998,9,21.247903972416
1998,10,21.6073430157537
1998,11,21.6515539272011
1998,12,21.7368863963992
1999,1,21.9900446279336
1999,2,22.2577313779553
1999,3,22.5541466845327
1999,4,22.778682483685
1999,5,23.1727047427953
1999,6,23.3798297708074
1999,7,23.7136573966786
1999,8,24.1181327692312
1999,9,24.7201731905322
1999,10,25.2647242408916
1999,11,25.3499253323243
1999,12,25.3318780883913
2000,1,25.098965840399
2000,2,25.037451569401
2000,3,25.1032245751662
2000,4,25.0733876867918
2000,5,25.1333631533403
2000,6,25.3110645764174
2000,7,25.3408378470899
2000,8,25.4181952369544
2000,9,25.5940286611458
2000,10,25.7807677132138
2000,11,25.8809766035846
2000,12,25.8656022195549
2001,1,25.9507530691424
2001,2,26.0260101632658
2001,3,26.1031749549579
2001,4,26.0267252389503
2001,5,26.0254061386908
2001,6,25.9174815012798
2001,7,25.4427032271614
2001,8,24.9823885409427
2001,9,24.6253118311625
2001,10,24.4167196823874
2001,11,24.0589355261127
2001,12,23.6661823084792
2002,1,23.5300729921786
2002,2,23.5786414563145
2002,3,23.5343040567031
2002,4,23.4531126791244
2002,5,23.5356557726929
2002,6,23.5157650230009
2002,7,23.4757376388383
2002,8,23.4697555856554
2002,9,23.5155929182582
2002,10,23.5290398997336
2002,11,23.4117867974194
2002,12,23.3601130681703
2003,1,23.3470149935854
2003,2,23.2554769202896
2003,3,23.2215849011386
2003,4,23.1986131784963
2003,5,23.2222395603507
2003,6,23.1627463781305
2003,7,23.1243703076733
2003,8,23.0630373835223
2003,9,23.0742998891664
2003,10,23.0996216921085
2003,11,23.2396641458054
2003,12,23.3822245703213
2004,1,23.3839854184701
2004,2,23.438352179168
2004,3,23.5001165322157
2004,4,23.6272777996955
2004,5,23.5419737722099
2004,6,23.524830450003
2004,7,23.5449177328266
2004,8,23.520843846979
2004,9,23.5139715251953
2004,10,23.4193038779044
2004,11,23.2476389370515
2004,12,23.093237636707
2005,1,22.5424678909487
2005,2,22.3107979681521
2005,3,22.2985857593208
2005,4,22.2594354910855
2005,5,22.1410880169873
2005,6,22.1192430192673
2005,7,22.0484048612198
2005,8,21.73146368803
2005,9,21.7058544063682
2005,10,21.7050638600127
2005,11,21.6256510870703
2005,12,21.6309475968077
2006,1,21.6335870190278
2006,2,21.4626275844388
2006,3,21.4512604308278
2006,4,21.4431284473566
2006,5,21.0934174289081
2006,6,20.9538226936242
2006,7,20.893805683296
2006,8,20.5382302484079
2006,9,20.2236476630999
2006,10,20.2084674942851
2006,11,19.9615559566279
2006,12,19.7011491274244
2007,1,19.7084521380184
2007,2,19.6313386263874
2007,3,19.4389882239012
2007,4,19.4207201167681
2007,5,19.3540771803868
2007,6,19.2153180922529
2007,7,19.1180097544297
2007,8,18.9941255148795
2007,9,18.8585651831435
2007,10,18.7538170864153
2007,11,18.547635154872
2007,12,18.5684139556517
2008,1,18.664005073129
2008,2,18.6738041696081
2008,3,18.6877831478629
2008,4,18.6972012584127
2008,5,18.6976072656952
2008,6,18.6838411826686
2008,7,18.6651304866882
2008,8,18.565049788424
2008,9,18.7810026989818
2008,10,18.9365059294857
2008,11,18.9852749219448
2008,12,19.0030633816583
2009,1,19.0120226448741
2009,2,19.0491471760615
2009,3,19.0570813755396
2009,4,19.1072313438095
2009,5,19.1508438138335
2009,6,19.2749521327425
2009,7,19.2951672863612
2009,8,19.3303231365301
2009,9,19.6565959451308
2009,10,19.7321515451179
2009,11,19.7151302807342
2009,12,19.714960871532
2010,1,19.7482124736289
2010,2,19.7450054030903
2010,3,19.7572044100089
2010,4,19.7701261229077
2010,5,19.7373262917269
2010,6,19.7050512935029
2010,7,19.5788675502499
2010,8,19.4262976624719
2010,9,19.4141351102916
2010,10,19.4579845539154
