Year,Month,Concentration
1986,1,34.4231246115202
1986,2,34.4231246115202
1986,3,34.4231246115202
1986,4,34.4231246115202
1986,5,34.4231246115202
1986,6,34.4231246115202
1986,7,34.4231246115202
1986,8,34.4231246115202
1986,9,34.4231246115202
1986,10,34.4231246115202
1986,11,34.4231246115202
1986,12,34.4231246115202
1987,1,34.4231246115202
1987,2,34.423108756507
1987,3,34.4186449067989
1987,4,34.4053009227141
1987,5,34.4053009227141
1987,6,34.4053009227141
1987,7,34.4053009227141
1987,8,34.4053009227141
1987,9,34.4053009227141
1987,10,34.4061596939286
1987,11,34.4094611849221
1987,12,34.4114745190938
1988,1,34.4114745190938
1988,2,34.4114745190938
1988,3,34.4114745190938
1988,4,34.4110935444145
1988,5,34.4448675267324
1988,6,34.5283931037646
1988,7,34.6477355914044
1988,8,34.7082628138514
1988,9,34.6214821018794
1988,10,34.5637538458984
1988,11,34.5455764850853
1988,12,34.6549201935541
1989,1,34.8279304842962
1989,2,37.2219868734832
1989,3,38.4969647596264
1989,4,38.8776721329811
1989,5,38.9523275494062
1989,6,38.9222009267368
1989,7,38.9253168121659
1989,8,38.9073351024288
1989,9,38.9843021581612
1989,10,39.4738637543431
1989,11,39.587778425997
1989,12,39.59860052939
1990,1,39.7136528832158
1990,2,39.8268329481512
1990,3,39.9006696306054
1990,4,40.1246918014865
1990,5,40.1886453560982
1990,6,40.2027281890145
1990,7,40.2873933156252
1990,8,40.4011564425347
1990,9,40.4062994622997
1990,10,40.4170582830101
1990,11,40.4185920353119
1990,12,40.4185920353119
1991,1,40.4288403641201
1991,2,40.5868586571775
1991,3,40.63728232545
1991,4,40.7969929242308
1991,5,41.0396649049695
1991,6,41.0410420277147
1991,7,41.0223243440372
1991,8,41.0588135957417
1991,9,41.0774413038267
1991,10,41.0774413038267
1991,11,41.3625244421352
1991,12,41.3625244421352
1992,1,41.1195725022607
1992,2,40.9189143899651
1992,3,40.9104339335582
1992,4,40.890850681167
1992,5,40.849044574884
1992,6,40.8344490404265
1992,7,40.8272405179271
1992,8,40.874105354032
1992,9,40.8933312273167
1992,10,40.8855466813185
1992,11,40.9131711122112
1992,12,40.9339053508971
1993,1,40.9338271376346
1993,2,40.9682124659824
1993,3,40.9458167667328
1993,4,40.9477066123986
1993,5,40.9423963575123
1993,6,40.9192080838785
1993,7,40.913632235002
1993,8,40.9114782254963
1993,9,40.9415396241222
1993,10,40.9415396241222
1993,11,40.9332247957584
1993,12,40.594226382974
1994,1,40.3615472461626
1994,2,40.3580339778343
1994,3,40.107851561416
1994,4,40.1045781601564
1994,5,40.0904689420569
1994,6,39.8042815730002
1994,7,39.7861748225718
1994,8,39.7845606920942
1994,9,38.7190854810575
1994,10,38.7190854810575
1994,11,38.7190854810575
1994,12,38.7160254260645
1995,1,38.7139853894024
1995,2,38.6731870933854
1995,3,38.4285365950881
1995,4,38.2198585108678
1995,5,38.0548144695676
1995,6,37.4903802189442
1995,7,37.4769712653008
1995,8,37.371567878436
1995,9,37.0356257748859
1995,10,37.0152345371534
1995,11,36.9508168803385
1995,12,36.7934649259927
1996,1,36.6328568355239
1996,2,36.4540545348834
1996,3,36.271405967325
1996,4,35.8347970820977
1996,5,35.6640266941824
1996,6,35.2147718119209
1996,7,35.0674753957971
1996,8,34.9677682306842
1996,9,34.5316815713778
1996,10,34.4857795563985
1996,11,33.9074904789267
1996,12,32.5844938657424
1997,1,32.4728908125029
1997,2,32.4521344000364
1997,3,32.1857336795645
1997,4,32.1014648773414
1997,5,31.9991540944906
1997,6,31.9016108907733
1997,7,31.6370356758189
1997,8,31.4867314868887
1997,9,31.4561692696047
1997,10,30.8236335470354
1997,11,30.7586867602121
1997,12,30.5703525700639
1998,1,30.3645099273216
1998,2,30.3551813715819
1998,3,30.2651703484587
1998,4,30.2011394106289
1998,5,30.2011394106289
1998,6,30.1834061297657
1998,7,30.1859343887105
1998,8,30.1998854420454
1998,9,30.2022227836153
1998,10,30.1990606296697
1998,11,30.2397559691226
1998,12,30.1497680345951
1999,1,30.0632897273631
1999,2,29.9780443072939
1999,3,29.8966381022499
1999,4,29.4987453003549
1999,5,28.9762715312919
1999,6,28.8622707176677
1999,7,28.7774138691955
1999,8,28.6037032022942
1999,9,28.4637180224601
1999,10,28.30791776394
1999,11,28.2269509002068
1999,12,28.1478882203705
2000,1,27.8753091939976
2000,2,27.8708252628753
2000,3,28.0699763657755
2000,4,28.2147425349047
2000,5,28.2019333259618
2000,6,28.2463984648296
2000,7,28.2444659185277
2000,8,28.1909570186087
2000,9,28.133173992702
2000,10,28.0642555097225
2000,11,27.947547777014
2000,12,27.8603104077301
2001,1,27.7910669833813
2001,2,27.7324887263767
2001,3,27.7195417611439
2001,4,27.7455786122403
2001,5,27.7449803580097
2001,6,27.7369062167937
2001,7,27.7389777286586
2001,8,27.6937899981589
2001,9,27.531744545082
2001,10,27.4468221139358
2001,11,27.4782838963241
2001,12,27.4993119162616
2002,1,27.521900129696
2002,2,27.5346770504528
2002,3,27.5855037830981
2002,4,27.6890021966466
2002,5,27.896236327629
2002,6,28.0224134808546
2002,7,28.0755923267367
2002,8,28.108226964114
2002,9,28.1898443720333
2002,10,28.2782157566588
2002,11,28.2913828028965
2002,12,28.3565450436713
2003,1,28.4738783240732
2003,2,28.6253781417667
2003,3,28.8759816042841
2003,4,28.9137615127443
2003,5,28.9731092411542
2003,6,29.1148938885201
2003,7,29.117236707458
2003,8,29.0997750470921
2003,9,28.993723226508
2003,10,29.0129384404667
2003,11,29.0255686051878
2003,12,29.0428612162975
2004,1,28.9604877836058
2004,2,28.9437067922582
2004,3,28.8763063193117
2004,4,28.8340989033534
2004,5,28.6630603159752
2004,6,28.2195836058714
2004,7,27.8655386487131
2004,8,27.6402821750253
2004,9,27.6212794124272
2004,10,27.5540435406582
2004,11,27.441099128933
2004,12,27.4196228426635
2005,1,27.3094641818506
2005,2,27.1874777262063
2005,3,27.174125619129
2005,4,27.0507546414119
2005,5,26.8212742223815
2005,6,26.7483880201469
2005,7,26.6569189982037
2005,8,26.5444414081051
2005,9,26.5462688549745
2005,10,26.546413723045
2005,11,26.5177611996323
2005,12,26.5046938841319
2006,1,26.497583536404
2006,2,26.4730470683442
2006,3,26.4822575442042
