Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0.462672841796435
1990,7,2.31059105105797
1990,8,2.27620662688935
1990,9,2.25019561362897
1990,10,2.24580697804595
1990,11,2.23267498884397
1990,12,2.23272586516463
1991,1,2.2298300968899
1991,2,2.2181784162819
1991,3,2.21514964064708
1991,4,2.21514964064708
1991,5,2.2000628027496
1991,6,2.19921587565609
1991,7,2.19981837152733
1991,8,2.19256447989031
1991,9,2.18467847851066
1991,10,2.18467847851066
1991,11,2.18086101206342
1991,12,2.18026312068029
1992,1,2.18026312068029
1992,2,2.18058927087853
1992,3,2.18058927087853
1992,4,2.181102823296
1992,5,2.1809889718863
1992,6,2.17716820927532
1992,7,2.17766399050586
1992,8,2.17896138169785
1992,9,2.17983123486975
1992,10,2.17983123486975
1992,11,2.18108136580415
1992,12,2.18219131037241
1993,1,2.17844651496409
1993,2,2.17751031611201
1993,3,2.18060966385037
1993,4,2.18060966385037
1993,5,2.18060966385037
1993,6,2.17519897240467
1993,7,2.16260810881595
1993,8,2.16220121191147
1993,9,2.16220121191147
1993,10,2.16207943926518
1993,11,2.15907150677523
1993,12,2.1560628002589
1994,1,2.15393930295773
1994,2,2.15351445478189
1994,3,2.13446257701004
1994,4,2.1126947344005
1994,5,2.11198523603192
1994,6,0.525535254980618
1994,7,0
1994,8,0.514584129261887
1994,9,0.41166730340951
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,2.03063250662064
1995,11,2.03567557414329
1995,12,2.0939023140233
1996,1,2.16618747332119
1996,2,2.18097594922676
1996,3,2.1917139809965
1996,4,2.20079824191297
1996,5,2.20287659448052
1996,6,2.21492099350023
1996,7,2.23601948144941
1996,8,2.23806051217238
1996,9,2.26238592198959
1996,10,2.28351697702397
1996,11,2.29539882380291
1996,12,2.31843727143868
1997,1,2.32205238517204
1997,2,2.32251533552838
1997,3,2.32333432193653
1997,4,2.32659105647218
1997,5,2.32793889943005
1997,6,2.32703213916114
1997,7,2.31825843167488
1997,8,2.3295791384617
1997,9,2.36229367356802
1997,10,2.37476486245045
1997,11,2.3925845970791
1997,12,2.39004109534372
1998,1,2.39075968051145
1998,2,2.40068885289619
1998,3,2.39743046051295
1998,4,2.38483831515892
1998,5,2.35395251552351
1998,6,2.3751195125217
1998,7,2.39833774157157
1998,8,2.41477020316499
1998,9,2.41596154221375
1998,10,2.44898120972258
1998,11,2.48610994192258
1998,12,2.49334094315663
1999,1,2.49582615935927
1999,2,2.51089492910275
1999,3,2.54665566551083
1999,4,2.58542479294715
1999,5,2.6049462756192
1999,6,2.6086920463024
1999,7,2.60752500586655
1999,8,2.6095724059513
1999,9,2.59831929918438
1999,10,2.58586888267185
1999,11,0.646040676526343
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,18.377031088001
2001,8,24.455867374011
2001,9,24.1645628114093
2001,10,24.0489679647123
2001,11,23.9352650911932
2001,12,23.7501950880996
2002,1,23.6894636217696
2002,2,23.772201747065
2002,3,23.8401396007767
2002,4,24.1835295438167
2002,5,25.1819390256266
2002,6,25.3621047933373
2002,7,25.5478223817836
2002,8,26.0104723474394
2002,9,27.2048329338567
2002,10,28.9242900769339
2002,11,29.9681883592712
2002,12,30.2736808150215
2003,1,30.6440637519956
2003,2,31.6853449823058
2003,3,31.8758825610944
2003,4,32.0613119405826
2003,5,32.8768405374443
2003,6,33.4542733159855
2003,7,33.9793163897958
2003,8,34.3235225480235
2003,9,34.5174942235475
2003,10,34.7533111196255
2003,11,35.1669901973124
2003,12,35.4701615848134
2004,1,35.5090094942909
2004,2,35.8659279155216
2004,3,36.1603015529139
2004,4,36.367806334359
2004,5,36.4163275351103
2004,6,36.6096722804887
2004,7,36.5966762953317
2004,8,36.4773888217625
2004,9,36.3362993409888
2004,10,36.0232613274456
2004,11,35.3780493931401
2004,12,33.3736772960233
2005,1,30.3303833958732
2005,2,29.1048393024635
