Year,Month,Concentration
1986,1,18.00284890115
1986,2,18.00284890115
1986,3,18.00284890115
1986,4,18.00284890115
1986,5,18.00284890115
1986,6,18.00284890115
1986,7,18.00284890115
1986,8,18.00284890115
1986,9,18.00284890115
1986,10,18.00284890115
1986,11,18.00284890115
1986,12,18.00284890115
1987,1,18.00284890115
1987,2,18.00284890115
1987,3,18.00284890115
1987,4,18.00284890115
1987,5,18.00284890115
1987,6,18.0023657927756
1987,7,18.0023657927756
1987,8,18.0023657927756
1987,9,17.999224799297
1987,10,17.999224799297
1987,11,17.999224799297
1987,12,17.999224799297
1988,1,17.999224799297
1988,2,17.999224799297
1988,3,17.999224799297
1988,4,17.996710318046
1988,5,18.0001476050206
1988,6,18.0084288886066
1988,7,18.0172567910986
1988,8,18.0235659054263
1988,9,18.0283711083717
1988,10,18.0283711083717
1988,11,18.0283711083717
1988,12,18.0341025464616
1989,1,18.0371535421877
1989,2,18.0646359458933
1989,3,18.0876189502199
1989,4,18.0883628659827
1989,5,18.0883628659827
1989,6,18.0966265601535
1989,7,18.1021356896008
1989,8,18.1021356896008
1989,9,18.1021356896008
1989,10,18.0972184044732
1989,11,18.0792434068479
1989,12,18.0792434068479
1990,1,18.0817458621776
1990,2,18.0796597943527
1990,3,18.0806006423133
1990,4,18.0820119142543
1990,5,18.0819227706165
1990,6,18.0819227706165
1990,7,18.0781227618005
1990,8,18.0773564112002
1990,9,18.0773564112002
1990,10,18.0960508588278
1990,11,18.0960508588278
1990,12,18.0925193806021
1991,1,18.0706714399751
1991,2,18.0369109221251
1991,3,18.0369109221251
1991,4,18.0369109221251
1991,5,18.0186267394846
1991,6,18.0133741181642
1991,7,17.9909998868423
1991,8,17.9162018411098
1991,9,17.842517306499
1991,10,17.8354061244616
1991,11,17.8031416501418
1991,12,17.8031416501418
1992,1,17.7938643011037
1992,2,17.7606642679586
1992,3,17.7416906729152
1992,4,17.7227170778718
1992,5,17.7227170778718
1992,6,17.7227170778718
1992,7,17.7227170778718
1992,8,17.7216916585823
1992,9,17.7195658903778
1992,10,17.7767821211823
1992,11,17.9237077081915
1992,12,18.3208373801395
1993,1,18.3851520123126
1993,2,18.8463035732901
1993,3,20.2020546835448
1993,4,21.5458936594591
1993,5,22.8798736322598
1993,6,23.350801355503
1993,7,23.4934034292594
1993,8,23.9031418966636
1993,9,24.1066829941715
1993,10,23.7271565163317
1993,11,23.7218094184299
1993,12,23.7215708577275
1994,1,23.718163691758
1994,2,23.7287614805715
1994,3,23.7187886358353
1994,4,23.6872697154854
1994,5,23.6355502416682
1994,6,23.6323951828142
1994,7,23.6229300062525
1994,8,23.6229300062525
1994,9,23.6229300062525
1994,10,23.6261908518288
1994,11,23.6337529947047
1994,12,23.650079636658
1995,1,23.650079636658
1995,2,23.650079636658
1995,3,23.6415760356449
1995,4,23.5715328862759
1995,5,23.6773191681674
1995,6,23.5732737020931
1995,7,23.5732737020931
1995,8,23.5732737020931
1995,9,23.6803818607681
1995,10,23.8438688275549
1995,11,23.8575796159278
1995,12,23.8802114686449
1996,1,23.9067878152672
1996,2,23.9178190464104
1996,3,23.9347728632912
1996,4,23.9494458361615
1996,5,23.9695691606539
1996,6,24.0162256535681
1996,7,24.0429741920121
