Year,Month,Concentration
1986,1,2.86021660616364
1986,2,2.86021660616364
1986,3,2.86021660616364
1986,4,2.86021660616364
1986,5,2.86021660616364
1986,6,2.86021660616364
1986,7,2.86021660616364
1986,8,2.86021660616364
1986,9,2.86021660616364
1986,10,2.87629589490643
1986,11,2.88031571709212
1986,12,2.88031571709212
1987,1,2.88031571709212
1987,2,2.88031571709212
1987,3,2.88442941110333
1987,4,2.8858006424404
1987,5,2.8863063779607
1987,6,2.88832932004189
1987,7,2.88832932004189
1987,8,2.88832932004189
1987,9,2.88832932004189
1987,10,2.89079757645829
1987,11,2.89244308073589
1987,12,2.89244308073589
1988,1,2.88786405967268
1988,2,2.88647541388033
1988,3,2.88647541388033
1988,4,2.88502491137865
1988,5,2.88195176977591
1988,6,2.87613891642724
1988,7,2.84965219887802
1988,8,2.82186935339387
1988,9,2.8028971362614
1988,10,2.80155504326019
1988,11,2.80110839714568
1988,12,2.80302621241295
1989,1,2.80608365697686
1989,2,2.82638711195341
1989,3,2.90440603938253
1989,4,2.93339138550915
1989,5,2.95526027975348
1989,6,2.95809888452029
1989,7,2.96240231081879
1989,8,2.976004750098
1989,9,2.97856389376502
1989,10,2.9872956539094
1989,11,2.9980323587487
1989,12,3.00014752201024
1990,1,3.01587037993547
1990,2,3.02393360887306
1990,3,3.03364965993394
1990,4,3.04205810472302
1990,5,3.04406740070764
1990,6,3.04406740070764
1990,7,3.03628797929051
1990,8,3.01762202011045
1990,9,3.01759464759283
1990,10,3.02033703093588
1990,11,3.03731860369385
1990,12,3.05045023778712
1991,1,3.05045023778712
1991,2,3.05189239784966
1991,3,3.06237124889972
1991,4,3.06505551020538
1991,5,3.07780664685635
1991,6,3.08354068465786
1991,7,3.08378505178888
1991,8,3.08597486477018
1991,9,3.08336638132467
1991,10,3.08336638132467
1991,11,3.08476175033395
1991,12,3.09034322637111
1992,1,3.09051068124854
1992,2,3.0952766242377
1992,3,3.0963115215389
1992,4,3.09629870064504
1992,5,3.09617633896987
1992,6,3.0958407429954
1992,7,3.09682005119558
1992,8,3.0976337810131
1992,9,3.09697854853034
1992,10,3.09697854853034
1992,11,3.09497034290107
1992,12,3.09498489792665
1993,1,3.09498489792665
1993,2,3.10217359460659
1993,3,3.11022064985492
1993,4,3.11022064985492
1993,5,3.11065474794398
1993,6,3.11220913425547
1993,7,3.11220913425547
1993,8,3.11162321620401
1993,9,3.10894201701569
1993,10,3.11164200510299
1993,11,3.11283588973103
1993,12,3.11283588973103
1994,1,3.11206728293634
1994,2,3.11129867614164
1994,3,3.10833656470042
1994,4,3.10547344191446
1994,5,3.10430777566272
1994,6,3.10214719089828
1994,7,3.10570248870985
1994,8,3.10660261981096
1994,9,3.10793245278379
1994,10,3.11311610489646
1994,11,3.11311610489646
1994,12,3.11155760831998
1995,1,3.10522740024817
1995,2,3.10633488984428
1995,3,3.10761015864992
1995,4,3.10761015864992
1995,5,3.10761015864992
1995,6,3.10761015864992
1995,7,3.10761015864992
1995,8,3.10761015864992
1995,9,3.10761015864992
1995,10,3.10761015864992
1995,11,3.10773928397433
1995,12,3.10812665994753
1996,1,3.10812665994753
1996,2,3.10749344713354
1996,3,3.10686023431955
1996,4,3.10686023431955
1996,5,3.10686023431955
1996,6,3.10629517799474
1996,7,3.1046000090203
1996,8,3.10669012203188
1996,9,3.10636815437647
1996,10,3.10552365846816
1996,11,3.10498323835645
1996,12,3.10642579399789
1997,1,3.10801826799541
1997,2,3.10984950723514
1997,3,3.11283307815008
1997,4,3.11951778359124
1997,5,3.12209803503432
1997,6,3.12395073066663
1997,7,3.12466343309862
1997,8,3.12136347172339
1997,9,3.11885949403423
1997,10,3.11675844201789
1997,11,3.11919125332865
1997,12,3.12204358175113
1998,1,3.12204358175113
1998,2,3.12296650283013
1998,3,3.12652354368516
1998,4,3.13063994229871
1998,5,3.13114138751836
1998,6,3.13025543003787
1998,7,3.12992092165072
1998,8,3.1315993901839
1998,9,3.13074648538365
1998,10,3.13144035464631
1998,11,3.13586917374972
1998,12,3.13586917374972
1999,1,3.13574336979328
1999,2,3.13530574519956
1999,3,3.13781169361474
1999,4,3.1371822323609
1999,5,3.1340793210371
1999,6,3.1340793210371
1999,7,3.14037447067765
1999,8,3.13974946553353
1999,9,3.13932742210241
1999,10,3.13429055731632
1999,11,3.13303954080256
1999,12,3.13424987754722
2000,1,3.13828750976559
2000,2,3.1382095522861
2000,3,3.13396279694386
2000,4,3.13791830091316
2000,5,3.13594850627402
2000,6,3.13194210524471
2000,7,3.13780147525758
2000,8,3.17729247285519
2000,9,3.17642131617317
2000,10,3.18648370852597
2000,11,3.18668386375003
2000,12,3.18925645915915
2001,1,3.18180977369166
2001,2,3.17401680746066
2001,3,3.18122359025144
2001,4,3.19172779214307
2001,5,3.19228597136914
2001,6,3.22106053735768
2001,7,3.25862410936728
2001,8,3.2648574869587
2001,9,3.27846530634353
2001,10,3.28709724969586
2001,11,3.30660575726392
2001,12,3.31701288347538
2002,1,3.33564030721905
2002,2,3.34601364178277
2002,3,3.3931416573886
2002,4,3.42360516843318
2002,5,3.45466268301993
2002,6,3.48657161898283
2002,7,3.49866732008574
2002,8,3.52061932234188
2002,9,3.52491266832881
2002,10,3.52491246954706
2002,11,3.52604040272004
2002,12,3.52412508001123
2003,1,3.52410499509293
2003,2,3.51765866398026
2003,3,3.50830412913296
2003,4,3.50122625015865
2003,5,3.46478927994003
2003,6,3.43359604332881
2003,7,3.42223869717385
2003,8,3.33854525327962
2003,9,3.23706777906028
2003,10,3.15541721624387
2003,11,3.0640952430713
2003,12,3.01217101092029
2004,1,2.90760512255025
2004,2,2.88225854603159
2004,3,2.86863495438327
2004,4,2.85292335595478
2004,5,2.83812555971972
2004,6,2.82310880549668
2004,7,2.7978707817859
2004,8,2.78073150915821
2004,9,2.77228369375398
2004,10,2.76181050789679
2004,11,2.75477639546196
2004,12,2.75065383357182
2005,1,2.7239950272911
2005,2,2.72235795262171
2005,3,2.72186384632565
2005,4,2.71771399070468
2005,5,2.71333787264191
2005,6,2.70915831416688
2005,7,2.69744106523992
2005,8,2.6908501345455
2005,9,2.69364308890992
2005,10,2.68956414760197
2005,11,2.68834760289952
2005,12,2.68834760289952
2006,1,2.69054302974993
2006,2,2.69417610551291
2006,3,2.69417610551291
2006,4,2.69783670755197
2006,5,2.7051051079931
2006,6,2.70718407528078
2006,7,2.73129207323949
2006,8,2.75063450937974
2006,9,2.75220286835388
2006,10,2.75156995743778
2006,11,2.75346026060315
2006,12,2.75346026060315
2007,1,2.75466952429728
2007,2,2.75825058131975
2007,3,2.76048974691134
2007,4,2.76342160226002
2007,5,2.7662787686778
2007,6,2.76725415437054
2007,7,2.76670559608389
2007,8,2.76684928996794
2007,9,2.76867324350828
2007,10,2.7706614841056
2007,11,2.77007624650188
2007,12,2.77007624650188
2008,1,2.77007624650188
2008,2,2.77007624650188
2008,3,2.75846538098131
2008,4,2.75846538098131
2008,5,2.75754126669144
2008,6,2.75083212539495
2008,7,2.74836603962843
2008,8,2.74514105296551
2008,9,2.73515950904472
2008,10,2.7348152116046
2008,11,2.73390282500994
2008,12,2.73254901038234
2009,1,2.71243345917713
2009,2,2.68069750571858
2009,3,2.68062777972555
2009,4,2.68041860174647
2009,5,2.68041860174647
2009,6,2.67863641329353
2009,7,2.67800046366988
2009,8,2.67627616471034
2009,9,2.67627616471034
2009,10,2.67627616471034
2009,11,2.67627616471034
2009,12,2.6759760182628
2010,1,2.67587596944696
2010,2,2.67508588338101
2010,3,2.67482252135902
2010,4,2.67482252135902
2010,5,2.67482252135902
2010,6,2.67482252135902
2010,7,2.6777059085855
2010,8,2.68394591161877
2010,9,2.68392771865047
2010,10,2.68313859284521
2010,11,2.68547501975092
2010,12,2.68315945592083
2011,1,2.6792727722508
2011,2,2.68121532950204
2011,3,2.68129734902728
2011,4,2.68129734902728
2011,5,2.68238123072846
2011,6,2.68188588187508
2011,7,2.6812608134935
2011,8,2.68012147084809
2011,9,2.6786564284571
2011,10,2.67441542708957
2011,11,2.67441542708957
2011,12,2.67290149312812
2012,1,2.67252300963776
2012,2,2.67690691365347
2012,3,2.67476055389769
2012,4,2.66910189465506
2012,5,2.6656534120616
2012,6,2.66493673159597
2012,7,2.65265056979357
2012,8,2.64009073615459
2012,9,2.63355634742289
2012,10,2.63118256654412
2012,11,2.63070731208249
2012,12,2.61967746681358
2013,1,2.6083591888885
2013,2,2.53400358030022
2013,3,2.49862422714274
2013,4,2.47377426359674
2013,5,2.45026935431208
2013,6,2.45036085579138
2013,7,2.44709107020559
2013,8,2.37443429530108
2013,9,2.35098346518125
2013,10,2.34513665842471
2013,11,2.32926947260263
2013,12,2.32355576096658
2014,1,2.32056529074843
2014,2,2.31286705951439
2014,3,2.29951234532737
