Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,29.4268819370852
1990,6,29.4268819370852
1990,7,29.4190826858714
1990,8,29.1420836056038
1990,9,29.1143651904324
1990,10,29.1751538554581
1990,11,29.4473862737541
1990,12,29.4269794094121
1991,1,29.3798014109489
1991,2,29.2087160966988
1991,3,29.1771664939051
1991,4,29.1580117842683
1991,5,28.2879455855457
1991,6,28.1685785741086
1991,7,28.0503409270356
1991,8,27.272855020102
1991,9,26.7580124499848
1991,10,26.7072600657748
1991,11,26.3070564598099
1991,12,26.3015772291613
1992,1,26.0760561677557
1992,2,25.4066104002159
1992,3,25.2741876099569
1992,4,25.0584948590676
1992,5,24.8540394918705
1992,6,24.8624132842839
1992,7,24.8934076998607
1992,8,24.8937233217849
1992,9,24.8610323881835
1992,10,24.7435894741078
1992,11,24.6927145681829
1992,12,24.8129785232658
1993,1,24.7833592045702
1993,2,0
1993,3,0
1993,4,19.7977657163657
1993,5,18.5548886352711
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,2.18634227107894
1993,11,2.7292451364803
1993,12,2.72876340197183
1994,1,2.7122889135276
1994,2,2.70127389290492
1994,3,2.69227636078143
1994,4,2.66752886969407
1994,5,2.66227616440164
1994,6,2.64112469432417
1994,7,2.63722444445123
1994,8,2.63468396580325
1994,9,2.63292070843937
1994,10,2.63053835203598
1994,11,2.63128460941692
1994,12,2.6160751987601
1995,1,2.60248444096718
1995,2,2.59235997159656
1995,3,2.59028732046355
1995,4,2.58250937286827
1995,5,1.93368168698983
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,1.29161744936057
1996,2,2.57975088810335
1996,3,2.57817710495053
1996,4,2.58253782112892
1996,5,2.58253782112892
1996,6,2.58244074900014
1996,7,2.58270401899251
1996,8,2.58430493431976
1996,9,2.59512404510391
1996,10,2.60847807134654
1996,11,2.61751645616314
1996,12,2.62686766299904
1997,1,2.6267999012191
1997,2,2.62985980126204
1997,3,2.63592878917404
1997,4,2.63900356450391
1997,5,2.64246694828973
1997,6,2.64557177324964
1997,7,2.64538361132554
1997,8,2.66232856998682
1997,9,2.71855338309204
1997,10,2.73854160936252
1997,11,2.77969687521948
1997,12,2.79941722794132
1998,1,2.78830191201493
1998,2,2.78693273997174
1998,3,2.77033928410237
1998,4,2.78933545055829
1998,5,2.80033110305112
1998,6,2.82378239700039
1998,7,2.83433926938233
1998,8,2.84734573500818
1998,9,18.4971375481997
1998,10,23.8925454249387
1998,11,24.0233321815198
1998,12,24.2339192021339
1999,1,24.3798465941598
1999,2,24.7518171709204
1999,3,25.5198168984639
1999,4,26.7175169322157
1999,5,27.2378269646732
1999,6,27.2631479693038
1999,7,27.2185253188964
1999,8,27.2342534656227
1999,9,27.5518424657491
1999,10,27.8662341323324
1999,11,27.8202351819329
1999,12,27.9614254545755
2000,1,27.7644015846103
2000,2,27.5022779376037
2000,3,27.8010689189447
2000,4,28.0268352878693
2000,5,28.1364637360729
2000,6,28.1213300362277
2000,7,28.1095931982882
2000,8,28.0940975517199
2000,9,28.1178682272566
2000,10,28.2762957210979
2000,11,28.2875703393577
2000,12,28.5111657062204
2001,1,28.3933813979657
2001,2,28.4402236370475
2001,3,28.482407701428
2001,4,28.3081170774008
2001,5,28.1908702708166
2001,6,28.1157451659634
2001,7,27.9052490289017
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0
2003,10,0
2003,11,0
2003,12,0
2004,1,0
2004,2,0
2004,3,0
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,0
2004,11,0
2004,12,0
2005,1,0
2005,2,0
2005,3,0
2005,4,0
2005,5,0
2005,6,0
2005,7,0
2005,8,0
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2006,1,0
2006,2,0
2006,3,0
2006,4,0
2006,5,0
2006,6,0
2006,7,0
2006,8,0
2006,9,0
2006,10,0
