Year,Month,Concentration
1986,1,22.3299817995125
1986,2,22.3299817995125
1986,3,22.3299817995125
1986,4,22.3299817995125
1986,5,22.3299817995125
1986,6,22.3299817995125
1986,7,22.3299817995125
1986,8,22.3299817995125
1986,9,22.3299817995125
1986,10,22.3299817995125
1986,11,22.3299817995125
1986,12,22.3215000630834
1987,1,22.3124570639362
1987,2,22.3124570639362
1987,3,22.3105007253923
1987,4,22.3046317097605
1987,5,22.2843197077988
1987,6,22.2843197077988
1987,7,22.2843197077988
1987,8,22.2843197077988
1987,9,22.2843197077988
1987,10,22.2843197077988
1987,11,22.2843197077988
1987,12,22.3263347438788
1988,1,22.3193520181267
1988,2,22.3053601929408
1988,3,22.3053601929408
1988,4,22.3107139781201
1988,5,22.3142831682397
1988,6,22.3142831682397
1988,7,22.3142831682397
1988,8,22.3138931303789
1988,9,22.3135030925182
1988,10,22.3135030925182
1988,11,22.3148635127677
1988,12,22.3144574713633
1989,1,22.3141867770937
1989,2,22.3433193549276
1989,3,22.3552107696136
1989,4,22.3541061976334
1989,5,22.3541061976334
1989,6,22.3541061976334
1989,7,22.3534876991012
1989,8,22.3513862972077
1989,9,22.3511138798367
1989,10,22.3511138798367
1989,11,22.3573940354263
1989,12,22.3573940354263
1990,1,22.3322126194372
1990,2,22.2844726907186
1990,3,22.2844726907186
1990,4,22.2378964399419
1990,5,22.2286581717584
1990,6,22.2286581717584
1990,7,22.2572529918707
1990,8,22.2322577615783
1990,9,22.2327695092245
1990,10,22.2329289365283
1990,11,22.2141658388759
1990,12,22.1724425346256
1991,1,22.1717302166419
1991,2,22.1692616949171
1991,3,22.1444100698972
1991,4,22.1071326323674
1991,5,22.0875695709191
1991,6,22.0893594606558
1991,7,22.0893594606558
1991,8,22.069608754811
1991,9,22.0377217306325
1991,10,22.0266856007867
1991,11,22.0037770996864
1991,12,22.005483680908
1992,1,21.9944566968404
1992,2,21.8957793378493
1992,3,21.885741988145
1992,4,21.8552436241038
1992,5,21.7906581522246
1992,6,21.7891003230927
1992,7,21.7956890423448
1992,8,21.7971186772494
1992,9,21.7836794426926
1992,10,21.7573794769083
1992,11,21.8045928690443
1992,12,21.8435144402502
1993,1,21.8553990985413
1993,2,21.8596889935709
1993,3,21.9360447718992
1993,4,21.9917125721261
1993,5,22.1554192616065
1993,6,22.2274257214823
1993,7,22.2712172946942
1993,8,22.3041597284908
1993,9,22.3144836708707
1993,10,22.2675732354683
1993,11,22.2672436530821
1993,12,22.2672436530821
1994,1,22.2662374099918
1994,2,22.2596146991256
1994,3,22.2563297725592
1994,4,22.252892877563
1994,5,22.252892877563
1994,6,22.2447803703081
1994,7,22.2252297588708
1994,8,22.2252297588708
1994,9,22.2252297588708
1994,10,22.2272051902358
1994,11,22.223203003733
1994,12,22.2215745516861
1995,1,22.2215745516861
1995,2,22.2215745516861
1995,3,22.204151858763
1995,4,22.1864465255496
1995,5,22.2125068525174
1995,6,22.2124332985122
1995,7,22.2124332985122
1995,8,22.2124332985122
1995,9,22.2419443243461
1995,10,22.3128462565368
1995,11,22.3074906004294
1995,12,22.3122094933133
1996,1,22.3054502830329
1996,2,22.3131424243753
1996,3,22.4023734517347
1996,4,22.4190912474544
1996,5,22.4109431394151
1996,6,22.3985999481972
1996,7,22.3855550830707
1996,8,22.3903526964489
1996,9,22.3896256044024
1996,10,22.3896256044024
1996,11,22.4008182777183
1996,12,22.4042208916264
1997,1,22.4034731726281
1997,2,22.3690778715978
1997,3,22.3864721948981
1997,4,22.4034834892435
1997,5,22.4028227242696
