Year,Month,Concentration
1986,1,11614.7756806643
1986,2,11614.7756806643
1986,3,11614.7756806643
1986,4,11614.7756806643
1986,5,11614.7756806643
1986,6,11614.7756806643
1986,7,11614.7756806643
1986,8,11614.7756806643
1986,9,11614.7756806643
1986,10,11614.7756806643
1986,11,11614.7756806643
1986,12,11647.9577804449
1987,1,11654.1730098767
1987,2,11663.4958540244
1987,3,11663.4958540244
1987,4,11671.9317258868
1987,5,11697.2393414741
1987,6,11704.4354590221
1987,7,11707.5138724841
1987,8,11712.131492677
1987,9,11712.131492677
1987,10,11683.3383385327
1987,11,11664.1429024365
1987,12,11670.8539715086
1988,1,11677.3443326922
1988,2,11681.6712401479
1988,3,11681.6712401479
1988,4,11707.9500381803
1988,5,11752.7876049967
1988,6,11746.7519116789
1988,7,11749.7308411221
1988,8,11733.900390482
1988,9,11673.3094155734
1988,10,11643.8278950449
1988,11,11507.1285903368
1988,12,11305.159752413
1989,1,11254.9250340094
1989,2,11199.2804611335
1989,3,11138.2550751908
1989,4,11091.8124079207
1989,5,11032.733391461
1989,6,10802.0090079797
1989,7,10643.4108532785
1989,8,10569.0612383494
1989,9,10498.3165123362
1989,10,10353.3172668796
1989,11,10257.1525677953
1989,12,10216.5028199483
1990,1,9813.49823542288
1990,2,9425.53258247569
1990,3,9383.16528891028
1990,4,9346.02141535064
1990,5,9314.60600060071
1990,6,8924.39475360363
1990,7,7648.00534442982
1990,8,7161.63138086071
1990,9,7135.59606583206
1990,10,7034.88147381544
1990,11,6569.10171622411
1990,12,6569.10171622411
1991,1,6490.39466734084
1991,2,6125.12056999246
1991,3,6072.98884949788
1991,4,6013.54361024325
1991,5,5723.54595003447
1991,6,5684.61656562725
1991,7,5671.86229054878
1991,8,5631.7249343727
1991,9,5628.91313796168
1991,10,5628.91313796168
1991,11,5524.4002578794
1991,12,5524.4002578794
1992,1,5537.62063782157
1992,2,5505.44548657248
1992,3,5492.92862192287
1992,4,5492.92862192287
1992,5,5466.06702075216
1992,6,5427.53607266461
1992,7,5400.60425954747
1992,8,5348.95009819661
1992,9,5329.2664936152
1992,10,5299.88977223284
1992,11,5282.32086581677
1992,12,5283.46798194578
1993,1,5271.9367248791
1993,2,5271.95122352319
1993,3,5146.47348348388
1993,4,5139.88714750128
1993,5,5104.65973736438
1993,6,5080.48216746015
1993,7,5079.41119700762
1993,8,5071.97688354079
1993,9,5062.52558857059
1993,10,5048.97715215123
1993,11,5021.19849113505
1993,12,5013.52381020289
1994,1,4989.77460855074
1994,2,4965.09016650859
1994,3,4938.08096985032
1994,4,4930.02920783857
1994,5,4824.77478383965
1994,6,4675.73463708623
1994,7,4301.162180688
1994,8,4257.48051480907
1994,9,3905.29744429168
1994,10,3519.94621848612
1994,11,3212.08728636997
1994,12,3157.42374045662
1995,1,3157.42374045662
1995,2,3157.42374045662
1995,3,3139.92829898242
1995,4,3072.29105901642
1995,5,3019.66537919678
1995,6,2984.12530227337
1995,7,2984.12530227337
1995,8,2983.45244193797
1995,9,2983.45244193797
1995,10,2970.28065519878
1995,11,2970.28065519878
1995,12,2967.78671695698
1996,1,2954.17878277687
1996,2,2944.31175595946
1996,3,2944.31175595946
1996,4,2944.31175595946
1996,5,2944.18710092027
1996,6,2943.6884807635
1996,7,2937.72240167599
1996,8,2935.73370864682
1996,9,2935.73370864682
1996,10,2935.73370864682
1996,11,2930.49955177718
1996,12,2902.64965476846
1997,1,2806.70047135524
1997,2,2805.55739651191
1997,3,2509.46403762255
1997,4,2356.21200487386
1997,5,2348.27707442163
1997,6,2346.42790018755
1997,7,2346.42790018755
1997,8,2346.42790018755
1997,9,2346.42790018755
1997,10,2346.23741307474
1997,11,2345.72362858297
1997,12,2346.4681204613
1998,1,2346.30749691015
1998,2,2343.84432247573
1998,3,2294.95344384265
1998,4,731.15433351612
1998,5,735.378551755576
1998,6,734.295093986468
1998,7,734.271829842851
1998,8,733.729259136401
1998,9,734.152540679219
1998,10,734.634649302083
1998,11,734.564239399376
1998,12,732.759877390478
1999,1,718.744321504762
1999,2,718.431181034069
1999,3,716.698764037154
1999,4,709.579030323692
1999,5,688.402366919406
1999,6,688.068226821472
1999,7,635.34093162942
1999,8,610.039818647049
1999,9,603.889608986466
1999,10,576.542341669541
1999,11,555.442936394053
1999,12,550.115377837064
2000,1,539.761807700318
2000,2,527.052525375835
2000,3,515.182092229606
2000,4,513.83845657105
2000,5,510.09627608785
2000,6,505.553776472363
2000,7,503.688672142307
2000,8,501.541278156846
2000,9,500.524332078502
2000,10,499.989566793118
2000,11,502.043675678326
2000,12,505.595342561718
2001,1,505.288732303539
2001,2,505.737818902856
2001,3,505.245316955683
2001,4,505.587779376649
2001,5,506.267563309238
2001,6,507.492669530835
2001,7,506.005362568014
2001,8,505.290069384105
2001,9,504.638793719773
2001,10,503.861017130692
2001,11,500.023446763748
2001,12,496.257550056047
2002,1,493.144860872154
2002,2,492.502320279841
2002,3,492.315994440623
2002,4,492.357307076918
2002,5,489.683235749094
2002,6,489.812479526184
2002,7,490.845521575521
2002,8,492.513298140111
2002,9,492.878811082626
2002,10,493.55486992073
2002,11,500.771653742307
2002,12,505.72318287381
2003,1,506.45671887467
2003,2,504.198437056475
2003,3,503.090270520092
2003,4,500.620198096611
2003,5,474.534547180709
2003,6,451.242335439233
2003,7,449.889813495294
2003,8,447.983818326009
2003,9,446.354140820864
2003,10,444.217409701489
2003,11,443.765081691176
2003,12,444.892545115237
2004,1,445.132801795938
2004,2,447.042997689477
2004,3,447.243677978982
2004,4,447.026305774697
2004,5,445.368356229042
2004,6,445.07096114456
2004,7,444.744044185025
2004,8,443.844611352011
2004,9,443.202684567025
2004,10,441.056191836571
2004,11,435.29855767852
2004,12,435.517471222617
2005,1,432.562890410681
2005,2,431.675940976077
2005,3,431.689482806104
2005,4,431.036383360663
2005,5,429.341268871882
2005,6,428.679526171937
2005,7,428.464835017807
2005,8,423.948108271588
2005,9,421.482020821388
2005,10,415.62234173036
2005,11,411.675292568739
2005,12,410.20338649808
2006,1,409.001484501707
2006,2,402.053009246037
2006,3,399.535211778429
2006,4,393.096112390928
2006,5,389.561441845224
2006,6,388.930894875871
2006,7,388.394960790352
2006,8,388.100439361116
2006,9,387.948883165173
2006,10,387.641583140675
2006,11,387.40286025789
2006,12,387.428451821421
2007,1,387.152424418547
2007,2,387.347875696226
2007,3,387.107864148219
2007,4,387.214597189298
2007,5,387.168542069965
2007,6,387.370738176578
2007,7,387.323942454121
2007,8,387.784632831913
2007,9,387.486292523777
2007,10,387.305069343612
2007,11,387.846053847412
2007,12,388.067460370782
2008,1,387.804632566216
2008,2,388.12511159699
2008,3,388.100274431532
2008,4,388.462387879546
2008,5,389.702911530998
2008,6,390.962873778376
2008,7,392.760303376623
2008,8,395.482725284119
2008,9,396.144552654833
2008,10,398.605742226114
2008,11,401.847425550361
2008,12,402.022264675439
2009,1,402.086066967475
2009,2,402.771819015614
2009,3,402.449742579051
2009,4,402.081765883645
2009,5,401.371313004219
2009,6,401.405854806771
2009,7,400.93387130549
2009,8,397.77783345856
2009,9,396.804611030208
2009,10,396.703268138423
2009,11,396.291242771011
2009,12,396.454785950815
2010,1,396.671751228269
2010,2,397.854210490687
2010,3,398.614316530512
2010,4,398.489332895562
2010,5,398.353874770779
2010,6,398.287142161228
2010,7,398.368187977815
2010,8,398.599942392432
2010,9,398.757013982444
2010,10,398.762970494508
2010,11,398.756154412727
2010,12,398.756154412727
2011,1,398.757607400839
2011,2,398.897180839632
2011,3,398.88075748834
2011,4,398.687349703111
2011,5,398.339058104821
2011,6,398.242615550934
2011,7,398.330842472035
2011,8,398.374567975146
2011,9,398.407920516423
2011,10,398.372348932241
2011,11,398.379551591565
2011,12,398.275974129231
2012,1,398.046796876636
2012,2,397.852560522634
2012,3,397.804473766012
2012,4,397.608704142165
2012,5,397.339155409265
2012,6,396.982563417264
2012,7,396.124216541617
2012,8,395.978353373833
2012,9,396.025462161164
2012,10,396.578466628915
2012,11,397.048971216213
2012,12,397.221044840607
2013,1,397.264289625554
2013,2,397.193156121944
2013,3,397.183672065628
2013,4,397.567778356507
2013,5,397.696463874503
2013,6,397.723484620506
2013,7,397.841507080208
2013,8,398.034940247241
2013,9,398.973802500755
2013,10,398.968648139947
2013,11,399.017444181936
2013,12,399.091754354072
2014,1,399.224314260192
2014,2,399.698579907245
2014,3,399.693899750185
2014,4,399.458182824459
2014,5,399.577541344063
2014,6,399.565150641604
2014,7,399.621793794881
2014,8,399.620037779727
2014,9,399.60279814331
2014,10,399.558510575302
2014,11,399.622975409484
2014,12,399.80016046438
2015,1,400.203854984813
2015,2,401.007640342798
2015,3,401.060577011475
2015,4,401.070497913861
2015,5,401.06202193338
2015,6,401.275608928978
2015,7,402.073524239591
2015,8,402.394223546747
2015,9,402.376155605423
2015,10,402.411909351606
2015,11,402.460573907858
2015,12,402.460573907858
