Year,Month,Concentration
1986,1,18.4610468892644
1986,2,18.4610468892644
1986,3,18.4610468892644
1986,4,18.4610468892644
1986,5,18.4610468892644
1986,6,18.4610468892644
1986,7,18.4610468892644
1986,8,18.4610468892644
1986,9,18.4610468892644
1986,10,18.4610468892644
1986,11,18.4610468892644
1986,12,18.4610468892644
1987,1,18.4610468892644
1987,2,18.4610468892644
1987,3,18.4610468892644
1987,4,18.4610468892644
1987,5,18.4610468892644
1987,6,18.4610468892644
1987,7,18.4600303810851
1987,8,18.4585056188161
1987,9,18.4585056188161
1987,10,18.4585056188161
1987,11,18.4585056188161
1987,12,18.473668675503
1988,1,18.4772648085711
1988,2,18.4762926624638
1988,3,18.4762926624638
1988,4,18.4584459997192
1988,5,18.4523210922626
1988,6,18.4591792798116
1988,7,18.4824751445035
1988,8,18.5002649913498
1988,9,18.3797062373882
1988,10,18.2981538734088
1988,11,18.297805349675
1988,12,18.5489364512277
1989,1,18.7325632687131
1989,2,21.2723558162754
1989,3,23.0630593092299
1989,4,23.2804982821186
1989,5,23.3485408782579
1989,6,23.4051352585025
1989,7,23.4237390649769
1989,8,23.3862908593363
1989,9,23.4579127808039
1989,10,23.9269745243047
1989,11,24.1847891471685
1989,12,24.3129727880557
1990,1,24.6914881123772
1990,2,24.9759340026134
1990,3,25.2021181131421
1990,4,25.6036549062021
1990,5,25.7187968231958
1990,6,25.7292881216051
1990,7,25.7400474282238
1990,8,25.7846510213317
1990,9,25.8004401859514
1990,10,25.7829668566701
1990,11,25.7892975365034
1990,12,25.817503263218
1991,1,25.8449007249218
1991,2,25.9573578722824
1991,3,26.0665574947057
1991,4,26.1384975773764
1991,5,26.1595172900263
1991,6,26.1441276002206
1991,7,26.142796442347
1991,8,26.1132096097531
1991,9,26.0703063468118
1991,10,26.0703063468118
1991,11,26.0696335708529
1991,12,26.0781237291907
1992,1,25.9789836057869
1992,2,25.9490515687779
1992,3,25.8982986708766
1992,4,25.8461199242966
1992,5,25.8092234148638
1992,6,25.8414321439506
1992,7,25.8863962652005
1992,8,25.8807191473554
1992,9,25.8750420295104
1992,10,25.9047635290426
1992,11,26.0011979464645
1992,12,26.0621068503091
1993,1,26.1076057548353
1993,2,26.1727755040136
1993,3,26.2110773383379
1993,4,26.2246069221142
1993,5,26.2456602824641
1993,6,26.2478690328915
1993,7,26.256533018467
1993,8,26.2722722429261
1993,9,26.2664972543479
1993,10,26.2239904533858
1993,11,26.2239904533858
1993,12,26.1030382353239
1994,1,26.0135718527
1994,2,26.0119593569516
1994,3,25.8066052758184
1994,4,25.7556903331622
1994,5,25.7556903331622
1994,6,25.42048240602
1994,7,24.4148586245933
1994,8,24.4148586245933
1994,9,24.4148586245933
1994,10,24.4070309274038
1994,11,24.4044216950073
1994,12,24.4034677418174
1995,1,24.4028317730241
1995,2,24.4028317730241
1995,3,24.416284702305
1995,4,24.3255206996728
1995,5,24.3232221919426
1995,6,24.2846879145055
1995,7,24.1713453611014
1995,8,24.1713453611014
1995,9,24.1350847527608
1995,10,23.9560207567274
1995,11,23.9560207567274
1995,12,23.8274607944485
1996,1,23.783858702715
1996,2,23.7791084184434
1996,3,23.2245890683678
1996,4,22.8660277139498
1996,5,22.8609833504603
1996,6,22.3749795590233
1996,7,22.3821129765293
1996,8,22.3784568351605
1996,9,22.3636072517001
1996,10,22.3635322457051
1996,11,22.3623843079461
1996,12,21.5900379666102
1997,1,21.3391657551979
1997,2,21.3267877045611
1997,3,21.2441795833291
1997,4,21.2022410093319
1997,5,21.1322373661279
1997,6,20.9109087175415
1997,7,20.8588151892576
1997,8,20.8842043572788
1997,9,20.9042715781543
1997,10,20.8455788153361
1997,11,20.7498662341465
1997,12,20.7239882435859
1998,1,20.6981432457007
1998,2,20.6952868269083
1998,3,20.7350666516288
1998,4,20.7622689662642
1998,5,20.7785482155553
1998,6,20.8848981622039
1998,7,20.9751694804297
1998,8,21.1563940808406
1998,9,21.291179203586
1998,10,21.3471434302005
1998,11,21.4763050163104
1998,12,21.8356487356851
1999,1,22.8284735709514
1999,2,23.9296521529221
1999,3,25.0933245256921
1999,4,25.6237460081027
1999,5,26.1969193388022
1999,6,26.2959306624327
1999,7,26.3655057391403
1999,8,26.5385814300156
1999,9,26.7577883916097
1999,10,27.0192854376598
1999,11,27.1239248403346
1999,12,27.1660167263091
2000,1,27.1693512724615
2000,2,27.1312570389334
