Year,Month,Concentration
1986,1,3961.78936383069
1986,2,3961.78936383069
1986,3,3961.78936383069
1986,4,3961.78936383069
1986,5,3957.72224816414
1986,6,3951.62157466431
1986,7,3951.62157466431
1986,8,3951.62157466431
1986,9,3951.62157466431
1986,10,3951.62157466431
1986,11,3951.62157466431
1986,12,3957.72852330518
1987,1,3967.10111424661
1987,2,3981.16000065875
1987,3,3983.15038596208
1987,4,3991.84874400951
1987,5,4017.94381815179
1987,6,4017.94381815179
1987,7,4017.94381815179
1987,8,4017.94381815179
1987,9,4015.99664523959
1987,10,4018.36416141526
1987,11,4021.91543567876
1987,12,4032.51189886262
1988,1,4027.24615537212
1988,2,4023.73565971179
1988,3,4023.73565971179
1988,4,4023.73565971179
1988,5,4037.52794760335
1988,6,4047.94736074818
1988,7,4047.94736074818
1988,8,4047.01408296124
1988,9,4044.12705537898
1988,10,4044.12705537898
1988,11,4044.12705537898
1988,12,4048.94034975049
1989,1,4049.78065261733
1989,2,4048.38011257981
1989,3,4047.07202505229
1989,4,4044.8300429192
1989,5,4044.8300429192
1989,6,4047.02515558966
1989,7,4047.44316419634
1989,8,4042.76969396037
1989,9,4042.76969396037
1989,10,4020.39686087891
1989,11,3991.37679096619
1989,12,3962.40377052509
1990,1,3877.68426143971
1990,2,3803.73817524467
1990,3,3802.54688361852
1990,4,3804.21017465611
1990,5,3808.69338469924
1990,6,3771.54772170948
1990,7,3635.47203057743
1990,8,3617.57643765625
1990,9,3618.23111168911
1990,10,3631.84980643752
1990,11,3631.37513644571
1990,12,3631.96219917228
1991,1,3633.0099007247
1991,2,3624.46705222101
1991,3,3624.02106927697
1991,4,3627.67145631326
1991,5,3630.56315979929
1991,6,3630.71353020816
1991,7,3630.71353020816
1991,8,3624.95934910592
1991,9,3619.33932659105
1991,10,3619.33932659105
1991,11,3591.47736908255
1991,12,3587.27187473871
1992,1,3591.1046960182
1992,2,3575.77418451494
1992,3,3575.77418451494
1992,4,3575.93095912696
1992,5,3570.37211132498
1992,6,3568.81685973887
1992,7,3568.93879652342
1992,8,3574.56410518213
1992,9,3579.02920034861
1992,10,3585.53692979003
1992,11,3587.40032948939
1992,12,3587.8779845617
1993,1,3591.14845336488
1993,2,3592.40320687769
1993,3,3603.96387762369
1993,4,3609.55681738983
1993,5,3615.69805906077
1993,6,3632.19409418677
1993,7,3630.23430452806
1993,8,3620.45491414563
1993,9,3618.1862735899
1993,10,3629.86662342601
1993,11,3625.98321414939
1993,12,3640.40361590805
1994,1,3648.31216544195
1994,2,3663.37637010999
1994,3,3678.088516055
1994,4,3676.93272837556
1994,5,3665.46196049264
1994,6,3649.93091915504
1994,7,3606.50341398785
1994,8,3595.1450637238
1994,9,3592.03412444225
1994,10,3581.59232937907
1994,11,3579.45387751297
1994,12,3579.07710444835
1995,1,3577.32026380314
1995,2,3572.04974186752
1995,3,3523.90327672384
1995,4,3522.79556000526
1995,5,3517.93725511473
1995,6,3512.7950057217
1995,7,3505.16561525807
1995,8,3504.96203848165
1995,9,3504.96203848165
1995,10,3504.96203848165
1995,11,3504.96203848165
1995,12,3503.48251427161
1996,1,3501.43326380314
1996,2,3496.91763946625
1996,3,3487.66682222541
1996,4,3485.36768233792
1996,5,3485.111162003
1996,6,3493.0740036637
1996,7,3516.96252864581
1996,8,3516.96252864581
1996,9,3516.3989724528
1996,10,3515.54456764451
1996,11,3514.68862788565
1996,12,3521.13774101833
1997,1,3508.08414853574
1997,2,3504.33236972041
1997,3,3503.62505839734
1997,4,3502.14874391766
1997,5,3501.57358001778
1997,6,3499.84367370578
1997,7,3517.65148934899
1997,8,3500.55916066484
1997,9,3512.78154218712
1997,10,3551.71635837555
1997,11,3601.33208788406
1997,12,3588.56522347049
1998,1,3589.57826025238
1998,2,3593.75871270054
1998,3,3589.62803772202
1998,4,3594.82599301846
1998,5,3666.27660709541
1998,6,3817.02580442359
1998,7,3830.36877271992
1998,8,3975.46101771737
1998,9,4000.04848572121
1998,10,4012.17835143156
1998,11,4049.40029091112
1998,12,4132.24293602502
1999,1,4150.5804502708
1999,2,4160.88965648038
1999,3,4170.995626376
1999,4,4223.41654707994
1999,5,4279.21136881535
1999,6,4290.26169436414
1999,7,4289.59845812535
1999,8,4281.63411664252
1999,9,4284.49975173284
1999,10,4305.30439821959
