Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,12380.5415821668
1992,3,12377.0864350982
1992,4,12386.3292130406
1992,5,12288.3783169745
1992,6,12204.9246494235
1992,7,12085.3701840317
1992,8,12097.132159085
1992,9,12101.2888809957
1992,10,12091.8370218752
1992,11,11757.6857901283
1992,12,11632.968516411
1993,1,11614.7476486559
1993,2,11555.9204752521
1993,3,11481.9372011341
1993,4,11481.9524160671
1993,5,11340.4999987576
1993,6,11220.6033135778
1993,7,11203.4246598569
1993,8,11095.8248397305
1993,9,10977.8146625582
1993,10,10913.1607187538
1993,11,10754.0748230041
1993,12,10645.2946665102
1994,1,10485.1318593791
1994,2,10335.0675927825
1994,3,10139.0144114698
1994,4,10059.963317179
1994,5,9774.9089220213
1994,6,9514.09429955585
1994,7,8958.16235228016
1994,8,8821.93273097191
1994,9,8699.14720910982
1994,10,7943.77769709322
1994,11,7594.82103197304
1994,12,7582.22713183032
1995,1,7580.80905889566
1995,2,7572.68598559415
1995,3,7563.96117772346
1995,4,7484.88156489018
1995,5,7458.38726695726
1995,6,7449.08634338596
1995,7,7431.53224342994
1995,8,7403.98179525356
1995,9,7403.98179525356
1995,10,7405.38335500407
1995,11,7405.38335500407
1995,12,4445.9798231022
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0.806869469154688
1996,7,3.22988001561566
1996,8,3.23439477516789
1996,9,3.23661824240835
1996,10,3.23924502076103
1996,11,3.24365017894943
1996,12,3.25603374944792
1997,1,3.27099625584762
1997,2,3.28385840041586
1997,3,2.46964474997967
1997,4,0
1997,5,0
1997,6,0
1997,7,1.66248818399218
1997,8,3.36006506660794
1997,9,3.45589349281092
1997,10,2.08758397201661
1997,11,5203.22544430124
1997,12,6923.01794199266
1998,1,5531.83723648695
1998,2,0
1998,3,0
1998,4,1729.70920386866
1998,5,6949.98573808081
1998,6,7016.25412632542
1998,7,7000.81636270704
1998,8,6979.4000147965
1998,9,6994.96524122786
1998,10,6947.27531960872
1998,11,1733.98564365855
1998,12,690.746378704153
1999,1,691.333795850081
1999,2,691.771071204393
1999,3,691.291997023467
1999,4,691.534979068842
1999,5,691.617630777375
1999,6,690.549485963276
1999,7,688.70296579736
1999,8,688.151409379744
1999,9,681.107255268894
1999,10,660.413925644942
1999,11,655.792914415903
1999,12,654.087570337783
2000,1,647.125391137851
2000,2,645.075880994828
2000,3,640.923961955734
2000,4,640.514020239943
2000,5,640.488170724348
2000,6,639.092751120053
2000,7,640.145246313058
2000,8,638.782711698437
2000,9,637.915054109853
2000,10,637.525409613123
2000,11,636.713985979122
2000,12,637.791733483508
2001,1,638.831239786609
2001,2,641.239465922046
2001,3,641.490012944469
2001,4,640.206861102192
2001,5,638.95921407043
2001,6,639.562023300565
2001,7,319.810324217837
2001,8,127.854915813379
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,603.418881035682
2002,2,602.057316967919
2002,3,601.959795266283
2002,4,453.318020932092
2002,5,360.719306199546
2002,6,450.668316208353
2002,7,0.789730332344283
2002,8,0
2002,9,2.37352321356382
2002,10,3.16821736814378
2002,11,3.15428381865215
2002,12,184.412715848422
2003,1,185.396084949613
2003,2,187.064196733772
2003,3,187.092017819873
2003,4,187.565250241248
2003,5,187.841173930271
2003,6,188.186638526561
2003,7,188.22240846391
2003,8,187.904953572842
2003,9,187.684003425724
2003,10,187.238608461813
2003,11,187.467144564836
2003,12,187.597707341675
2004,1,187.673272326797
2004,2,187.111531042065
2004,3,185.267646761995
2004,4,183.639718666049
2004,5,182.561132031308
2004,6,181.715532036293
2004,7,180.553783532706
2004,8,179.377045448082
2004,9,178.483423616542
2004,10,177.270592843108
2004,11,176.562590241536
2004,12,175.837342240546
2005,1,174.451260982954
2005,2,172.753059515965
2005,3,171.769260306575
2005,4,170.720017037971
2005,5,170.075042069039
2005,6,169.937356424204
2005,7,101.801012652646
2005,8,0
2005,9,0
2005,10,0
2005,11,0
