Year,Month,Concentration
1986,1,15312.3969257944
1986,2,15312.3969257944
1986,3,15312.3969257944
1986,4,15312.3969257944
1986,5,15312.3969257944
1986,6,15312.3969257944
1986,7,15312.3969257944
1986,8,15312.3969257944
1986,9,15312.3969257944
1986,10,15312.3969257944
1986,11,15312.3969257944
1986,12,15339.5360536708
1987,1,15356.3447013827
1987,2,15381.5576729505
1987,3,15381.5576729505
1987,4,15428.5433808515
1987,5,15569.5005045543
1987,6,15569.5005045543
1987,7,15569.5005045543
1987,8,15596.4452501953
1987,9,15611.4273126981
1987,10,15597.9555388077
1987,11,15615.7094572717
1987,12,15615.7094572717
1988,1,15611.8071081154
1988,2,15604.1695703735
1988,3,15604.1695703735
1988,4,15607.1870727872
1988,5,15639.543676541
1988,6,15667.3740266742
1988,7,15667.3740266742
1988,8,15512.0273457041
1988,9,15232.7930839276
1988,10,15153.305324591
1988,11,15153.305324591
1988,12,14978.0100149256
1989,1,14924.508221736
1989,2,14884.3415308841
1989,3,14828.5594357489
1989,4,14711.586904102
1989,5,14710.67628863
1989,6,14606.2887591502
1989,7,14424.9459230431
1989,8,14303.7224434403
1989,9,14206.5427863021
1989,10,14169.3248516395
1989,11,13978.695316115
1989,12,13647.2971456639
1990,1,13322.3313151104
1990,2,13202.3172380558
1990,3,13187.4561699017
1990,4,13187.6962868641
1990,5,13071.8281628031
1990,6,12903.9224799689
1990,7,12688.8618724799
1990,8,12463.2351660653
1990,9,12399.5477261953
1990,10,12282.2083552405
1990,11,11978.3119928371
1990,12,11922.5817500871
1991,1,11872.8028132883
1991,2,11690.3573713198
1991,3,11679.3211607958
1991,4,11669.4208193355
1991,5,11633.0623858124
1991,6,11631.3980335268
1991,7,11635.0564426306
1991,8,11634.400811707
1991,9,11634.1469475006
1991,10,11632.4993309491
1991,11,11612.7504320331
1991,12,11612.7504320331
1992,1,11625.5929096061
1992,2,11566.7862426854
1992,3,11563.7091649737
1992,4,11580.1352543552
1992,5,11569.4063416298
1992,6,11564.7755974765
1992,7,11527.9405698621
1992,8,11495.1673327691
1992,9,11488.9610154197
1992,10,11493.5659397899
1992,11,11440.5610303271
1992,12,11418.0271294049
1993,1,11401.6433320202
1993,2,11378.8251358681
1993,3,11503.2923083826
1993,4,11527.9166369082
1993,5,11617.0638517368
1993,6,11628.7553209111
1993,7,11728.0904747574
1993,8,11752.7734080524
1993,9,11745.6295874018
1993,10,11760.7090153175
1993,11,11846.8651596096
1993,12,11878.5085195579
1994,1,11951.0324776065
1994,2,12033.5490553846
1994,3,12069.2390146844
1994,4,12161.568525367
1994,5,12139.9364685964
1994,6,11717.8964428346
1994,7,10306.8992473225
1994,8,10048.7647952863
1994,9,9276.53502124442
1994,10,5471.06627838343
1994,11,4019.15760620804
1994,12,3952.50789030134
1995,1,3948.20874520198
1995,2,3948.20874520198
1995,3,3947.40118557673
1995,4,3871.02034395025
1995,5,3764.59929380121
1995,6,3696.09945952264
1995,7,3674.48870458688
1995,8,3575.20937133475
1995,9,3575.20937133475
1995,10,3528.1925988247
1995,11,3528.1925988247
1995,12,3526.10450685664
1996,1,3513.72145167748
1996,2,3504.47053445041
1996,3,3504.47053445041
1996,4,3504.47053445041
1996,5,3504.47053445041
1996,6,3484.95336420513
1996,7,3418.66620906426
1996,8,3384.32559655017
1996,9,3382.53911570309
1996,10,3381.95021101646
1996,11,3380.18349695655
1996,12,3379.11077748571
1997,1,3361.77619914674
1997,2,3361.69246634501
1997,3,3237.52605712152
1997,4,3134.58344294851
1997,5,3128.55022643132
1997,6,3128.69725931921
1997,7,3126.35775627993
1997,8,3130.09991439124
1997,9,3131.03545391907
1997,10,3126.17873582063
1997,11,3116.96196350036
1997,12,3111.99171367328
1998,1,3107.43027584623
1998,2,3090.46049705355
1998,3,2949.44368951493
1998,4,2841.96937277613
1998,5,2848.23597603018
1998,6,2888.72960030075
1998,7,2886.64009115369
1998,8,2881.84446369391
1998,9,2864.35598189671
1998,10,2851.85624287078
1998,11,2844.90621112502
1998,12,2809.46636246688
1999,1,2803.12455631431
1999,2,2802.11304077374
1999,3,2803.67930333559
1999,4,2805.09439126618
1999,5,2803.66579594292
1999,6,2783.7326358124
1999,7,2793.16581968045
1999,8,2799.75801228898
1999,9,2804.0433264129
1999,10,2820.38448131526
1999,11,2823.04006162825
1999,12,2823.57388155944
2000,1,2805.58748816012
2000,2,2745.05957795151
2000,3,2735.90079310821
2000,4,2734.67616341546
2000,5,2716.70355679067
2000,6,2620.93704412902
2000,7,2588.72650718253
2000,8,2593.3349635283
2000,9,2595.90591511044
2000,10,2597.37790379866
2000,11,2602.02156409219
2000,12,2591.55438854536
2001,1,2582.48551258803
2001,2,2588.3515396732
2001,3,2567.40675592758
2001,4,2549.66046000785
2001,5,2541.16825579419
2001,6,2542.04260096737
2001,7,2553.08131713433
2001,8,2565.59362043765
2001,9,2527.5645496467
2001,10,2306.5371362479
2001,11,2217.0920942537
2001,12,2175.22553744666
2002,1,2164.99865663726
2002,2,2158.07277726007
2002,3,2155.49877782969
2002,4,2103.83577946346
2002,5,2015.93238364884
2002,6,1960.40755818454
2002,7,1955.58226700501
2002,8,1946.78940161632
2002,9,1946.02350738316
2002,10,1944.73446866358
2002,11,1933.12347194838
2002,12,1927.76320405442
2003,1,1928.6815016378
2003,2,1926.70640422137
2003,3,1879.81964377206
2003,4,1859.78706360166
2003,5,1788.7958755548
2003,6,1758.28338668449
2003,7,1754.12019179339
2003,8,1746.96969332744
2003,9,1735.74109034506
2003,10,1718.64572797062
2003,11,1716.19317203374
2003,12,1717.64612031914
2004,1,1715.99690164207
2004,2,1708.76218549306
2004,3,1706.09151364082
2004,4,1688.69685360309
2004,5,1664.80947800602
2004,6,1660.51535813579
2004,7,1660.53799166189
2004,8,1665.15825612942
2004,9,1665.8799418215
2004,10,1666.3381386464
2004,11,1667.39948712167
2004,12,1661.58002167982
2005,1,1654.05589973271
2005,2,1653.98570043597
2005,3,1652.01235304964
2005,4,1645.23803387465
2005,5,664.219910280359
2005,6,665.418214873264
2005,7,664.614142108249
2005,8,659.069670848626
2005,9,657.621546513952
2005,10,652.228616049139
2005,11,647.363497990063
2005,12,644.641120923262
2006,1,636.934400289278
2006,2,629.993910631031
2006,3,623.545304784541
2006,4,603.170160063896
2006,5,593.245844938304
2006,6,590.450002176725
2006,7,591.981864866295
2006,8,593.426876040059
2006,9,596.706616567724
2006,10,597.915335242489
2006,11,601.617048766179
2006,12,604.75493363467
2007,1,606.775478413101
2007,2,620.047364305019
2007,3,619.829539339445
2007,4,620.937387670604
2007,5,623.457576163981
2007,6,625.547023669237
2007,7,625.587238022722
2007,8,627.174133574066
2007,9,630.304478295781
2007,10,630.95925427472
2007,11,631.033483906383
2007,12,632.173203642006
2008,1,635.099609175903
2008,2,635.57423949935
2008,3,637.689474530013
2008,4,637.872694079352
2008,5,638.86362295486
2008,6,642.960452242313
2008,7,644.304985352912
2008,8,645.418684107699
2008,9,645.132924791182
2008,10,645.094088273547
2008,11,644.924965411526
2008,12,644.73522907569
2009,1,644.817696407674
2009,2,639.062768994058
2009,3,636.99400571936
2009,4,636.237747257523
2009,5,635.351921550677
2009,6,635.396399059292
2009,7,634.815881779191
2009,8,630.146556653581
2009,9,628.186944986658
2009,10,627.180225068236
2009,11,626.779922648368
2009,12,626.33960011076
2010,1,626.259556409252
2010,2,627.501515805859
2010,3,627.277972406796
2010,4,626.834589056915
2010,5,626.393324679132
2010,6,625.684154605444
2010,7,625.738462437006
2010,8,628.263299741188
2010,9,631.043915831434
2010,10,632.327743458844
2010,11,632.33977060405
2010,12,632.816054311916
2011,1,633.01433094442
2011,2,632.414477251302
2011,3,630.706817575755
2011,4,630.673318183786
2011,5,630.62549589791
2011,6,630.003526490482
2011,7,629.09114243138
2011,8,629.797640111356
2011,9,629.700210006145
2011,10,630.040036962582
2011,11,630.219878357624
2011,12,630.437706604624
2012,1,630.004281331261
2012,2,627.900179001915
2012,3,626.369417464907
2012,4,626.505706510517
2012,5,626.559187199154
2012,6,626.481544582696
2012,7,625.790895878121
2012,8,624.670203617709
2012,9,622.237020554685
2012,10,620.177909342422
2012,11,619.884385516697
2012,12,619.02813899855
2013,1,617.257188322523
2013,2,609.648736311008
2013,3,601.594778723483
2013,4,599.721930469374
2013,5,599.250794164696
2013,6,598.686903167432
2013,7,597.500166444768
2013,8,596.480113571885
2013,9,597.525404855599
2013,10,598.720795310191
2013,11,597.986171434359
2013,12,597.900400155004
2014,1,597.799846389043
2014,2,597.294565599489
2014,3,597.531685712781
2014,4,596.866048277889
2014,5,596.244142999424
2014,6,595.574474380317
2014,7,595.039121202995
