Year,Month,Concentration
1986,1,10735.5775529616
1986,2,10735.5775529616
1986,3,10734.7912673408
1986,4,10732.4324104783
1986,5,10732.4324104783
1986,6,10732.4324104783
1986,7,10732.4324104783
1986,8,10723.6515089897
1986,9,10723.6515089897
1986,10,10723.6515089897
1986,11,10723.6515089897
1986,12,10729.344378214
1987,1,10747.6261809572
1987,2,10775.0488850719
1987,3,10801.3848086624
1987,4,10817.2270817645
1987,5,10864.753901071
1987,6,10864.753901071
1987,7,10864.753901071
1987,8,10868.0289879831
1987,9,10866.5665526262
1987,10,10924.5165449273
1987,11,11022.9351228534
1987,12,11022.9351228534
1988,1,11020.8399231024
1988,2,11019.6038164391
1988,3,11019.6038164391
1988,4,11034.5585255585
1988,5,11066.3088749371
1988,6,11066.1588272537
1988,7,11066.1588272537
1988,8,11031.2991560459
1988,9,10802.8717901994
1988,10,10708.467391235
1988,11,10695.591295361
1988,12,10445.4042514416
1989,1,10384.3917517238
1989,2,10349.6793321561
1989,3,10293.6241669823
1989,4,10240.8702651099
1989,5,10228.3506828994
1989,6,10194.159618562
1989,7,10039.3237953167
1989,8,9897.04944157307
1989,9,9806.21115142157
1989,10,9605.0109841329
1989,11,9490.93960106478
1989,12,9347.27190711332
1990,1,8505.5413190771
1990,2,8214.81230232807
1990,3,8166.08463007683
1990,4,8146.32335535012
1990,5,8101.23788543635
1990,6,7823.13802429127
1990,7,6738.48705985358
1990,8,6181.33949735711
1990,9,6177.19332059208
1990,10,6050.58145626047
1990,11,5133.83887647022
1990,12,5133.83887647022
1991,1,5076.13164310204
1991,2,4888.1809371879
1991,3,4883.23793525137
1991,4,4865.61467066067
1991,5,4806.11579203565
1991,6,4800.75192390272
1991,7,4788.24982099635
1991,8,4692.3194693887
1991,9,4604.94010564044
1991,10,4604.15105236787
1991,11,4537.96011578165
1991,12,4533.22160345251
1992,1,4547.66728327586
1992,2,4492.66268876819
1992,3,4461.18014425144
1992,4,4435.86227399286
1992,5,4363.94144288972
1992,6,4299.7895424478
1992,7,4200.16852168805
1992,8,4126.98720444441
1992,9,4123.82989332144
1992,10,4118.66154640386
1992,11,4069.16423443645
1992,12,4021.6306334916
1993,1,3993.31619065041
1993,2,3967.62161462329
1993,3,3737.64872899146
1993,4,3736.94044018595
1993,5,3732.51648801567
1993,6,3728.53524827718
1993,7,3724.77041513965
1993,8,3654.08956657122
1993,9,3607.50093568351
1993,10,3584.89041273353
1993,11,3537.32809663745
1993,12,3505.47233984837
1994,1,3487.62763878963
1994,2,3463.73629831229
1994,3,3390.84281403561
1994,4,3285.28727429351
1994,5,3283.37696900667
1994,6,3181.30729397404
1994,7,2835.34643977698
1994,8,2789.73117942729
1994,9,2667.84958371951
1994,10,2515.20236805405
1994,11,2480.66799345775
1994,12,2477.70378459818
1995,1,2477.70378459818
1995,2,2477.70378459818
1995,3,2477.30701086696
1995,4,2434.37906394239
1995,5,2415.10893281082
1995,6,2409.72946518381
1995,7,2410.20473766221
1995,8,2411.10414956868
1995,9,2411.10414956868
1995,10,2410.87877081426
1995,11,2410.87877081426
1995,12,2417.49929572894
1996,1,2428.06490409331
1996,2,2428.69972508566
1996,3,2428.69972508566
1996,4,2428.4107482427
1996,5,2428.4107482427
1996,6,2428.60827473291
1996,7,2427.650059276
1996,8,2425.90196788838
1996,9,2425.84654978744
1996,10,2425.85415671548
1996,11,2425.57022935993
1996,12,2424.13335331644
1997,1,2423.6416363499
1997,2,2423.7752977692
1997,3,2404.25274318819
1997,4,2380.19373089971
1997,5,2375.11660948764
1997,6,2375.11354058813
1997,7,2375.11354058813
1997,8,2375.05259076221
1997,9,2375.05259076221
1997,10,2375.05259076221
1997,11,2374.43493798166
1997,12,2373.48379762554
1998,1,2371.79283471818
1998,2,2371.73967485641
1998,3,2331.20397890275
1998,4,2302.73440695721
1998,5,2306.77363019191
1998,6,2329.06718308209
1998,7,2329.16646784553
1998,8,2330.51526588461
1998,9,2331.89859441076
1998,10,2336.20984780747
1998,11,2337.76884506977
1998,12,2339.5290900863
1999,1,2339.02150641308
1999,2,2340.57854090056
1999,3,2340.8360128877
1999,4,2334.08197523759
1999,5,2333.54102298861
1999,6,2335.85567033825
1999,7,2334.46696973545
1999,8,2330.8024078624
1999,9,2334.25095235747
1999,10,2324.73459024143
1999,11,2308.23514721772
1999,12,2312.6652343576
2000,1,2294.04322322456
2000,2,2247.2165931422
2000,3,2240.76654098787
2000,4,2239.42813943017
2000,5,2227.91860257746
2000,6,2189.04935728827
2000,7,2165.56386177398
2000,8,2158.34131810815
2000,9,2140.16089728846
2000,10,2126.37460187294
2000,11,2125.77748144687
2000,12,2111.60322840786
2001,1,2091.18453708912
2001,2,2088.83574271189
2001,3,2066.58212598625
2001,4,2054.56260421826
2001,5,2055.16242966284
2001,6,2055.28519551596
2001,7,2041.13947635941
2001,8,2026.30787372498
2001,9,1991.14589606664
2001,10,1866.90046515103
2001,11,1857.73837832736
2001,12,1843.16404808377
2002,1,1842.90519844166
2002,2,1836.75960168238
2002,3,1837.95966694772
2002,4,1823.18834479005
2002,5,1800.55144445245
2002,6,1788.86054642604
2002,7,1787.66913248757
2002,8,1774.95452058698
2002,9,1774.66817484903
2002,10,1767.21521771016
