Year,Month,Concentration
1986,1,9666.76111998382
1986,2,9666.76111998382
1986,3,9666.76111998382
1986,4,9666.76111998382
1986,5,9666.76111998382
1986,6,9666.76111998382
1986,7,9666.76111998382
1986,8,9666.76111998382
1986,9,9666.76111998382
1986,10,9666.76111998382
1986,11,9666.76111998382
1986,12,9700.46987850518
1987,1,9710.26916387667
1987,2,9724.96809193389
1987,3,9724.96809193389
1987,4,9756.76593592444
1987,5,9852.15946789607
1987,6,9852.15946789607
1987,7,9852.15946789607
1987,8,9882.3698421147
1987,9,9899.23434083426
1987,10,9886.22354433211
1987,11,9879.74890639351
1987,12,9879.74890639351
1988,1,9879.75854591084
1988,2,9872.79396536156
1988,3,9872.79396536156
1988,4,9878.60593838746
1988,5,9883.3903020731
1988,6,9886.50482522084
1988,7,9889.64956688186
1988,8,9813.99075360691
1988,9,9634.33236810691
1988,10,9581.4767675242
1988,11,9569.86040392539
1988,12,9342.97269660745
1989,1,9255.50607124078
1989,2,9185.5121319923
1989,3,9096.35104840201
1989,4,9043.40107203256
1989,5,9033.79861555413
1989,6,8941.49901223597
1989,7,8750.71904369818
1989,8,8629.44192699801
1989,9,8542.96586017109
1989,10,8393.84899988234
1989,11,8230.50151605178
1989,12,8026.05366932387
1990,1,7482.73259227938
1990,2,7223.97951406436
1990,3,7163.0647172319
1990,4,7156.5646459278
1990,5,7140.16341243315
1990,6,6749.19400224985
1990,7,5902.92556557936
1990,8,5456.75462124856
1990,9,5418.77133782094
1990,10,5335.05072006869
1990,11,4976.79588465533
1990,12,4924.66238707856
1991,1,4856.93002859489
1991,2,4632.73926277392
1991,3,4611.87777023625
1991,4,4604.4293556702
1991,5,4548.86432171972
1991,6,4535.59376444594
1991,7,4536.86446125046
1991,8,4521.20390967165
1991,9,4497.53396177918
1991,10,4497.53396177918
1991,11,4461.95072841178
1991,12,4461.95072841178
1992,1,4472.5105173633
1992,2,4447.87276594971
1992,3,4441.98524002377
1992,4,4433.66889959221
1992,5,4378.8471341547
1992,6,4351.65788205482
1992,7,4236.21388373592
1992,8,4191.69653541583
1992,9,4191.69653541583
1992,10,4186.92685180805
1992,11,4154.6065725293
1992,12,4144.89307579367
1993,1,4127.98019218163
1993,2,4115.75492240483
1993,3,3949.27763027215
1993,4,3949.27763027215
1993,5,3920.36601741194
1993,6,3918.08933841746
1993,7,3898.68884031731
1993,8,3814.41406387193
1993,9,3782.39271253202
1993,10,3739.30087368481
1993,11,3701.3282271002
1993,12,3660.82237985208
1994,1,3649.21707683212
1994,2,3620.90005301844
1994,3,3573.86052499293
1994,4,3451.53068402802
1994,5,3240.64962254956
1994,6,2924.42145853824
1994,7,2247.83539054451
1994,8,2231.54842302435
1994,9,2189.69276352661
1994,10,2123.73966226256
1994,11,2108.1429412674
1994,12,2107.45564850892
1995,1,2107.45564850892
1995,2,2107.45564850892
1995,3,2106.64908621227
1995,4,2076.90051805787
1995,5,2068.17066216401
1995,6,2068.17066216401
1995,7,2068.17066216401
1995,8,2068.17066216401
1995,9,2068.17066216401
1995,10,2067.76241233529
1995,11,2067.76241233529
1995,12,2068.32081282077
1996,1,2069.3735316719
1996,2,2069.58864979482
1996,3,2069.58864979482
1996,4,2069.58864979482
1996,5,2069.58864979482
1996,6,2069.50193262242
