Year,Month,Concentration
1986,1,2.72645585350039
1986,2,2.72645585350039
1986,3,2.72649227025266
1986,4,2.72660152050949
1986,5,2.7280948577157
1986,6,2.73033486352501
1986,7,2.73033486352501
1986,8,2.73033486352501
1986,9,2.734009212734
1986,10,2.75013470580074
1986,11,2.75416607906742
1986,12,2.75461965602647
1987,1,2.75461965602647
1987,2,2.75565936558791
1987,3,2.79118051369699
1987,4,2.80302089640001
1987,5,2.81180326214362
1987,6,2.82036202461136
1987,7,2.82126330860203
1987,8,2.82147023226044
1987,9,2.82153920681325
1987,10,2.82355590518181
1987,11,2.82490037076085
1987,12,2.82490037076085
1988,1,2.82939207990183
1988,2,2.82824758533367
1988,3,2.82824758533367
1988,4,2.82104814483622
1988,5,2.79510612008499
1988,6,2.77842741733015
1988,7,2.76708007617125
1988,8,2.69432198385881
1988,9,2.65218120092559
1988,10,2.65088387908353
1988,11,2.65088387908353
1988,12,2.64434202549618
1989,1,2.6448235239386
1989,2,2.65445676226477
1989,3,2.66561989476638
1989,4,2.67140714984246
1989,5,2.67244727565286
1989,6,2.66953395686291
1989,7,2.67077007634541
1989,8,2.67651939385522
1989,9,2.6773117289275
1989,10,2.68196966669547
1989,11,2.6932463724891
1989,12,2.69316718165569
1990,1,2.69385012613632
1990,2,2.6849510282324
1990,3,2.68504371538593
1990,4,2.68987184430801
1990,5,2.64811880359897
1990,6,2.64756989500194
1990,7,2.59271198321616
1990,8,2.53015963482304
1990,9,2.52776204417865
1990,10,2.52745550701604
1990,11,2.54500875877265
1990,12,2.56965627478803
1991,1,2.57047127706083
1991,2,2.59366813827916
1991,3,2.62884610621509
1991,4,2.63565205103569
1991,5,2.67684640275925
1991,6,2.67816698213196
1991,7,2.67816698213196
1991,8,2.68119306089287
1991,9,2.67906782363057
1991,10,2.6809907289428
1991,11,2.68930495608025
1991,12,2.69955824999079
1992,1,2.70165865493477
1992,2,2.71373616990392
1992,3,2.71570657697209
1992,4,2.71675358370453
1992,5,2.70862598378128
1992,6,2.70613279139828
1992,7,2.70798700194386
1992,8,2.71447169810744
1992,9,2.72025885696115
1992,10,2.72025885696115
1992,11,2.72715074511066
1992,12,2.7294480411605
1993,1,2.7294480411605
1993,2,2.73145798461596
1993,3,2.73914117816019
1993,4,2.73927279773924
1993,5,2.739199149556
1993,6,2.73452338657787
1993,7,2.7322580739553
1993,8,2.73041747294574
1993,9,2.7273289849539
1993,10,2.72743509680763
1993,11,2.72702244320245
1993,12,2.72706652487422
1994,1,2.72431492902075
1994,2,2.72100837819959
1994,3,2.72008702081144
1994,4,2.71752818030429
1994,5,2.71514874332889
1994,6,2.70846101732946
1994,7,2.70790634524777
1994,8,2.70794327838971
1994,9,2.70818438440088
1994,10,2.70864687104786
1994,11,2.70864687104786
1994,12,2.70955156087272
1995,1,2.71090258608518
1995,2,2.71666074970469
1995,3,2.7248405289649
1995,4,2.72529826594125
1995,5,2.7256769225748
