Year,Month,Concentration
1986,1,37274.2995955897
1986,2,37274.2995955897
1986,3,37274.2995955897
1986,4,37274.2995955897
1986,5,37274.2995955897
1986,6,37274.2995955897
1986,7,37274.2995955897
1986,8,37274.2995955897
1986,9,37274.2995955897
1986,10,37274.2995955897
1986,11,37274.2995955897
1986,12,37403.8312956293
1987,1,37483.0413923437
1987,2,37601.8565374152
1987,3,37601.8565374152
1987,4,37730.6010441762
1987,5,38116.8345644594
1987,6,38116.8345644594
1987,7,38116.8345644594
1987,8,38238.177069897
1987,9,38337.198401983
1987,10,38321.9197028024
1987,11,38326.0683852428
1987,12,38326.0683852428
1988,1,38324.6544886296
1988,2,38295.9015108054
1988,3,38295.9015108054
1988,4,38317.1105046
1988,5,38326.2288362274
1988,6,38330.571348958
1988,7,38330.571348958
1988,8,38108.6773392351
1988,9,37517.6262930154
1988,10,37239.0972509361
1988,11,37133.5698944767
1988,12,36308.1923027869
1989,1,35919.5528604112
1989,2,35496.518325109
1989,3,34997.6280489227
1989,4,34822.7284367155
1989,5,34776.9489158135
1989,6,34406.248630977
1989,7,33666.9461054094
1989,8,33013.2762201893
1989,9,32496.9142494618
1989,10,32035.2084440455
1989,11,31747.3662364262
1989,12,31086.4591098636
1990,1,29965.5554471294
1990,2,29376.0137894161
1990,3,29092.1334312349
1990,4,29025.7895184887
1990,5,28997.9271823291
1990,6,28356.0955814396
1990,7,27136.7189017591
1990,8,26361.1183573184
1990,9,26107.2951698282
1990,10,25823.6220819168
1990,11,25155.6429639814
1990,12,24957.5444676481
1991,1,24822.2971573825
1991,2,24381.6327350948
1991,3,24342.2620604839
1991,4,24261.554554711
1991,5,24305.7712355614
1991,6,24322.9094489699
1991,7,24336.0623703336
1991,8,24307.3667110384
1991,9,24281.2132733169
1991,10,24281.2132733169
1991,11,24166.5138228159
1991,12,24166.5138228159
1992,1,24200.3124243997
1992,2,24175.0333774547
1992,3,24175.2652051008
1992,4,24131.1648174325
1992,5,24048.6466743035
1992,6,24010.8140178197
1992,7,23994.0626237635
1992,8,24027.8245792432
1992,9,24027.8245792432
1992,10,24041.3063390402
1992,11,23999.0368972656
1992,12,23981.9511367191
1993,1,23989.6756451346
1993,2,23961.2008297083
1993,3,23879.2516269007
1993,4,23879.2516269007
1993,5,23880.9593996253
1993,6,23919.3595770362
1993,7,23930.6318667131
1993,8,23819.5041203556
1993,9,23810.42013119
1993,10,23780.6043986421
1993,11,23885.5190499721
1993,12,23922.6182952564
1994,1,24006.977696046
1994,2,24046.8546694011
1994,3,24035.768470383
1994,4,24043.6206479142
1994,5,23904.1769711917
1994,6,23648.418157045
1994,7,23336.691912516
1994,8,23280.3057635456
1994,9,23264.2704523257
1994,10,23018.3608843677
1994,11,22839.4506655306
1994,12,22791.3566951361
1995,1,22759.3076344622
1995,2,22759.3076344622
1995,3,22749.2756210148
1995,4,22561.7730217267
1995,5,22481.0735584791
1995,6,22458.0808359463
1995,7,22412.0897417199
1995,8,22325.0905763133
1995,9,22325.0905763133
1995,10,22155.2920675535
1995,11,22155.2920675535
1995,12,22112.4520022786
1996,1,21918.2149982652
1996,2,21788.2380921641
1996,3,21788.2380921641
1996,4,21788.2380921641
1996,5,21788.2380921641
1996,6,21785.3893550766
1996,7,21735.8534540193
1996,8,21707.2096883618
1996,9,21704.9768128711
1996,10,21702.4898319892
1996,11,21642.7943295047
1996,12,21523.7350694658
1997,1,20781.0125219181
1997,2,20661.4906615607
1997,3,20106.6415662466
1997,4,19723.8643606165
1997,5,19695.5801281294
1997,6,19695.5801281294
1997,7,19617.4878299991
1997,8,19398.7162381585
1997,9,19340.6991936568
1997,10,19316.0831296033
1997,11,19246.2708964182
1997,12,19212.7899620399
1998,1,19203.257102627
1998,2,19143.2704016762
1998,3,18885.3672946694
1998,4,18627.987763456
1998,5,18566.5394317855
1998,6,18636.8032831755
1998,7,18635.7188019957
1998,8,18635.1604835747
1998,9,18653.2015164455
1998,10,18670.052797856
1998,11,18647.4083873413
1998,12,18448.6232817391
1999,1,18378.4583488875
1999,2,18276.2923265025
1999,3,18185.2538862978
1999,4,18062.4064392213
1999,5,17949.0597774948
1999,6,17844.6552883128
1999,7,17850.2764998197
1999,8,17884.2457492921
1999,9,17868.0211549783
1999,10,17778.3844074912
1999,11,17433.0455280849
1999,12,16979.1596226145
2000,1,16421.3455200382
2000,2,14723.973521167
2000,3,14060.1538966998
2000,4,13952.0633017404
2000,5,13596.7375988679
2000,6,10735.8978596127
2000,7,9971.15927868084
2000,8,9907.80816399041
2000,9,9841.04543902261
2000,10,9837.64744549066
2000,11,9847.78914403455
2000,12,9780.41670070429
2001,1,9764.29116591318
2001,2,9777.48576849727
2001,3,9544.58496808898
2001,4,9477.20174238445
2001,5,9477.23878574844
2001,6,9492.25821311921
2001,7,9525.92434177178
2001,8,9569.20372063034
2001,9,9602.54121953306
2001,10,9695.24065051856
2001,11,9636.4991455249
2001,12,9631.11303021367
2002,1,9671.52894912845
2002,2,9753.53282370838
2002,3,9828.36722607614
2002,4,9939.94281237348
2002,5,10092.7990447272
2002,6,10125.2553334174
2002,7,10108.1243408155
2002,8,10105.1246992582
2002,9,10137.3298743237
2002,10,10138.932660245
2002,11,10173.4843616274
2002,12,10137.2037862313
2003,1,10187.4864898567
2003,2,10272.5326604283
2003,3,10532.0251016479
