Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,15.2097241063065
1995,9,15.2227123911398
1995,10,15.2156949040204
1995,11,15.2031615678107
1995,12,15.2021206649244
1996,1,15.1580586958787
1996,2,15.1694272380058
1996,3,15.1696874044392
1996,4,15.1717936878145
1996,5,15.1744925528314
1996,6,15.1794269481815
1996,7,15.1814016549468
1996,8,15.1904242276613
1996,9,15.2063666575343
1996,10,15.2176687242663
1996,11,15.2147012640268
1996,12,15.1922676142929
1997,1,15.1656285883809
1997,2,15.1615570269942
1997,3,15.1964930383145
1997,4,15.2159305979424
1997,5,15.1850244938824
1997,6,15.1373953374207
1997,7,15.0536937411582
1997,8,15.0080704950574
1997,9,14.8930086150852
1997,10,14.5836277142146
1997,11,13.8658459628893
1997,12,13.580553218595
1998,1,13.4054734898111
1998,2,13.3382444851816
1998,3,13.3884405916299
1998,4,13.4377259690766
1998,5,13.5572611078333
1998,6,13.6308561256822
1998,7,13.7486069751663
1998,8,14.1068130192091
1998,9,14.4414816708944
1998,10,14.6627466048537
1998,11,14.8187422647394
1998,12,14.9574201573161
1999,1,15.3161859845909
1999,2,16.1767481210427
1999,3,17.1585684012746
1999,4,20.1792734535189
1999,5,25.8102785093258
1999,6,26.3150452902576
1999,7,29.7825673576516
1999,8,32.2485145962485
1999,9,40.1333247488699
1999,10,43.4520799314339
1999,11,44.2348837239392
1999,12,44.7024782364336
2000,1,45.1719167805256
2000,2,45.2149558288493
2000,3,45.4484917836198
2000,4,47.5076562027006
2000,5,50.3505269817716
2000,6,50.7078682482478
2000,7,50.9531866303489
2000,8,50.9563428768762
2000,9,51.0396778342805
2000,10,50.9021521141361
2000,11,50.6454375699662
2000,12,50.1200168365677
2001,1,49.0466373944496
2001,2,48.4447301585895
2001,3,48.4548176526662
2001,4,48.1914797967738
2001,5,108.05624447142
2001,6,128.153744952677
2001,7,128.166752042822
2001,8,128.209345847091
2001,9,128.669049979574
2001,10,128.720178468442
2001,11,128.839441821648
2001,12,128.370961238052
2002,1,128.174516858966
2002,2,127.911474340094
2002,3,128.103457764808
2002,4,128.347440728986
2002,5,129.268698484985
2002,6,132.827954903138
2002,7,137.156287781989
2002,8,141.63808536903
2002,9,142.763347091591
2002,10,143.431841847016
2002,11,143.75273869126
2002,12,143.74386867165
2003,1,143.810891792827
2003,2,143.787214461834
2003,3,143.553345915645
2003,4,142.583490079983
2003,5,142.52605784348
2003,6,142.477787824388
2003,7,143.020301522726
2003,8,144.263880359302
2003,9,144.930620568116
2003,10,145.759246348976
2003,11,147.565023713557
2003,12,150.400363539576
2004,1,152.008607777505
2004,2,153.400895454314
2004,3,153.678946532969
2004,4,153.993737225763
2004,5,154.181764308043
2004,6,154.722809092511
2004,7,154.951219756751
2004,8,155.336481779885
2004,9,156.050648316272
2004,10,156.673825349206
2004,11,157.004001653306
2004,12,157.577457715849
2005,1,157.399539376151
2005,2,156.912204382118
2005,3,157.023615379894
2005,4,156.895445832411
2005,5,156.455444544262
2005,6,156.671419347204
2005,7,156.449147123308
2005,8,156.368938498047
2005,9,156.547174537794
2005,10,157.010367421327
2005,11,158.629882321035
2005,12,158.683605831344
2006,1,158.765875958752
2006,2,158.778841947141
2006,3,158.859068721407
2006,4,158.935058358456
2006,5,158.154597788269
2006,6,157.385914192949
2006,7,157.371854895234
2006,8,157.639875640635
2006,9,157.521376440284
