Year,Month,Concentration
1986,1,2221.60742367908
1986,2,2221.60742367908
1986,3,2221.60742367908
1986,4,2221.60742367908
1986,5,2221.60742367908
1986,6,2221.60742367908
1986,7,2221.60742367908
1986,8,2221.60742367908
1986,9,2221.60742367908
1986,10,2221.60742367908
1986,11,2221.60742367908
1986,12,2221.60742367908
1987,1,2221.60742367908
1987,2,2221.60742367908
1987,3,2221.60742367908
1987,4,2221.69583191776
1987,5,2221.96105663382
1987,6,2221.96105663382
1987,7,2221.96105663382
1987,8,2221.96105663382
1987,9,2221.96105663382
1987,10,2221.96105663382
1987,11,2221.96105663382
1987,12,2221.96105663382
1988,1,2221.96105663382
1988,2,2221.96105663382
1988,3,2221.96105663382
1988,4,2221.96105663382
1988,5,2221.96105663382
1988,6,2221.96105663382
1988,7,2221.96105663382
1988,8,2221.84239562274
1988,9,2221.72373461166
1988,10,2221.72373461166
1988,11,2221.72373461166
1988,12,2221.58343025628
1989,1,2221.48989401936
1989,2,2221.48989401936
1989,3,2221.35983346577
1989,4,2212.43472279234
1989,5,2212.2751266252
1989,6,2211.79633812376
1989,7,2211.85967193544
1989,8,2212.04967337046
1989,9,2212.04967337046
1989,10,2212.06242846347
1989,11,2212.24206416312
1989,12,2212.92225582137
1990,1,2201.68583167147
1990,2,2191.80501827034
1990,3,2199.49025512555
1990,4,2206.24562927581
1990,5,2210.15132385875
1990,6,2207.62937540699
1990,7,2207.6395741433
1990,8,2214.19780974577
1990,9,2222.60641927713
1990,10,2252.74199429684
1990,11,2273.25239882862
1990,12,2278.78128903217
1991,1,2295.92995345348
1991,2,2299.11355384545
1991,3,2304.01231944391
1991,4,2309.24604959316
1991,5,2310.06222282713
1991,6,2310.32456032721
1991,7,2311.01686880687
1991,8,2311.43515011715
1991,9,2312.24179671493
1991,10,2312.40577587546
1991,11,2309.60560952437
1991,12,2309.55614024098
1992,1,2313.09214238266
1992,2,2312.40951747647
1992,3,2312.59947610669
1992,4,2313.76416939342
1992,5,2314.67486955173
1992,6,2314.77472739311
1992,7,2313.88856444774
1992,8,2314.38943582453
1992,9,2316.43421174487
1992,10,2320.45855232761
1992,11,2320.52152127843
1992,12,2320.52152127843
1993,1,2321.67096655876
1993,2,2324.24514584762
1993,3,2324.83350481039
1993,4,2327.10096297012
1993,5,2327.72747398505
1993,6,2327.77554422472
1993,7,2327.42113645157
1993,8,2326.00350535896
1993,9,2326.00350535896
1993,10,2325.79908825646
1993,11,2325.35473921989
1993,12,2317.63940864868
1994,1,2317.66861397709
1994,2,2318.02970733651
1994,3,2318.65634248056
1994,4,2319.09498261733
1994,5,2320.23601321043
1994,6,2320.28759667108
1994,7,2319.83237157675
1994,8,2317.90500372362
1994,9,2315.84838871751
1994,10,2310.11616721579
1994,11,2307.36622935376
1994,12,2306.65241232175
1995,1,2306.30781203826
1995,2,2305.63097331763
1995,3,2304.27906802697
1995,4,2303.96757825868
1995,5,2303.96757825868
1995,6,2303.96757825868
1995,7,2303.96757825868
1995,8,2303.96757825868
1995,9,2303.96757825868
1995,10,2304.86076106557
1995,11,2304.86076106557
1995,12,2304.86076106557
1996,1,2301.86184840606
1996,2,2298.86293574654
1996,3,2298.86293574654
1996,4,2297.62801770143
1996,5,2297.21637835306
1996,6,2297.28604061877
1996,7,2297.60595916809
1996,8,2297.60595916809
1996,9,2292.06744404847
1996,10,2286.52892892884
1996,11,2286.63861791691
1996,12,2288.19688850551
1997,1,2288.19688850551
1997,2,2292.52044431489
1997,3,2293.71007832054
1997,4,2294.02270186
1997,5,2296.55933155824
1997,6,2298.88286088552
1997,7,2299.5783709701
1997,8,2299.96201507547
1997,9,2301.53458305247
1997,10,2301.19406524625
1997,11,2300.65828848837
1997,12,2300.17716253016
1998,1,2309.08815202007
1998,2,2327.25601173126
1998,3,2337.09219485458
1998,4,2383.30731236348
1998,5,2401.33579684016
1998,6,2422.06383909988
1998,7,2449.3082314028
1998,8,2491.41830735251
1998,9,2491.81008392235
1998,10,2501.28606822429
1998,11,2511.93017283803
1998,12,2523.19983935489
1999,1,2523.85588206403
1999,2,2524.32596360005
1999,3,2525.2353574335
1999,4,2527.42551529856
1999,5,2526.22154143054
1999,6,2525.9021156528
1999,7,2520.76507639867
1999,8,2510.23619094962
1999,9,2506.73851601857
1999,10,2502.65888190709
1999,11,2501.32219186882
1999,12,2501.21157828527
2000,1,2508.06614329669
2000,2,2554.97150688164
2000,3,2565.61350490937
2000,4,2571.61051617029
2000,5,2577.4977798404
