Year,Month,Concentration
1986,1,124.498395035056
1986,2,124.498395035056
1986,3,124.498395035056
1986,4,124.498395035056
1986,5,124.498395035056
1986,6,124.498395035056
1986,7,124.498395035056
1986,8,124.498395035056
1986,9,124.498395035056
1986,10,124.498395035056
1986,11,124.498395035056
1986,12,124.498395035056
1987,1,124.498395035056
1987,2,124.498395035056
1987,3,124.498395035056
1987,4,124.498395035056
1987,5,124.477112064419
1987,6,124.477112064419
1987,7,124.477112064419
1987,8,124.477112064419
1987,9,124.477112064419
1987,10,124.475757753558
1987,11,124.470340510114
1987,12,124.437621902814
1988,1,124.40529616413
1988,2,124.406867638593
1988,3,124.412204358509
1988,4,124.412204358509
1988,5,124.412204358509
1988,6,124.412204358509
1988,7,124.412204358509
1988,8,124.410590512164
1988,9,124.432795733004
1988,10,124.478216509455
1988,11,124.509195252765
1988,12,125.205909114448
1989,1,125.259706948322
1989,2,125.281971186351
1989,3,125.402256659943
1989,4,125.439523262564
1989,5,125.443954335242
1989,6,125.44528315735
1989,7,125.559368878103
1989,8,125.673340425491
1989,9,125.67988244062
1989,10,125.690883044642
1989,11,125.715226019423
1989,12,125.71855690941
1990,1,125.714506872083
1990,2,125.69124139419
1990,3,125.68800519389
1990,4,125.646552347717
1990,5,125.406161679772
1990,6,125.406161679772
1990,7,125.334863540126
1990,8,125.150639881319
1990,9,125.150639881319
1990,10,125.026995076916
1990,11,124.604569710209
1990,12,124.581718811033
1991,1,124.499834180951
1991,2,124.36412188218
1991,3,124.339853110242
1991,4,124.381421775785
1991,5,124.271480808494
1991,6,124.300298780383
1991,7,124.374255067979
1991,8,124.694363168606
1991,9,125.095120013468
1991,10,125.095120013468
1991,11,51.2429655228348
1991,12,51.2683699967531
1992,1,51.2714825480669
1992,2,51.2533146616173
1992,3,51.2132814637203
1992,4,51.1295545297135
1992,5,50.9930673464587
1992,6,51.035001136275
1992,7,51.0991343478744
1992,8,51.1854799370422
1992,9,51.2026509010451
1992,10,51.2026509010451
1992,11,51.3300905842226
1992,12,51.379873133905
1993,1,51.4008816998841
1993,2,51.4119630461889
1993,3,51.2974753015162
1993,4,51.2886297809487
1993,5,51.2736621297374
1993,6,51.2040376690564
1993,7,51.2060028696283
1993,8,51.2716167263458
1993,9,51.2863574214461
1993,10,51.2814957119128
1993,11,51.2814957119128
1993,12,51.2814957119128
1994,1,51.2814957119128
1994,2,51.2814957119128
1994,3,51.1780891335902
1994,4,51.1780891335902
1994,5,51.1618706458601
1994,6,51.1456521581299
1994,7,51.2180454846866
1994,8,51.2289262063956
1994,9,51.2628399828955
1994,10,51.5318821295033
1994,11,51.5724488481344
1994,12,51.461753724021
1995,1,51.3879569746121
1995,2,51.3879569746121
1995,3,51.3996639004913
1995,4,51.5722353434258
1995,5,51.5848793152583
1995,6,51.5884900105015
1995,7,51.5884900105015
1995,8,51.5884900105015
1995,9,51.5918937806744
1995,10,51.9133612788651
1995,11,51.9146477983373
1995,12,51.9381107158164
1996,1,51.50520674573
1996,2,51.3428828986188
1996,3,51.2703400289312
1996,4,50.3492597394506
1996,5,50.1177259552839
1996,6,49.8060853474898
1996,7,49.2666294745625
1996,8,48.2563074461086
1996,9,47.681990108709
1996,10,46.8691027840278
1996,11,46.1767702727559
1996,12,44.613280544947
1997,1,44.4340528205778
1997,2,44.4446075268058
1997,3,45.7775259112421
1997,4,47.8696465330284
1997,5,48.3803459808708
1997,6,48.4772002060757
1997,7,46.3767834484059
1997,8,45.7453548315142
1997,9,45.6583073237919
1997,10,45.4284090914507
1997,11,44.9786859843948
1997,12,44.6015178333913
1998,1,44.6282601861917
1998,2,44.60404928571
1998,3,44.3161435938043
1998,4,44.3370787505975
1998,5,44.3660565199089
1998,6,44.3441698999322
1998,7,45.0902132953618
1998,8,45.3257338062334
1998,9,45.9165712806631
1998,10,47.2111459521076
1998,11,46.7794945122656
1998,12,46.8133374250782
1999,1,46.1914741061579
1999,2,45.7641563219761
1999,3,45.4969779883853
1999,4,45.5953278947082
1999,5,44.377215213804
1999,6,45.466028047401
1999,7,44.843289974288
1999,8,44.3966881713982
1999,9,42.5377010164701
1999,10,41.1991501830516
1999,11,40.805712967597
1999,12,39.4175196821698
2000,1,38.2742207184135
2000,2,38.3841900665405
2000,3,37.5420644330687
2000,4,36.1220461814945
2000,5,37.0199521296792
2000,6,39.5668561502116
2000,7,38.1869010219201
2000,8,37.3725387725438
2000,9,36.7880507872201
2000,10,36.068216009649
2000,11,35.6051272781049
2000,12,35.7296224094428
2001,1,35.1324575382959
2001,2,35.0602010414303
2001,3,35.0059352802023
2001,4,35.0945131598938
2001,5,35.5588002046375
2001,6,35.701861473175
2001,7,35.5339336439298
2001,8,35.30965141612
2001,9,34.9731256912132
2001,10,33.9144333776319
2001,11,33.54025716423
2001,12,33.7436480376288
2002,1,34.044627837966
2002,2,33.6811487720353
2002,3,33.6381610255735
2002,4,33.2688411540189
2002,5,32.5682908472231
2002,6,31.3767410096526
2002,7,30.3437748852639
2002,8,29.7175603160936
2002,9,29.4211140633401
2002,10,28.8120559753988
2002,11,27.7664198539234
2002,12,27.0580187931899
2003,1,27.0647325175581
2003,2,27.0173449235053
2003,3,26.6575872013873
2003,4,26.5615876299002
2003,5,25.9919064556089
2003,6,24.8396565580204
2003,7,23.7332318448422
2003,8,23.0629196158419
2003,9,22.9510925746863
2003,10,22.8264464429325
2003,11,22.5952067014327
2003,12,22.3173902684533
2004,1,21.3491609709986
2004,2,20.6220964985554
2004,3,20.4400158645019
2004,4,20.2649686864596
2004,5,19.7188569738802
2004,6,19.2157861757967
2004,7,18.8077280841157
2004,8,18.6828922253106
2004,9,18.724759877305
2004,10,18.7196649966822
2004,11,18.7079448574653
2004,12,18.5703049149529
2005,1,18.2722460181971
2005,2,18.0206761230092
2005,3,17.7851383966593
2005,4,17.7283524741388
2005,5,17.673171389868
2005,6,17.4307143498398
2005,7,16.9762423415993
2005,8,16.7787942947636
2005,9,16.7625588736106
2005,10,16.7249582123408
2005,11,16.6474443602919
2005,12,16.6136497389268
2006,1,16.6507086899998
2006,2,16.6478499820274
2006,3,16.6135417538688
2006,4,16.5848755317789
2006,5,16.5685039715452
2006,6,16.489277646843
2006,7,16.4277722302041
2006,8,16.4044220978894
2006,9,16.3917747983776
2006,10,16.4565034658474
2006,11,16.5372623457967
2006,12,16.5421397592235
2007,1,16.5398836550221
2007,2,16.420438832173
2007,3,16.392411980815
2007,4,16.3809499256929
2007,5,16.3469358691766
2007,6,16.1733628370153
2007,7,15.9972665657926
2007,8,15.9395156996461
2007,9,16.0968468642902
2007,10,16.3880392869911
2007,11,16.4365483252623
2007,12,16.454154094912
2008,1,16.5803061170397
2008,2,16.6448420580217
2008,3,16.6242545842622
2008,4,16.5975398011689
2008,5,16.6085932682685
2008,6,16.7884567993503
2008,7,17.0095286603445
2008,8,17.6106747767977
2008,9,17.9673859377607
2008,10,18.1933035769777
2008,11,18.2696593941322
2008,12,18.2944109636903
2009,1,18.4592544297429
2009,2,18.9710453872327
2009,3,19.5429200951097
2009,4,19.9743053207808
2009,5,20.0617551092245
2009,6,19.9906141586825
2009,7,19.8303892222468
2009,8,19.6970484378763
2009,9,19.8976971481381
2009,10,19.7673513152915
2009,11,19.6194334601359
2009,12,19.4898345252989
2010,1,19.3070879809216
2010,2,5.85272400805807
2010,3,9.01747652899561
2010,4,10.8235792176196
2010,5,5.86250188423656
2010,6,5.87147179084105
2010,7,5.86388200625103
2010,8,5.82231183675761
2010,9,5.80867828836303
2010,10,5.80538052592468
2010,11,5.80502466047662
2010,12,5.81515152554729
2011,1,5.82324461502006
2011,2,5.81713327851565
2011,3,5.81015963214916
2011,4,5.81839644156077
2011,5,5.80902109661984
2011,6,5.80608619134502
2011,7,5.80818570231171
2011,8,5.82484652135805
2011,9,5.56527026087388
2011,10,5.54106880124573
2011,11,5.55282557811835
2011,12,5.54670895147302
2012,1,5.53913725121561
2012,2,5.46424727439959
2012,3,5.42169096366261
2012,4,5.40330050464104
2012,5,5.37636757437996
2012,6,5.37409293628484
2012,7,5.37137967902121
2012,8,5.36132493857618
2012,9,5.36484960048609
2012,10,5.36461722171499
2012,11,5.36638522865309
2012,12,5.38260477650788
2013,1,5.38442677166937
2013,2,5.4064220788026
2013,3,5.41369024720827
2013,4,5.43607046699359
2013,5,5.47080852621739
2013,6,5.50422533670396
2013,7,5.49838186327694
2013,8,5.47325217481693
2013,9,5.46622365994223
2013,10,5.47091057733477
2013,11,5.47055778671523
2013,12,5.46117728665193
2014,1,5.44123442341487
2014,2,5.37903218313933
2014,3,5.34798224027151
2014,4,5.34917078664378
2014,5,5.34831706742032
2014,6,5.33552628367824
2014,7,5.33350260899955
2014,8,5.3263352747343
2014,9,5.31468000999584
2014,10,5.29630887430463
2014,11,5.27191616448081
2014,12,5.2744293657844
2015,1,5.26927620219408
2015,2,5.26308815605701
2015,3,5.26202530711882
2015,4,5.25941606960152
2015,5,5.26186399969377
2015,6,5.2656484073839
2015,7,5.26702544050254
2015,8,5.25162543945616
2015,9,5.25656754125567
2015,10,5.28870415014027
2015,11,5.30607979188879
2015,12,5.27422249977654
