Year,Month,Concentration
1986,1,23106.0200829678
1986,2,23106.0200829678
1986,3,23106.0200829678
1986,4,23106.0200829678
1986,5,23106.0200829678
1986,6,23106.0200829678
1986,7,23106.0200829678
1986,8,23106.0200829678
1986,9,23106.0200829678
1986,10,23106.0200829678
1986,11,23106.0200829678
1986,12,23194.0691550651
1987,1,23198.4409718391
1987,2,23204.998697
1987,3,23204.998697
1987,4,23219.0554828625
1987,5,23261.2258404499
1987,6,23273.9011002519
1987,7,23280.6594935086
1987,8,23306.0580160806
1987,9,23308.37607238
1987,10,23161.324223626
1987,11,23063.28965779
1987,12,23063.28965779
1988,1,23101.0420066624
1988,2,23126.210239244
1988,3,23126.210239244
1988,4,23178.6928839015
1988,5,23275.468526721
1988,6,23262.7981824185
1988,7,23269.230305635
1988,8,23188.7598439672
1988,9,22978.8795099024
1988,10,22890.3056152297
1988,11,22631.603077055
1988,12,22189.7072019324
1989,1,22080.4354715198
1989,2,21968.4627650095
1989,3,21819.4000883585
1989,4,21609.8900675079
1989,5,21496.723354126
1989,6,21265.977375514
1989,7,21102.2940727784
1989,8,20821.7344331545
1989,9,20566.5220628474
1989,10,20312.4594810029
1989,11,20077.6829440453
1989,12,20041.8431257507
1990,1,19970.0091857555
1990,2,19770.4847853782
1990,3,19683.6150433165
1990,4,19592.7437316526
1990,5,19343.6918918018
1990,6,19275.2533792798
1990,7,19948.0311952283
1990,8,20334.3872763672
1990,9,20281.3498585326
1990,10,20126.9084277577
1990,11,19493.1144746769
1990,12,19481.6241698061
1991,1,19480.6258111381
1991,2,19580.0377926355
1991,3,19570.8422197233
1991,4,19542.7826535152
1991,5,19682.374791776
1991,6,19698.681198948
1991,7,19690.2642189067
1991,8,19667.6314366339
1991,9,19671.5586734105
1991,10,19662.4372838122
1991,11,19677.3392161084
1991,12,19667.0639228097
1992,1,19758.3240368256
1992,2,19866.88896363
1992,3,19858.2011846139
1992,4,19876.4064308882
1992,5,19883.7687341669
1992,6,19882.4959642121
1992,7,19902.3844294875
1992,8,19917.5110216866
1992,9,19936.6607670368
1992,10,19998.7593784692
1992,11,19901.1006198086
1992,12,19895.1019819201
1993,1,19893.4570105632
1993,2,19959.4815154499
1993,3,20320.9946017968
1993,4,20469.5868798476
1993,5,20450.3491117257
1993,6,20476.7176683279
1993,7,20533.4174325222
1993,8,20798.8938558441
1993,9,20914.9259554786
1993,10,20976.597617095
1993,11,21100.3911576822
1993,12,21198.8996669973
1994,1,21327.1349541287
1994,2,21668.6875409264
1994,3,21929.8101452299
1994,4,21926.3280650707
1994,5,22189.5076542367
1994,6,22422.8615735169
1994,7,23031.4689744474
1994,8,22937.120428885
1994,9,22382.0039801654
1994,10,21048.3124377516
1994,11,19718.2879280352
1994,12,19433.6836050214
1995,1,19380.5998807936
1995,2,19380.5998807936
1995,3,19332.0804113021
1995,4,18774.0002412906
1995,5,17805.2020422477
1995,6,17364.9094959519
1995,7,17211.0947729718
1995,8,17048.3020855787
1995,9,17048.3020855787
1995,10,16792.3506746541
1995,11,16792.3506746541
1995,12,16780.7249923167
1996,1,16727.496845877
1996,2,16641.1375208619
1996,3,16559.1758314301
1996,4,16559.1758314301
1996,5,16524.4170436566
1996,6,16491.6779320608
1996,7,16452.291030978
1996,8,16441.6819812497
1996,9,16426.7428217379
1996,10,16351.5731967541
1996,11,16241.9228878324
1996,12,16238.5513708303
1997,1,16046.9072177603
1997,2,15881.0047457636
1997,3,15881.0047457636
