Year,Month,Concentration
1986,1,2.79941637672228
1986,2,2.79941637672228
1986,3,2.79941637672228
1986,4,2.79941637672228
1986,5,2.79941637672228
1986,6,2.79941637672228
1986,7,2.79941637672228
1986,8,2.79941637672228
1986,9,2.79941637672228
1986,10,2.81638848977572
1986,11,2.82063151803908
1986,12,2.82063151803908
1987,1,2.82063151803908
1987,2,2.82063151803908
1987,3,2.86436963254957
1987,4,2.87894900405306
1987,5,2.88237934470215
1987,6,2.8846662384682
1987,7,2.8846662384682
1987,8,2.8846662384682
1987,9,2.8846662384682
1987,10,2.89388358995729
1987,11,2.90002849095002
1987,12,2.90002849095002
1988,1,2.88622933772219
1988,2,2.87407195392948
1988,3,2.87407195392948
1988,4,2.87380633921492
1988,5,2.86993826357725
1988,6,2.86203087407982
1988,7,2.860363134093
1988,8,2.84434644013639
1988,9,2.82509329426545
1988,10,2.82478120444425
1988,11,2.82446911462304
1988,12,2.82551251584667
1989,1,2.82742991175536
1989,2,2.84445391707782
1989,3,2.86334878534038
1989,4,2.87016925208049
1989,5,2.87761351958262
1989,6,2.88063579191352
1989,7,2.88205488568363
1989,8,2.88173516950822
1989,9,2.88087373890099
1989,10,2.88321152473172
1989,11,2.88416937175124
1989,12,2.88705382625549
1990,1,2.89900662540975
1990,2,2.90772680879703
1990,3,2.90805877510109
1990,4,2.90789092906592
1990,5,2.90261107443895
1990,6,2.90404959187863
1990,7,2.89478733428406
1990,8,2.8417669831825
1990,9,2.82486661341908
1990,10,2.82280310954588
1990,11,2.82282367816528
1990,12,2.82428345156678
1991,1,2.82786344538803
1991,2,2.83052857809653
1991,3,2.83356867911928
1991,4,2.83426960269108
1991,5,2.83720086160078
1991,6,2.837337780626
1991,7,2.837337780626
1991,8,2.83586948147992
1991,9,2.83380949000641
1991,10,2.83380949000641
1991,11,2.83311514741433
1991,12,2.83163325987151
1992,1,2.83127717044319
1992,2,2.83171390838573
1992,3,2.83534755281681
1992,4,2.83775795094368
1992,5,2.83865055688687
1992,6,2.83629829405255
1992,7,2.83629829405255
1992,8,2.83719447077412
1992,9,2.8392500954381
1992,10,2.83935286667937
1992,11,2.84074879592113
1992,12,2.84115774570259
1993,1,2.83609429894062
1993,2,2.83455673246845
1993,3,2.83410202501272
1993,4,2.83410202501272
1993,5,2.83520302242017
1993,6,2.8378815672802
1993,7,2.83182362758746
1993,8,2.82889290257009
1993,9,2.8229214361866
1993,10,2.82277220545188
1993,11,2.82257454564713
1993,12,2.82217901866052
1994,1,2.81927110222569
1994,2,2.81622436771406
1994,3,2.81394236246054
1994,4,2.80284000608531
1994,5,2.80090295187843
1994,6,2.79082192120571
1994,7,2.78281747756583
1994,8,2.77962462327083
1994,9,2.78392551616907
1994,10,2.78304080129713
1994,11,2.78143420386397
1994,12,2.7784917380087
1995,1,2.77601881660933
1995,2,2.77623198602493
1995,3,2.77574639041926
1995,4,2.7704512118875
1995,5,2.7680671120999
1995,6,2.77184766891257
1995,7,2.77072332488967
1995,8,2.77072332488967
1995,9,2.7711419852472
1995,10,2.77033617506412
1995,11,2.77108289712199
1995,12,2.78528800883763
1996,1,2.79195913277776
1996,2,2.79332673930378
1996,3,2.79500586638046
1996,4,2.79618974986605
1996,5,2.79577567967505
1996,6,2.79700621339072
1996,7,2.80240711207177
1996,8,2.80512210255875
1996,9,2.80629093935219
1996,10,2.80575094829002
1996,11,2.80554015277952
1996,12,2.80981554947272
1997,1,2.82113050083586
1997,2,2.82653082231263
1997,3,2.82999417515984
1997,4,2.84089640439803
1997,5,2.84494042612198
1997,6,2.84831506667894
1997,7,2.84767524309175
1997,8,2.87016324125337
1997,9,2.92371386240571
1997,10,2.94098207031645
1997,11,2.94524454297621
