Year,Month,Concentration
1986,1,37628.572222432
1986,2,37628.572222432
1986,3,37628.572222432
1986,4,37628.572222432
1986,5,37628.572222432
1986,6,37599.9253773557
1986,7,37590.376428997
1986,8,37462.1436203763
1986,9,37462.1436203763
1986,10,37462.1436203763
1986,11,37462.1436203763
1986,12,37462.1436203763
1987,1,37462.1436203763
1987,2,37462.1436203763
1987,3,37834.7578312207
1987,4,37891.7212967234
1987,5,37948.6847622261
1987,6,37948.6847622261
1987,7,37948.6847622261
1987,8,38015.475058506
1987,9,38346.8595265844
1987,10,38495.4970360783
1987,11,38895.2710823729
1987,12,38895.2710823729
1988,1,38933.7458498831
1988,2,38980.4571004673
1988,3,39001.5185060447
1988,4,39001.5185060447
1988,5,39121.7765177963
1988,6,39125.9812938103
1988,7,39125.9812938103
1988,8,39123.1284623643
1988,9,39079.1141596309
1988,10,39022.7203954167
1988,11,38781.3795338381
1988,12,38790.6812182411
1989,1,39082.2770938366
1989,2,39128.3751471435
1989,3,39018.4163846933
1989,4,38787.1425594085
1989,5,38733.3103219438
1989,6,38556.4193159891
1989,7,38367.5245147923
1989,8,38202.1411875727
1989,9,37908.5164937261
1989,10,37561.9955341069
1989,11,37241.4241002217
1989,12,36665.1997632221
1990,1,34796.6191942937
1990,2,33338.6558812495
1990,3,33147.2675815148
1990,4,33028.2166368246
1990,5,32848.2694376882
1990,6,32126.3845255609
1990,7,28374.7455717914
1990,8,26664.1834532124
1990,9,26681.0933307213
1990,10,26317.8967460583
1990,11,24953.5841997978
1990,12,24925.4841650392
1991,1,24708.3438774817
1991,2,23934.8128479727
1991,3,23867.28515218
1991,4,23817.9722249989
1991,5,23634.9777540368
1991,6,23624.0810183671
1991,7,23585.4981956862
1991,8,23272.9965333499
1991,9,22911.5212120728
1991,10,22877.3181476435
1991,11,22624.4566290683
1991,12,22586.6956955592
1992,1,22627.5884494289
1992,2,22552.1251684439
1992,3,22501.0065025169
1992,4,22308.7313170115
1992,5,22130.7606160113
1992,6,21987.9950325907
1992,7,21774.8656968046
1992,8,21565.427856385
1992,9,21479.2246588519
1992,10,21497.8597965254
1992,11,21424.1669267562
1992,12,21398.5761609722
1993,1,21271.435244312
1993,2,21186.6746332052
1993,3,20722.2073694517
1993,4,20719.7150355472
1993,5,20485.1682634715
1993,6,20449.3034665827
1993,7,20490.8386254702
1993,8,20359.2332775622
1993,9,20296.396448517
1993,10,20233.05112885
1993,11,19990.407915158
1993,12,20018.1241114271
1994,1,20103.2246400822
1994,2,20273.1500644311
1994,3,20271.8709871201
1994,4,20067.5350520123
1994,5,20067.5350520123
1994,6,20065.7401797512
1994,7,20243.6329942586
1994,8,20505.6670606926
1994,9,20353.6025006714
1994,10,19898.9717919268
1994,11,19668.0591411951
1994,12,19632.5900236431
1995,1,19593.4742236936
1995,2,19593.4742236936
1995,3,19585.9040127403
1995,4,19443.1608303043
1995,5,19396.8469137176
1995,6,19371.6447298798
1995,7,19371.6447298798
1995,8,19365.4423693592
1995,9,19348.45436765
1995,10,19338.5318746365
1995,11,19338.5318746365
1995,12,19338.5318746365
1996,1,19411.8715743312
1996,2,19485.2112740259
1996,3,19485.2112740259
1996,4,19424.062035243
1996,5,19402.9426396048
1996,6,19399.1818875001
1996,7,19399.1818875001
1996,8,19360.4312009611
1996,9,19356.2730656008
1996,10,19335.4389784728
1996,11,19418.616614906
1996,12,19418.616614906
1997,1,19417.2790147692
1997,2,19459.983816728
1997,3,19459.983816728
1997,4,19459.983816728
1997,5,19459.983816728
1997,6,19459.983816728
1997,7,19459.983816728
1997,8,19240.072876241
1997,9,19185.0951411193
1997,10,19234.287931902
1997,11,19852.3516792572
1997,12,19985.0622273873
1998,1,19042.9005607956
1998,2,18658.5973033383
1998,3,18344.212356089
1998,4,18038.2289231337
1998,5,17437.3662719481
1998,6,17479.4195111034
1998,7,16988.8033706552
1998,8,16687.2495642134
1998,9,16407.1205920846
1998,10,15668.5700815207
1998,11,15318.4218655342
1998,12,14817.5359560495
1999,1,14432.889469954
1999,2,13726.523946553
1999,3,13400.8951024174
1999,4,13146.1159830156
1999,5,12809.359763451
1999,6,12574.0691185569
1999,7,12256.8466875835
1999,8,11545.0022881773
1999,9,11387.5307707374
1999,10,11291.9494149071
1999,11,11149.8085569305
1999,12,10912.1479030345
2000,1,10733.2164139551
2000,2,10284.9016560481
2000,3,9906.06942185471
2000,4,9823.00311775994
2000,5,9637.43665832924
2000,6,8857.32738214876
2000,7,8483.14831313166
2000,8,8291.79145891489
2000,9,8124.92221409216
2000,10,8006.70028500187
2000,11,7908.48244981173
2000,12,7620.20785373749
2001,1,7466.49136551693
2001,2,7358.21671736633
2001,3,7304.82930431451
2001,4,7279.2484768695
2001,5,7254.28845695879
