Year,Month,Concentration
1986,1,15.4893419004218
1986,2,15.4893419004218
1986,3,15.4893419004218
1986,4,15.4893419004218
1986,5,15.4893419004218
1986,6,15.489902041249
1986,7,15.4915824637308
1986,8,15.4915824637308
1986,9,15.4920027279713
1986,10,15.4932635206926
1986,11,15.4932635206926
1986,12,15.4932635206926
1987,1,15.4932635206926
1987,2,15.4932635206926
1987,3,15.4932635206926
1987,4,15.4932635206926
1987,5,15.4953433221021
1987,6,15.4954555803669
1987,7,15.4940038004816
1987,8,15.4881966809402
1987,9,15.4967281580416
1987,10,15.4998904177957
1987,11,15.4998904177957
1987,12,15.5142050622867
1988,1,15.5137871283083
1988,2,15.509985965012
1988,3,15.509985965012
1988,4,15.5086828104235
1988,5,15.5070714049989
1988,6,15.5070714049989
1988,7,15.5070714049989
1988,8,15.5148782659027
1988,9,15.5226851268065
1988,10,15.5226851268065
1988,11,15.5226851268065
1988,12,15.5226851268065
1989,1,15.5226851268065
1989,2,15.5226851268065
1989,3,15.5238670405343
1989,4,15.5169860775605
1989,5,15.5169860775605
1989,6,15.5169860775605
1989,7,15.520968711543
1989,8,15.5380066241373
1989,9,15.5380066241373
1989,10,15.5412004275594
1989,11,15.5448525814928
1989,12,15.5448525814928
1990,1,15.5448525814928
1990,2,15.5146163123371
1990,3,15.5146163123371
1990,4,15.5000238078564
1990,5,15.49262739449
1990,6,15.49262739449
1990,7,15.4924379993572
1990,8,15.4999015958851
1990,9,15.4999015958851
1990,10,15.4854824529042
1990,11,15.4247806055352
1990,12,15.4253358446903
1991,1,15.3255492493506
1991,2,15.0940218387739
1991,3,15.0940218387739
1991,4,15.0940218387739
1991,5,15.0372073593947
1991,6,15.0240764430321
1991,7,15.018394262866
1991,8,14.9642335944831
1991,9,14.9575772472176
1991,10,14.9336709858739
1991,11,14.7911964048334
1991,12,14.7886302505693
1992,1,14.7592319327818
1992,2,14.6643649422722
1992,3,14.6601126608669
1992,4,14.6179910363874
1992,5,14.4894033864385
1992,6,14.4818998396693
1992,7,14.4821910510275
1992,8,14.426123087283
1992,9,14.4025341015443
1992,10,14.4025341015443
1992,11,14.385800980611
1992,12,14.3284672279845
1993,1,14.3284672279845
1993,2,14.3067257011592
1993,3,14.2984445064277
1993,4,14.2984445064277
1993,5,14.2975618243282
1993,6,14.2914929404135
1993,7,14.2873111324505
1993,8,14.2747658258636
1993,9,14.1819306620088
1993,10,14.1819306620088
1993,11,14.1805055012263
1993,12,14.1702282745724
1994,1,14.1594486623001
1994,2,14.1316111337128
1994,3,14.1316111337128
1994,4,14.1313459190961
1994,5,14.130285060629
1994,6,14.1237300083287
1994,7,14.1105797070963
1994,8,14.1105797070963
1994,9,14.1118075712791
1994,10,14.1162341442335
1994,11,14.1157492604564
1994,12,14.1157492604564
1995,1,14.1159632468568
1995,2,14.1166052060579
1995,3,14.0841931655278
1995,4,14.093530616348
1995,5,14.1422110207835
1995,6,14.1140124722234
1995,7,14.1140124722234
1995,8,14.1052631678926
1995,9,14.0874500811298
1995,10,14.1001023204744
1995,11,14.1010020521851
1995,12,14.1012578858392
1996,1,14.098654188728
1996,2,14.0980446877252
1996,3,14.1071367836292
1996,4,14.0894272968583
1996,5,14.0894272968583
1996,6,14.0887356690551
1996,7,14.0866607856454
1996,8,14.0866607856454
1996,9,14.0954526736123
1996,10,14.1005915893787
1996,11,14.0816555715759
1996,12,14.0424728941664
1997,1,14.0440583505706
1997,2,13.9780852129584
1997,3,13.9581735552394
1997,4,13.9505785227997
1997,5,13.9431294255801
1997,6,13.9375742730571
1997,7,13.9457120903715
1997,8,13.9528217468162
1997,9,13.8840468270624
1997,10,13.7850152033572
1997,11,13.6220682389713
1997,12,13.6036675201837
1998,1,13.5765650079576
1998,2,13.5584749937935
1998,3,13.5587600806201
1998,4,13.5529178171736
1998,5,13.5452172496141
1998,6,13.5501452740679
1998,7,13.565181424024
1998,8,13.5699182281544
1998,9,13.6122553407178
1998,10,13.6377857635712
1998,11,13.6201806188165
1998,12,13.5853065521725
1999,1,13.5679412221994
1999,2,13.5332363001424
1999,3,13.4644266957617
1999,4,13.4343280301145
1999,5,13.4241391626706
1999,6,13.4260719517065
1999,7,13.4095828915004
1999,8,13.3945804365053
1999,9,13.3486357056643
1999,10,13.263295241724
1999,11,13.2641806077619
1999,12,13.25033796812
2000,1,13.2457311599396
2000,2,13.2217335200032
2000,3,13.1354004143951
2000,4,12.8743892566563
2000,5,12.8826165340911
2000,6,12.8325342514204
2000,7,12.8585396939883
2000,8,13.0414468820071
2000,9,13.0966923613634
2000,10,13.1225611159202
2000,11,13.2716378278918
2000,12,13.6125618999757
2001,1,14.3737444902752
2001,2,14.6625169180098
2001,3,15.0291675792866
2001,4,15.2381516743471
2001,5,15.5300351762364
2001,6,15.893365370908
2001,7,16.2956988480678
2001,8,16.2966214471071
2001,9,16.3095132789489
2001,10,16.546228744243
2001,11,17.3731663090633
2001,12,17.7986178829838
2002,1,18.0990196149605
2002,2,18.2131407132745
2002,3,18.2871249373828
2002,4,18.5003519927789
2002,5,18.7651989772295
2002,6,19.1130947087717
2002,7,19.6616172447565
2002,8,21.3397800007245
2002,9,22.8333623970756
2002,10,23.9703649291071
