Year,Month,Concentration
1986,1,2.81720413850551
1986,2,2.81720413850551
1986,3,2.81720413850551
1986,4,2.81720413850551
1986,5,2.81964464739411
1986,6,2.82330541072703
1986,7,2.82330541072703
1986,8,2.82330541072703
1986,9,2.82330541072703
1986,10,2.82330541072703
1986,11,2.82330541072703
1986,12,2.82330541072703
1987,1,2.82330541072703
1987,2,2.8378226502534
1987,3,2.89170565916443
1987,4,2.90966666213477
1987,5,2.90966666213477
1987,6,2.90966666213477
1987,7,2.90966666213477
1987,8,2.90966666213477
1987,9,2.90966666213477
1987,10,2.92960192737573
1987,11,2.94289210420303
1987,12,2.94289210420303
1988,1,2.91574364654012
1988,2,2.87197340232881
1988,3,2.87197340232881
1988,4,2.86812874434098
1988,5,2.85146283030333
1988,6,2.82296991384971
1988,7,2.81541414708811
1988,8,2.79596747583623
1988,9,2.78156383101607
1988,10,2.78003692675265
1988,11,2.78003692675265
1988,12,2.78088857199928
1989,1,2.78362236159061
1989,2,2.78974939849122
1989,3,2.80461449295603
1989,4,2.81561728985105
1989,5,2.82241338134871
1989,6,2.82751901630671
1989,7,2.83259712304217
1989,8,2.83331109625003
1989,9,2.83510452104383
1989,10,2.8342634277899
1989,11,2.82617727120955
1989,12,2.82986896691276
1990,1,2.83359035288762
1990,2,2.83657813605282
1990,3,2.83794532522179
1990,4,2.83895501063029
1990,5,2.85259141184366
1990,6,2.85224893843443
1990,7,2.84451927463294
1990,8,2.77008346821699
1990,9,2.73674788038138
1990,10,2.72708242780852
1990,11,2.69815489193789
1990,12,2.69839937287704
1991,1,2.69783112854267
1991,2,2.69130245020287
1991,3,2.68759084433779
1991,4,2.68757716258974
1991,5,2.68213849262222
1991,6,2.68181586761925
1991,7,2.68208459775369
1991,8,2.68233055229254
1991,9,2.68233370386149
1991,10,2.6825247368013
1991,11,2.67739503026716
1991,12,2.66991938481382
1992,1,2.66991940047584
1992,2,2.67064929982049
1992,3,2.67100560104895
1992,4,2.67353655892528
1992,5,2.6780690400761
1992,6,2.68088616977162
1992,7,2.68258158846495
1992,8,2.68405980646723
1992,9,2.68542682115697
1992,10,2.68542682115697
1992,11,2.68221441876238
1992,12,2.68088108116762
1993,1,2.67638225396655
1993,2,2.67525754716628
1993,3,2.67331508352499
1993,4,2.67331508352499
1993,5,2.67323846992902
1993,6,2.67748581284112
1993,7,2.67382332292171
1993,8,2.6716973237891
1993,9,2.66904728335706
1993,10,2.66680752312019
1993,11,2.66671346679543
1993,12,2.66611183301868
1994,1,2.66464757670772
1994,2,2.66033710691186
1994,3,2.64337367021755
1994,4,2.59505766283093
1994,5,2.58498511487608
1994,6,2.57219860336188
1994,7,2.56680665048511
1994,8,2.56505919551665
1994,9,2.56165265250723
1994,10,2.5590178717927
1994,11,2.55816815868854
1994,12,2.55612446027006
1995,1,2.55556756762784
1995,2,2.55625584799128
1995,3,2.5578689001306
1995,4,2.55289644161324
1995,5,2.54542060346761
1995,6,2.54264792656332
1995,7,2.53745439273332
1995,8,2.53729684760342
1995,9,2.53538396986087
1995,10,2.53584860361839
1995,11,2.53901028189901
1995,12,2.54188295649385
1996,1,2.54771389243331
1996,2,2.5492358164805
1996,3,2.55043293478258
1996,4,2.55072905311899
1996,5,2.54645941452209
1996,6,2.5452959767602
1996,7,2.5417443652853
1996,8,2.54266495223387
1996,9,2.54342934878223
1996,10,2.54696052187018
1996,11,2.55516034892125
1996,12,2.54463366959862
1997,1,2.54630889008746
1997,2,2.54899089504834
1997,3,2.55008709926571
1997,4,2.55885889017261
1997,5,2.56274572868434
1997,6,2.56457381801213
1997,7,2.56130810632192
1997,8,2.57597456343133
1997,9,2.6164678160036
1997,10,2.65342522574805
1997,11,2.68377706438054
1997,12,2.69022025207502
1998,1,2.67497958031949
1998,2,2.6834945726973
1998,3,2.69597884987108
1998,4,2.69418360042093
1998,5,2.69807428735869
1998,6,2.70642619812597
1998,7,2.71122866120491
1998,8,2.71421444001677
1998,9,2.71695319679017
1998,10,2.75036356845696
1998,11,2.77060109918027
1998,12,2.76922515178012
1999,1,2.76564136670558
1999,2,2.76491849156927
1999,3,2.76430028235255
1999,4,2.75611645728613
1999,5,2.76597395103646
1999,6,2.75973637880023
1999,7,2.76241803183054
1999,8,2.77067110920769
1999,9,2.75807714474162
1999,10,2.73479020746962
1999,11,2.72025562613659
1999,12,2.72204947997461
2000,1,2.71130474317244
2000,2,2.71174168460323
2000,3,2.71290611433266
2000,4,2.70829808427874
2000,5,2.7020007493293
2000,6,2.70912731592693
2000,7,2.71729994827962
2000,8,2.72178771485699
2000,9,2.71434497320582
2000,10,2.7045661485525
2000,11,2.6514412540833
2000,12,2.65284506482236
2001,1,2.66626227917955
2001,2,2.6723821467561
2001,3,2.66818680089263
2001,4,2.65678303525812
2001,5,2.65666096085192
2001,6,2.65103177097141
2001,7,2.64728116013673
2001,8,2.63158335377762
2001,9,2.62868945440629
2001,10,2.63237053543486
2001,11,2.63227644338437
2001,12,2.63901480844481
2002,1,2.6643552229321
2002,2,2.67355792502373
2002,3,2.68586345558816
2002,4,2.69516860263001
2002,5,2.70645582964995
