Year,Month,Concentration
1986,1,33.8287320405281
1986,2,33.8287320405281
1986,3,33.8309859452474
1986,4,33.8377476594053
1986,5,33.8449130095859
1986,6,33.8556610348568
1986,7,33.8556610348568
1986,8,33.8594454199668
1986,9,33.8643979446289
1986,10,33.8643979446289
1986,11,33.8643979446289
1986,12,33.8600354651549
1987,1,33.8432211382474
1987,2,33.8473241296214
1987,3,33.8305440198131
1987,4,33.780203690388
1987,5,33.7470487413679
1987,6,33.7377140999963
1987,7,33.7234780383263
1987,8,33.6665337916463
1987,9,33.6595665824661
1987,10,33.6539373859526
1987,11,33.6454935911823
1987,12,33.6400893279904
1988,1,33.471757739491
1988,2,33.3577700283328
1988,3,33.3485832605406
1988,4,33.3378264087315
1988,5,33.309268832649
1988,6,33.2941315055022
1988,7,33.2941315055022
1988,8,33.2977941884062
1988,9,33.3016809685233
1988,10,33.3013756998807
1988,11,33.3013756998807
1988,12,33.2468396296906
1989,1,33.2025678112405
1989,2,33.2025678112405
1989,3,33.2009826294272
1989,4,33.2353031084809
1989,5,33.2353031084809
1989,6,33.2314528390955
1989,7,33.2714396493978
1989,8,33.3010395304426
1989,9,33.291255717797
1989,10,33.3017494961642
1989,11,33.3534643628247
1989,12,33.3534643628247
1990,1,33.336119108943
1990,2,33.2454977442056
1990,3,33.2194743092995
1990,4,32.85925969603
1990,5,32.6074368815682
1990,6,32.6074368815682
1990,7,32.5945516851577
1990,8,32.4948787538528
1990,9,32.4951377855331
1990,10,32.4752285766961
1990,11,32.3042109001865
1990,12,32.3038844677337
1991,1,32.0058881131501
1991,2,31.3345922858753
1991,3,31.3345922858753
1991,4,31.3278310604163
1991,5,30.9608297821671
1991,6,30.8992435290297
1991,7,30.8540013386543
1991,8,30.477367505738
1991,9,30.2524654014963
1991,10,30.2231148576098
1991,11,30.0706812420051
1991,12,30.0268464976753
1992,1,29.9444715985864
1992,2,29.3204940130487
1992,3,29.2723783247133
1992,4,29.1378431047152
1992,5,28.8087766956342
1992,6,28.8048742182687
1992,7,28.8179726374381
1992,8,28.5898927728421
1992,9,28.5061769348199
1992,10,28.4909566382841
1992,11,27.9168813030256
1992,12,27.7670402777766
1993,1,27.7670402777766
1993,2,27.6673786654776
1993,3,27.5848630957598
1993,4,27.5749991828232
