Year,Month,Concentration
1986,1,2.49532928718194
1986,2,2.49532928718194
1986,3,2.49532928718194
1986,4,2.49532928718194
1986,5,2.49930964635261
1986,6,2.50528018510861
1986,7,2.50528018510861
1986,8,2.50528018510861
1986,9,2.50994769380345
1986,10,2.50994769380345
1986,11,2.50994769380345
1986,12,2.50994769380345
1987,1,2.50994769380345
1987,2,2.5234626335466
1987,3,2.5234626335466
1987,4,2.5234626335466
1987,5,2.5234626335466
1987,6,2.5234626335466
1987,7,2.5234626335466
1987,8,2.5234626335466
1987,9,2.5234626335466
1987,10,2.54394718116843
1987,11,2.55760354624965
1987,12,2.55760354624965
1988,1,2.55051040666956
1988,2,2.52925145608497
1988,3,2.52925145608497
1988,4,2.52448146702872
1988,5,2.52061580960885
1988,6,2.51129214473187
1988,7,2.50583263952843
1988,8,2.49765630513114
1988,9,2.49312268294357
1988,10,2.49312268294357
1988,11,2.49312268294357
1988,12,2.49312268294357
1989,1,2.49375782904324
1989,2,2.49548257885477
1989,3,2.49806775610205
1989,4,2.52448179567283
1989,5,2.52448179567283
1989,6,2.52448179567283
1989,7,2.52802234752461
1989,8,2.52887694455185
1989,9,2.52887694455185
1989,10,2.52908035197933
1989,11,2.52969057426178
1989,12,2.53086835676658
1990,1,2.53557948678582
1990,2,2.53524923015283
1990,3,2.53524923015283
1990,4,2.53524923015283
1990,5,2.5213037257257
1990,6,2.51519402171279
1990,7,2.50103164384873
1990,8,2.45972225851366
1990,9,2.4523084117432
1990,10,2.4523084117432
1990,11,2.45337994665421
1990,12,2.45477644955156
1991,1,2.45804087329863
1991,2,2.46088657109209
1991,3,2.46088657109209
1991,4,2.46095872882367
1991,5,2.47186885021001
1991,6,2.4718691023064
1991,7,2.47219410330693
1991,8,2.46946211485665
1991,9,2.4664190182035
1991,10,2.4664190182035
1991,11,2.46394286539132
1991,12,2.46394286539132
1992,1,2.46394286539132
1992,2,2.46576945119852
1992,3,2.46798043087418
1992,4,2.47023011725966
1992,5,2.47243629032904
1992,6,2.47139526012
1992,7,2.47276271349682
1992,8,2.47499662090461
1992,9,2.47554480293234
1992,10,2.47554480293234
1992,11,2.47495184690328
1992,12,2.47593336408852
1993,1,2.47445487852901
1993,2,2.47445487852901
1993,3,2.4778716807886
1993,4,2.47735628240067
1993,5,2.47615405764047
1993,6,2.47559625684112
1993,7,2.47309794431191
1993,8,2.47184159351823
1993,9,2.46874534218006
1993,10,2.46933337063644
1993,11,2.46948037775053
1993,12,2.46948037775053
1994,1,2.46948037775053
1994,2,2.47423527570707
1994,3,2.46765342789649
1994,4,2.44271240775524
1994,5,2.43672402833726
1994,6,2.4262852602868
1994,7,2.42481028808767
1994,8,2.42800524382137
1994,9,2.4406320825421
1994,10,2.44327768234143
1994,11,2.44174435269886
1994,12,2.43290776127988
1995,1,2.42544882054762
1995,2,2.42430869501822
1995,3,2.42081799974652
1995,4,2.40961634938319
1995,5,2.39412271431584
1995,6,2.39029848438845
1995,7,2.38949956046212
1995,8,2.39105040403797
1995,9,2.3960328017075
1995,10,2.39433323511779
1995,11,2.39266846797553
1995,12,15.8626629136641
1996,1,36.068328942924
1996,2,36.0681605318051
1996,3,36.0732470026946
1996,4,36.1278626763707
1996,5,36.171290069943
1996,6,36.1823205539028
1996,7,36.1823205539028
1996,8,36.2171909621723
1996,9,36.2312928952458
1996,10,36.2306776075936
1996,11,36.3606351839241
1996,12,36.3655357300448
1997,1,36.3951675141636
1997,2,36.4173584840689
1997,3,36.4375942229979
1997,4,36.4393928172025
1997,5,36.4702914034471
1997,6,36.5184871029276
1997,7,36.51038273942
1997,8,22.9178921990675
1997,9,2.63917948861736
1997,10,2.71369412153897
1997,11,2.84954617311719
1997,12,2.85967323337021
1998,1,2.86427446810826
1998,2,27.4637625192309
1998,3,35.3517903726968
1998,4,34.7693525310886
1998,5,34.6088838432181
1998,6,34.4686827689904
1998,7,34.4626470328673
1998,8,34.5743308217234
1998,9,34.6598941782669
1998,10,35.0161979965931
1998,11,35.2840802039687
1998,12,35.3733427393551
1999,1,35.8257168786041
1999,2,37.29027927464
1999,3,39.1060808020605
1999,4,41.2359490363408
1999,5,42.0302444827895
1999,6,44.4143245016625
1999,7,46.4590386485514
1999,8,47.0010730481774
1999,9,47.2492957931762
1999,10,94.8926161584525
1999,11,106.861073977128
1999,12,107.560909219875
2000,1,108.273227883564
2000,2,109.568039573946
2000,3,110.273335879638
2000,4,110.475803677599
2000,5,110.613736214492
2000,6,110.62373809273
2000,7,110.9074372202
2000,8,111.788976454554
2000,9,111.841259183349
2000,10,111.826665188338
2000,11,111.76347912583
2000,12,111.745660774103
2001,1,111.731415987855
2001,2,111.90926436218
2001,3,111.890677727841
2001,4,111.836721645029
2001,5,111.81203450036
2001,6,112.347031557696
2001,7,112.457712471083
2001,8,112.052651841155
2001,9,109.953937307674
2001,10,109.501091983199
2001,11,109.454216516383
2001,12,108.470886036903
2002,1,107.682378607942
2002,2,107.535625043988
2002,3,107.541154380643
2002,4,107.144691243354
2002,5,107.159666330358
2002,6,106.8359023033
2002,7,105.802730505343
2002,8,105.372561888514
2002,9,105.468188529268
2002,10,105.316385870427
2002,11,102.654554683292
2002,12,100.955802467834
2003,1,101.038569528355
2003,2,100.982030226272
2003,3,100.090984700443
2003,4,99.5924481700418
2003,5,99.6053393552016
2003,6,99.6366312950313
2003,7,74.7910229792041
2003,8,66.5175755779787
2003,9,66.5230861078866
2003,10,66.5501118037602
2003,11,66.5640759685845
2003,12,66.5872955820084
2004,1,66.6975446662118
2004,2,67.1222103495141
2004,3,67.1386964450371
2004,4,67.1654063692154
2004,5,67.3160225220012
2004,6,67.732780223804
2004,7,70.0108008441271
2004,8,70.0586361281005
2004,9,70.2667057647481
2004,10,70.7117597509119
2004,11,72.2778528061765
2004,12,72.7900455629254
2005,1,73.3358554106619
2005,2,73.4680720436492
2005,3,73.7541464302285
2005,4,73.991920286175
2005,5,74.0738585727802
2005,6,74.1374935381847
2005,7,74.2266729555937
2005,8,74.3072361240103
2005,9,74.4617114933718
2005,10,74.5687972482308
2005,11,76.433918513507
2005,12,77.3101971640429
2006,1,77.5068934178238
2006,2,77.6024552241449
2006,3,77.6255934357049
2006,4,77.6281866453931
2006,5,77.5800004365414
2006,6,77.5471164943653
2006,7,77.4739060251723
2006,8,77.3493745946523
2006,9,77.2456791269234
2006,10,77.1122996048236
2006,11,76.8279211568767
2006,12,76.6611326620478
2007,1,76.5838432153794
2007,2,76.2719643654182
2007,3,75.7729769928262
2007,4,74.231376402621
2007,5,75.3013061315037
2007,6,75.4914302096158
2007,7,75.1226196032536
2007,8,74.8125785514395
2007,9,99.2457258967832
2007,10,99.2705423944142
2007,11,99.2800953419649
2007,12,99.3053279706927
2008,1,99.3299090264662
2008,2,99.4779685969337
2008,3,99.7876291339146
2008,4,100.053050276781
2008,5,100.359299031597
2008,6,100.631300653347
2008,7,100.644808949443
2008,8,100.672094412245
2008,9,100.706583870327
2008,10,100.824042019086
2008,11,100.89102713006
2008,12,100.901824753663
2009,1,100.94517827787
2009,2,101.737662944789
2009,3,104.766167559023
2009,4,109.499872671666
2009,5,110.7263326544
2009,6,111.186654528774
2009,7,111.359748509087
2009,8,111.54085909525
2009,9,111.591094508883
2009,10,111.607908085417
2009,11,111.645940565375
2009,12,111.654531949826
2010,1,111.691907055394
2010,2,111.861194503016
2010,3,112.565755717084
2010,4,113.144169700814
2010,5,113.976342568906
2010,6,114.691487033587
2010,7,115.128464634403
2010,8,115.416475707592
2010,9,115.525241434548
2010,10,115.735187875215
2010,11,115.964587052037
2010,12,116.104317118215
2011,1,116.305570378366
2011,2,116.375114166107
2011,3,116.375114166107
2011,4,116.375114166107
2011,5,116.400422191055
2011,6,116.540616427317
2011,7,116.5169971294
2011,8,116.48161036228
2011,9,116.539690713252
2011,10,116.595380325966
2011,11,116.709276523021
2011,12,116.765629382242
2012,1,116.793210572546
2012,2,116.793210572546
2012,3,116.793210572546
2012,4,116.793210572546
2012,5,116.749876819167
2012,6,116.735432234707
2012,7,116.735432234707
2012,8,116.754846674986
2012,9,116.767789635172
2012,10,116.767789635172
2012,11,116.767789635172
2012,12,116.767789635172
2013,1,116.767789635172
2013,2,116.78896254909
2013,3,116.870054043996
2013,4,116.974569308264
2013,5,116.983264712577
2013,6,117.002020626978
2013,7,117.322345644712
2013,8,117.812245138868
2013,9,118.280332878335
2013,10,118.484369319525
2013,11,118.792442563264
2013,12,119.223126269053
2014,1,120.321892401873
2014,2,120.930931068267
2014,3,121.065911241444
2014,4,121.23247731399
2014,5,121.238172784888
2014,6,121.229500446287
2014,7,121.29055464916
2014,8,121.330556656399
2014,9,121.331995132912
2014,10,121.329416823971
2014,11,121.606289405527
2014,12,121.60060468153
2015,1,121.602406294098
2015,2,121.580184993006
2015,3,121.709624289574
2015,4,121.702838046796
2015,5,121.833936315034
2015,6,121.840597208847
2015,7,121.886060633425
2015,8,121.905200997585
2015,9,121.931363720757
2015,10,121.931363720757
2015,11,121.931363720757
2015,12,121.931363720757
