Year,Month,Concentration
1986,1,2660.2241004725
1986,2,2660.2241004725
1986,3,2660.2241004725
1986,4,2660.2241004725
1986,5,2660.2241004725
1986,6,2660.2241004725
1986,7,2660.2241004725
1986,8,2660.2241004725
1986,9,2660.2241004725
1986,10,2660.2241004725
1986,11,2660.2241004725
1986,12,2690.07056651318
1987,1,2692.74164945001
1987,2,2696.52778409925
1987,3,2696.14358622767
1987,4,2699.26294745932
1987,5,2707.30760751171
1987,6,2707.30760751171
1987,7,2708.11223234872
1987,8,2709.31916960423
1987,9,2709.31916960423
1987,10,2709.31916960423
1987,11,2709.31916960423
1987,12,2709.31916960423
1988,1,2710.25964899253
1988,2,2710.88663525139
1988,3,2710.88663525139
1988,4,2710.85910373827
1988,5,2711.75640180782
1988,6,2712.83091420768
1988,7,2712.83091420768
1988,8,2702.64013799168
1988,9,2697.63201660319
1988,10,2697.64734962238
1988,11,2697.64734962238
1988,12,2690.34147308019
1989,1,2689.33356749371
1989,2,2688.82348244188
1989,3,2687.0886015232
1989,4,2687.3146331129
1989,5,2687.3146331129
1989,6,2680.83443733756
1989,7,2674.0403771933
1989,8,2679.44977238329
1989,9,2677.56018385712
1989,10,2672.96910696824
1989,11,2668.66637009107
1989,12,2639.64385692734
1990,1,2556.72259049868
1990,2,2509.36587259065
1990,3,2497.58599922665
1990,4,2490.77345452387
1990,5,2491.5772671206
1990,6,2324.97294769875
1990,7,1966.94531658213
1990,8,1887.67061326663
1990,9,1887.67061326663
1990,10,1872.33338916808
1990,11,1863.89325207889
1990,12,1863.89325207889
1991,1,1851.6924840783
1991,2,1815.08813318698
1991,3,1816.93258988829
1991,4,1811.03067155663
1991,5,1809.7160669049
1991,6,1808.15623160678
1991,7,1810.95087023833
1991,8,1818.745397595
1991,9,1818.745397595
1991,10,1818.745397595
1991,11,1807.99994941956
1991,12,1804.3022328893
1992,1,1812.99194195005
1992,2,1808.18328455216
1992,3,1808.67104703755
1992,4,1811.49656106645
1992,5,1811.64652704631
1992,6,1811.64652704631
1992,7,1811.64652704631
1992,8,1812.97853575505
1992,9,1814.70375496894
1992,10,1814.58606040543
1992,11,1812.61693268962
1992,12,1806.56840901474
1993,1,1802.12407981467
1993,2,1799.53011849735
1993,3,1748.74557136272
1993,4,1748.93835500288
1993,5,1743.15540922225
1993,6,1724.93482548634
1993,7,1724.68672359687
1993,8,1721.73175136876
1993,9,1715.22949831271
1993,10,1697.393946118
1993,11,1670.06469359332
1993,12,1611.09511695139
1994,1,1603.64311190396
1994,2,1601.35914360833
1994,3,1600.60351500232
1994,4,1595.91460990168
1994,5,1589.21185711805
1994,6,1574.51928163843
1994,7,1528.34384502802
1994,8,1516.15341834833
1994,9,1514.03928494505
1994,10,1483.5955518002
1994,11,1449.0719541097
1994,12,1448.08504842826
1995,1,1444.33821557022
1995,2,1418.8903810237
1995,3,1408.89385675605
1995,4,1407.74576531039
1995,5,1403.67645393462
1995,6,1402.10738217776
1995,7,1401.82664430569
1995,8,1400.98443068951
1995,9,1400.98443068951
1995,10,1398.57285816547
1995,11,1398.57285816547
1995,12,1397.72424425775
1996,1,1389.91846013908
1996,2,1382.27407140642
1996,3,1381.29238339854
1996,4,1378.50998120577
1996,5,1377.67034971708
1996,6,1372.72735285776
1996,7,1358.61499888314
1996,8,1358.61499888314
1996,9,1350.51532184887
1996,10,1343.58952386235
1996,11,1343.45444481186
1996,12,1339.30822454734
1997,1,1338.96376627937
1997,2,1335.02319879095
1997,3,1330.89204613234
1997,4,1322.5167031538
1997,5,1321.02633996403
1997,6,1320.69976829788
1997,7,1320.69976829788
1997,8,1320.13643491053
1997,9,1318.80404504637
1997,10,1312.14100905141
1997,11,1299.19862799517
1997,12,1287.98300387553
1998,1,1288.13140296085
1998,2,1289.5317884975
1998,3,1285.63372559342
1998,4,1280.15078187687
1998,5,1280.53949871199
