Year,Month,Concentration
1986,1,133.302534700687
1986,2,133.302534700687
1986,3,133.302534700687
1986,4,133.302534700687
1986,5,133.302534700687
1986,6,133.302534700687
1986,7,133.302534700687
1986,8,133.302534700687
1986,9,133.302534700687
1986,10,133.302534700687
1986,11,133.302534700687
1986,12,133.302534700687
1987,1,133.302534700687
1987,2,133.302534700687
1987,3,133.302534700687
1987,4,133.302534700687
1987,5,133.302534700687
1987,6,133.302534700687
1987,7,133.302534700687
1987,8,133.302534700687
1987,9,133.302534700687
1987,10,133.302534700687
1987,11,133.302534700687
1987,12,133.26929115193
1988,1,133.236047603172
1988,2,133.236047603172
1988,3,133.236047603172
1988,4,133.236047603172
1988,5,133.236047603172
1988,6,133.236047603172
1988,7,133.236047603172
1988,8,133.213803379844
1988,9,133.206388638735
1988,10,133.206388638735
1988,11,133.206388638735
1988,12,133.500949042547
1989,1,133.517347723957
1989,2,133.533674540453
1989,3,133.548097875194
1989,4,133.551703708879
1989,5,133.551703708879
1989,6,133.551703708879
1989,7,133.588682202048
1989,8,133.625660695218
1989,9,133.625660695218
1989,10,133.650387851016
1989,11,133.746576445841
1989,12,133.746576445841
1990,1,133.737169039923
1990,2,133.708946822172
1990,3,133.708946822172
1990,4,133.708946822172
1990,5,133.700531218726
1990,6,133.700531218726
1990,7,133.700531218726
1990,8,133.700531218726
1990,9,133.700531218726
1990,10,133.641293725983
1990,11,133.621830898505
1990,12,133.621830898505
1991,1,133.727696033089
1991,2,133.833561167672
1991,3,133.833561167672
1991,4,133.833561167672
1991,5,133.781137667465
1991,6,133.781137667465
1991,7,133.781137667465
1991,8,133.781137667465
1991,9,133.781137667465
1991,10,133.781137667465
1991,11,133.924061925405
1991,12,133.924061925405
1992,1,133.924061925405
1992,2,133.924061925405
1992,3,133.924061925405
1992,4,133.939267025163
1992,5,133.984882324434
1992,6,133.984882324434
1992,7,133.984882324434
1992,8,133.984882324434
1992,9,133.984882324434
1992,10,133.984882324434
1992,11,134.023266899284
1992,12,134.036061757568
1993,1,134.036061757568
1993,2,134.036061757568
1993,3,134.036061757568
1993,4,134.036061757568
1993,5,134.036061757568
1993,6,134.036061757568
1993,7,134.036061757568
1993,8,134.036061757568
1993,9,134.036061757568
1993,10,134.036061757568
1993,11,134.036061757568
1993,12,134.036061757568
1994,1,134.036061757568
1994,2,134.036061757568
1994,3,134.036061757568
1994,4,134.036061757568
1994,5,134.036061757568
1994,6,134.036061757568
1994,7,134.036061757568
1994,8,134.036061757568
1994,9,134.036061757568
1994,10,134.036061757568
1994,11,134.036061757568
1994,12,133.965897608826
1995,1,133.919121509665
1995,2,133.919121509665
1995,3,133.919121509665
1995,4,133.919121509665
1995,5,133.90828275191
1995,6,133.897443994155
1995,7,133.920324589331
1995,8,133.920324589331
1995,9,133.925728657051
1995,10,133.947344927931
1995,11,133.947344927931
1995,12,133.947344927931
1996,1,134.105765766615
1996,2,134.204024306779
1996,3,134.204024306779
1996,4,134.229838963632
1996,5,134.285424899604
1996,6,134.285424899604
1996,7,134.285424899604
1996,8,134.285424899604
1996,9,134.285424899604
1996,10,134.285424899604
1996,11,134.273778977733
1996,12,134.173673781816
1997,1,134.196898682154
1997,2,134.265928582879
1997,3,134.213415623848
1997,4,134.194370815922
1997,5,134.194370815922
1997,6,134.194370815922
1997,7,134.161402918
1997,8,134.197036397473
1997,9,134.294143242897
1997,10,134.294143242897
1997,11,134.485496703622
1997,12,134.527592442827
1998,1,134.527592442827
1998,2,134.527592442827
1998,3,134.527592442827
1998,4,134.527592442827
1998,5,134.549378062511
1998,6,134.549385290721
1998,7,134.563951281583
1998,8,134.813205541716
1998,9,134.93446580711
1998,10,134.926599927155
1998,11,134.895136407333
1998,12,134.906106117371
1999,1,134.939015247487
1999,2,134.979556945175
1999,3,135.012580222689
1999,4,135.012580222689
1999,5,135.012580222689
1999,6,135.072653791547
1999,7,134.987510523447
1999,8,134.966224706422
1999,9,134.817020896673
1999,10,134.665299799435
1999,11,134.665299799435
1999,12,134.665299799435
2000,1,134.603599100685
2000,2,134.541898401935
2000,3,134.53125893999
2000,4,134.534749562529
2000,5,134.566500354032
2000,6,134.573804511796
2000,7,134.473477291557
2000,8,134.641731160641
2000,9,134.80924585585
2000,10,134.654847910986
2000,11,134.661346489203
2000,12,134.468523361351
2001,1,134.31076622453
2001,2,134.452024163179
2001,3,135.10468188948
2001,4,135.003068082083
2001,5,134.020656333726
2001,6,134.002571601021
2001,7,133.929065847606
2001,8,133.814941182694
2001,9,132.676101243951
2001,10,131.283901827706
2001,11,130.579459859723
2001,12,130.449649196609
2002,1,130.470893345024
2002,2,130.427455561053
2002,3,130.399188516464
2002,4,130.37480214547
2002,5,130.37480214547
2002,6,130.392571530153
2002,7,130.406703858945
2002,8,130.430244283125
2002,9,130.458274129455
2002,10,131.029757993611
2002,11,131.286181807075
2002,12,131.286536903859
2003,1,131.217732834859
2003,2,131.112566862051
2003,3,131.064806825119
2003,4,132.110379501204
2003,5,130.807944569894
2003,6,131.514537943655
2003,7,132.979387573451
2003,8,135.800962293989
2003,9,136.321932045792
2003,10,137.266476096959
2003,11,139.037985001405
2003,12,139.244217723877
2004,1,140.597371658121
2004,2,140.899005661791
2004,3,140.996477321236
2004,4,139.712412668891
2004,5,137.925228596896
2004,6,137.058466183462
2004,7,136.633627288482
2004,8,137.11338046064
2004,9,137.719111016032
2004,10,137.046981247613
2004,11,137.89793417899
2004,12,138.382117100625
2005,1,138.027369960802
2005,2,137.938750431353
2005,3,137.785187702673
2005,4,136.759732253729
2005,5,134.531362231719
2005,6,132.428448482693
2005,7,131.597661540447
2005,8,130.668730475685
2005,9,127.161198009127
2005,10,126.460321763228
2005,11,126.599169496344
2005,12,126.504807223781
2006,1,124.925606734474
2006,2,124.141298958026
2006,3,124.440536727961
2006,4,123.85784091884
2006,5,123.154960727628
2006,6,121.976245674845
2006,7,121.696994381989
2006,8,121.27409480591
2006,9,120.445309827212
2006,10,119.160494426185
2006,11,117.637692978663
2006,12,114.676388963105
2007,1,112.433730247649
2007,2,110.513493966686
2007,3,109.388090194121
2007,4,108.530176141067
2007,5,111.138445737003
2007,6,113.158433585772
2007,7,112.965160524817
2007,8,112.48176939903
2007,9,111.920448104888
2007,10,111.636904848815
2007,11,110.376687731627
2007,12,108.93377120359
2008,1,108.282826711293
2008,2,107.800440924611
2008,3,107.310176382514
2008,4,107.170054041581
2008,5,106.931631234291
2008,6,103.412459583009
2008,7,103.370288970781
2008,8,102.953655435653
2008,9,102.36558681676
2008,10,102.319099356598
2008,11,101.722593328399
2008,12,101.244387828765
2009,1,100.967684529715
2009,2,100.793756575531
2009,3,100.784167674194
2009,4,100.765449310884
2009,5,100.302388315993
2009,6,99.8903339828065
2009,7,99.827526564644
2009,8,99.7172581725519
2009,9,99.6323484209927
2009,10,99.5285813532637
2009,11,99.457213701036
2009,12,99.42764312334
2010,1,99.3588105930282
2010,2,99.4321274486823
2010,3,99.6022568903788
2010,4,99.6109050664245
2010,5,99.8412986339247
2010,6,100.616139532291
2010,7,100.747308812859
2010,8,101.23147610584
2010,9,101.500554778503
2010,10,101.517608496975
2010,11,101.501884972966
2010,12,101.04894859044
2011,1,100.709812620317
2011,2,100.718520473234
2011,3,101.006611476494
2011,4,101.099514608666
2011,5,100.979383531372
2011,6,100.827495545507
2011,7,70.2941791160767
2011,8,62.7062664598431
2011,9,63.7574205623926
2011,10,62.8011856347417
2011,11,63.1215455584019
2011,12,64.1169582526824
2012,1,66.5214379010829
2012,2,67.3375404536573
2012,3,67.5724271166065
2012,4,67.9710015172248
2012,5,68.397589077969
2012,6,68.4644525414488
2012,7,67.9932242200787
2012,8,67.4314991201846
2012,9,66.8168401497423
2012,10,65.9558752767187
2012,11,67.2599951434061
2012,12,67.2867153584923
2013,1,66.8527117350907
2013,2,65.6069830690835
2013,3,65.9087310990082
2013,4,68.6464368902996
2013,5,69.0300571697984
2013,6,69.1374091634227
2013,7,69.1801468197848
2013,8,68.6557123052276
2013,9,68.1846974314005
2013,10,68.5955400321145
2013,11,68.9696795600299
2013,12,68.5821813648578
2014,1,67.315452954893
2014,2,66.2317640237335
2014,3,64.2680179409458
2014,4,63.2376749627933
2014,5,63.163122893124
2014,6,63.6798671739169
2014,7,64.4547253736165
2014,8,65.1146834658648
2014,9,65.2106149890488
2014,10,64.0480918791068
2014,11,63.6536183988322
2014,12,63.4317035430465
2015,1,63.2200209565544
2015,2,65.2623819591597
2015,3,66.2442854926186
2015,4,65.2586920476913
2015,5,63.1390414705059
2015,6,63.5746741275375
2015,7,63.5816322648227
2015,8,63.5577260386109
2015,9,63.5697082394215
2015,10,63.6044481401838
2015,11,62.9117185487913
2015,12,64.7555985302332
2016,1,64.822611957139
2016,2,64.734115204156
2016,3,64.0592581732286
2016,4,63.481020293993
2016,5,65.0016960692464
2016,6,64.8711985354122
2016,7,66.2719459715161
2016,8,68.157557729448
2016,9,68.3637857364969
2016,10,68.7554848320351
2016,11,68.888529708153
2016,12,69.0852646021634
2017,1,68.3195139460599
2017,2,66.4884402932195
2017,3,66.7044138943688
2017,4,65.2157874321316
2017,5,67.9605305886126
2017,6,69.8482727177566
2017,7,69.8264120271177
2017,8,69.4732910282255
2017,9,70.7275466136455
2017,10,71.8792792204133
2017,11,71.5559643928298
2017,12,72.0148487739643
