Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,0
1995,11,0
1995,12,0
1996,1,0
1996,2,0
1996,3,0
1996,4,0
1996,5,0
1996,6,0.332266538578405
1996,7,1.32906615431362
1996,8,1.32913246536474
1996,9,1.32976172180845
1996,10,1.33033997288104
1996,11,1.33030520353498
1996,12,1.3328751658742
1997,1,1.33391088491786
1997,2,1.33559139394482
1997,3,1.33696320063937
1997,4,1.33864487955582
1997,5,1.34046491903137
1997,6,1.3411533640348
1997,7,1.34115225882066
1997,8,1.34544520123901
1997,9,1.36514998239552
1997,10,1.39055489361277
1997,11,1.39129799206395
1997,12,1.39059550899787
1998,1,1.38863116686193
1998,2,1.38641760025478
1998,3,1.37869452744454
1998,4,1.37134459792259
1998,5,1.37168402981207
1998,6,1.38494501992323
1998,7,1.40080805279509
1998,8,1.41437006501134
1998,9,0.706995249226035
1998,10,0
1998,11,0
1998,12,0
1999,1,0
1999,2,0
1999,3,0
1999,4,0
1999,5,0
1999,6,0
1999,7,0
1999,8,0
1999,9,0
1999,10,0
1999,11,0
1999,12,0
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0.839498437523882
2000,10,1.39648442738054
2000,11,1.39522621083832
2000,12,1.39216871032061
2001,1,1.39051618740384
2001,2,1.38963271911085
2001,3,1.38867362648179
2001,4,1.38488109552768
2001,5,1.38752798721032
2001,6,1.38649315342606
2001,7,1.38131260564279
2001,8,1.36170361209565
2001,9,0.683624460634128
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0.957326133466327
2003,7,11.3894974379395
2003,8,13.8270072214168
2003,9,13.8382771611279
2003,10,13.7931143103948
2003,11,13.7733434468965
2003,12,13.724384371664
2004,1,11.9179806534588
2004,2,4.25416999594957
2004,3,4.36021613176749
2004,4,4.33044643160703
2004,5,15.8697842764045
2004,6,15.8797352332967
2004,7,16.027508858984
2004,8,16.141754022019
2004,9,16.4530416333572
2004,10,16.7306280341097
2004,11,17.3892935410604
2004,12,19.1337730593909
2005,1,19.2860443533048
2005,2,19.3319077926798
2005,3,19.4584636087217
2005,4,20.0349674557527
2005,5,20.2299408291172
2005,6,20.2512269995068
2005,7,20.3228249672767
2005,8,20.4406515238915
2005,9,20.4526337225785
2005,10,20.4109596992472
2005,11,20.4407878126582
2005,12,20.450909728189
2006,1,20.4746318467901
2006,2,20.4847269925271
2006,3,19.8625458015955
2006,4,18.3883754960106
2006,5,18.0151904077483
2006,6,17.9097980768538
2006,7,17.9134053188923
2006,8,17.9204012150168
2006,9,17.863988445172
2006,10,17.7561333717629
2006,11,17.7465099214822
2006,12,17.7363260838074
2007,1,17.7701243353162
2007,2,17.7144601809043
2007,3,17.6941814477369
2007,4,17.6548228938581
2007,5,17.6484680596322
2007,6,17.6047259744777
2007,7,17.5940007164447
2007,8,17.5897890004179
2007,9,17.5890643996238
2007,10,17.5709081845194
2007,11,17.5346437652643
2007,12,17.5334009706691
2008,1,17.5304570058399
2008,2,17.5293812002721
2008,3,17.5487684426515
2008,4,17.5563579459093
