Year,Month,Concentration
1986,1,18195.7448435994
1986,2,18195.7448435994
1986,3,18195.7448435994
1986,4,18195.7448435994
1986,5,18195.7448435994
1986,6,18195.7448435994
1986,7,18195.7448435994
1986,8,18195.7448435994
1986,9,18195.7448435994
1986,10,18195.7448435994
1986,11,18195.7448435994
1986,12,18197.7154802048
1987,1,18203.6273900209
1987,2,18203.6273900209
1987,3,18203.6273900209
1987,4,18203.9385876576
1987,5,18204.8721805677
1987,6,18204.8721805677
1987,7,18206.1220350579
1987,8,18207.9968167932
1987,9,18205.7699416105
1987,10,18228.5465652396
1987,11,18262.7115006833
1987,12,18262.7115006833
1988,1,18286.794237844
1988,2,18314.0445271138
1988,3,18322.6822271537
1988,4,18332.9052975943
1988,5,18346.0847239198
1988,6,18352.4708510408
1988,7,18363.586672624
1988,8,18357.2961470449
1988,9,18282.1576468549
1988,10,18251.8864188293
1988,11,18051.3025763578
1988,12,17762.9272776212
1989,1,17672.2770515019
1989,2,17642.4438687337
1989,3,17580.1950185139
1989,4,17499.4185685272
1989,5,17495.8854050853
1989,6,17376.0889102673
1989,7,17197.7439878231
1989,8,17103.7521154062
1989,9,17012.8535667914
1989,10,16952.905303935
1989,11,16928.4045566746
1989,12,16818.4386724647
1990,1,16665.4651247977
1990,2,16490.1800171162
1990,3,16500.4603396695
1990,4,16464.5890185619
1990,5,16426.4076973552
1990,6,16360.8701574442
1990,7,16399.7684481524
1990,8,16297.8511074423
1990,9,16281.4789883655
1990,10,16177.2078209404
1990,11,16119.8892504084
1990,12,16106.1549291874
1991,1,16098.0524179127
1991,2,16239.0037710309
1991,3,16237.9716446599
1991,4,16257.5251006424
1991,5,16329.9887345215
1991,6,16328.2054882801
1991,7,16329.1996812826
1991,8,16364.2483929623
1991,9,16419.1312237004
1991,10,16421.9873767284
1991,11,16567.4053496008
1991,12,16558.0843970964
1992,1,16732.1240094165
1992,2,17034.8196709938
1992,3,17031.1361066824
1992,4,17091.9813209909
1992,5,17269.7677700984
1992,6,17322.5655173165
1992,7,17435.284556875
1992,8,17472.9648434472
1992,9,17472.3645886372
1992,10,17471.604560067
1992,11,17528.9727743436
1992,12,17552.8069330169
1993,1,17556.5627528062
1993,2,17618.1134834714
1993,3,17766.1699402962
1993,4,17896.4426957206
1993,5,17965.9145409931
1993,6,17946.9850452967
1993,7,18318.758239615
1993,8,18416.5838530311
1993,9,18419.3858749827
1993,10,18454.9463490083
1993,11,18565.5797799452
1993,12,18573.6828042678
1994,1,18892.8363234019
1994,2,19224.76524904
1994,3,19262.0662516508
1994,4,19334.7961554491
1994,5,19420.2028220831
1994,6,19108.252645351
1994,7,18113.9189347195
1994,8,17707.4427407812
1994,9,16184.3846848828
1994,10,10271.7092670984
1994,11,7075.43788046477
1994,12,6739.6923394757
1995,1,5664.25533955654
1995,2,5599.43344869859
1995,3,5440.26218105124
1995,4,5133.1779901923
1995,5,5012.86263569638
1995,6,4969.34628254617
1995,7,5024.36668929007
1995,8,4690.82631713551
1995,9,4455.99337097988
1995,10,4407.78354957623
1995,11,4359.4420039254
1995,12,2862.43865900272
1996,1,590.376424396605
1996,2,591.816637195653
1996,3,592.731130740949
1996,4,592.280484673898
1996,5,592.390069831731
1996,6,592.380531715398
1996,7,592.295084268165
1996,8,592.25513656804
1996,9,592.25513656804
1996,10,592.244246941429
1996,11,592.25750853886
1996,12,592.358649863627
1997,1,591.990448448285
1997,2,591.893657924817
1997,3,593.741383824363
1997,4,594.199462364463
1997,5,594.196740630549
1997,6,594.108680428528
1997,7,594.546312406439
1997,8,595.591042345149
1997,9,595.724266227268
1997,10,596.36300366253
1997,11,596.45611752327
1997,12,596.310789644591
1998,1,596.141445308222
1998,2,596.100609446706
1998,3,589.824682774861
1998,4,589.563140575999
1998,5,613.019282716754
1998,6,673.818483692228
1998,7,650.249901538801
1998,8,655.800707633438
1998,9,674.946418122191
1998,10,673.910310024377
1998,11,679.240129610456
1998,12,671.630515273915
1999,1,658.522463282791
1999,2,664.123178910688
1999,3,680.762510975457
1999,4,682.179882929187
1999,5,677.50020784934
1999,6,679.732476109939
1999,7,684.440904254178
1999,8,693.853312780429
1999,9,676.172782338328
1999,10,667.088533167032
1999,11,660.171227762486
1999,12,658.703368492512
2000,1,667.392603624482
2000,2,661.47035763473
2000,3,653.076698238656
