Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,22.5334299866417
1990,6,30.0445733155222
1990,7,30.0750983145255
1990,8,30.0536980049836
1990,9,30.0543943240292
1990,10,30.0543943240292
1990,11,30.0543943240292
1990,12,30.0309263063351
1991,1,30.0189397738598
1991,2,29.9843606965379
1991,3,29.9843606965379
1991,4,29.9843606965379
1991,5,29.9843606965379
1991,6,29.9843606965379
1991,7,29.9843606965379
1991,8,29.9578384063678
1991,9,29.9180549711128
1991,10,29.9180549711128
1991,11,29.9284810286689
1991,12,29.941022788278
1992,1,29.9272660497237
1992,2,29.9082075066594
1992,3,29.9004825368123
1992,4,29.8863175810518
1992,5,29.8447050951997
1992,6,29.8426897145884
1992,7,29.8420268531558
1992,8,29.8410325610069
1992,9,29.8289690255905
1992,10,29.8135081961016
1992,11,29.880045610894
1992,12,29.946063786333
1993,1,29.9631233308059
1993,2,29.9631233308059
1993,3,30.0705902001913
1993,4,30.1511202408425
1993,5,30.2333268182762
1993,6,30.387774768635
1993,7,30.4221727157513
1993,8,30.4229928628789
1993,9,30.4333802240917
1993,10,30.4288161067371
1993,11,30.4307798123776
1993,12,30.432743518018
1994,1,30.432743518018
1994,2,30.432743518018
1994,3,30.4372755513825
1994,4,30.4309497918264
1994,5,30.4111299187592
1994,6,30.4111299187592
1994,7,30.4111299187592
1994,8,30.4111299187592
1994,9,30.4050993915323
1994,10,30.4367494599372
1994,11,30.476160111816
1994,12,30.5173558247522
1995,1,30.5173558247522
1995,2,30.5173558247522
1995,3,30.5173558247522
1995,4,30.6632917909265
1995,5,32.0666482584938
1995,6,32.0711803218823
1995,7,32.0717774507982
1995,8,32.0717774507982
1995,9,32.1629618317918
1995,10,32.3072482937982
1995,11,32.3331330426084
1995,12,32.3655392141268
1996,1,32.4273667151682
1996,2,32.4322616572757
1996,3,32.4926015336052
1996,4,32.5211296898394
1996,5,32.526977440219
1996,6,32.5515198985624
1996,7,32.5522737338777
1996,8,26.1022216560981
1996,9,24.5275939744336
1996,10,32.7247932271993
1996,11,32.7936046738715
1996,12,32.8471585204873
1997,1,32.8478285254253
1997,2,32.8974156839287
1997,3,33.0570710628774
1997,4,33.076030896965
1997,5,33.1275545351833
1997,6,33.2019162061619
1997,7,33.2168667500221
1997,8,26.5306584859929
1997,9,0
1997,10,0
1997,11,0
1997,12,0
1998,1,0
1998,2,0
1998,3,0
1998,4,0
1998,5,0
1998,6,0
1998,7,2.21485138057426
1998,8,2.80048268550473
1998,9,2.81148305028388
1998,10,2.81489568787491
1998,11,2.81805040020521
1998,12,2.81877456127005
1999,1,2.81919652562893
1999,2,2.81908650131597
1999,3,2.82050422219702
1999,4,2.83238189329073
1999,5,2.83007448386538
1999,6,2.82211754175017
1999,7,2.81639383343395
1999,8,2.82987257026509
1999,9,2.82663480395344
1999,10,2.80996090330113
1999,11,2.79222397011339
1999,12,2.78793986819479
2000,1,2.78405427836626
2000,2,2.78017247742047
2000,3,2.79093745149591
2000,4,2.79351199620395
2000,5,2.78761421948549
2000,6,2.76292562865971
2000,7,2.76416490102382
2000,8,2.76544102679416
2000,9,2.76254122055373
2000,10,2.75456187515247
2000,11,2.75298752895775
2000,12,2.74536906990355
2001,1,2.75856136655699
2001,2,2.75834498327639
2001,3,2.75510291244456
2001,4,2.70749041395958
2001,5,2.70264092939629
2001,6,2.70982205839446
2001,7,2.70260820152804
2001,8,2.68454906678115
2001,9,2.68369630723731
2001,10,2.73138006384153
2001,11,2.74194586875313
2001,12,2.75472116021929
2002,1,2.77969265245739
2002,2,2.7975966787884
2002,3,2.80759973987233
2002,4,2.85357446935801
2002,5,2.90906462933419
2002,6,2.9198471220347
2002,7,2.92767087501829
2002,8,2.94598696922158
2002,9,2.95077066280828
2002,10,2.95831802735518
2002,11,2.96870345212072
2002,12,2.97760521514239
2003,1,2.98576452219718
2003,2,2.98894949383235
2003,3,2.99545736061131
2003,4,3.00099626188136
2003,5,3.0043224623329
2003,6,3.00129313936264
2003,7,3.00204616710301
2003,8,3.00628531173611
2003,9,3.01161684359464
2003,10,3.00799895846215
2003,11,3.00413705502759
2003,12,2.99708976921265
2004,1,2.98684842418514
2004,2,2.97804650427345
2004,3,2.97393324091194
2004,4,2.96259585445111
