Year,Month,Concentration
1986,1,2.17631650199213
1986,2,2.17631650199213
1986,3,2.17631650199213
1986,4,2.17631650199213
1986,5,2.17756822263092
1986,6,2.17944580358911
1986,7,2.17944580358911
1986,8,2.17944580358911
1986,9,2.17944580358911
1986,10,2.17944580358911
1986,11,2.17944580358911
1986,12,2.17944580358911
1987,1,2.17944580358911
1987,2,2.18503238416078
1987,3,2.20157878469083
1987,4,2.20709425153419
1987,5,2.20709425153419
1987,6,2.20709425153419
1987,7,2.20709425153419
1987,8,2.20709425153419
1987,9,2.20709425153419
1987,10,2.20856743925901
1987,11,2.20954956440888
1987,12,2.20954956440888
1988,1,2.19689886486376
1988,2,2.17113875517628
1988,3,2.17113875517628
1988,4,2.16945059611775
1988,5,2.16331911064656
1988,6,2.15886429643388
1988,7,2.15759352373525
1988,8,2.14271242171841
1988,9,2.13157030778485
1988,10,2.13157030778485
1988,11,2.13157030778485
1988,12,2.12606811804007
1989,1,2.12606811804007
1989,2,2.12632778527954
1989,3,2.12770847329025
1989,4,2.12985612770083
1989,5,2.13010613744308
1989,6,2.13085616666983
1989,7,2.13182651378714
1989,8,2.13214996282624
1989,9,2.13214996282624
1989,10,2.13124494253333
1989,11,2.12852988165459
1989,12,2.12852988165459
1990,1,2.12852988165459
1990,2,2.12791472961921
1990,3,2.12791472961921
1990,4,2.1280400887353
1990,5,2.12880833857623
1990,6,2.12814368766496
1990,7,2.12521138532251
1990,8,2.08828280106675
1990,9,2.06114854281362
1990,10,2.05555719304864
1990,11,2.03967851486575
1990,12,2.04077022504174
1991,1,2.03980843608311
1991,2,2.0369230692072
1991,3,2.0369230692072
1991,4,2.0369230692072
1991,5,2.04053457933014
1991,6,2.04086290263286
1991,7,2.04082741417499
1991,8,2.03810849709692
1991,9,2.036165683228
1991,10,2.03621466484508
1991,11,2.03634871671462
1991,12,2.03634701707795
1992,1,2.03634701707795
1992,2,2.03634701707795
1992,3,2.03661864889329
1992,4,2.03849640141261
1992,5,2.04102194378798
1992,6,2.04405629362602
1992,7,2.04501370138253
1992,8,2.04514801092794
1992,9,2.04478200113184
1992,10,2.04478200113184
1992,11,2.04478200113184
1992,12,2.04478200113184
1993,1,2.04452899656849
1993,2,2.04446574542765
1993,3,2.04763545630477
1993,4,2.04763545630477
1993,5,2.04756611332043
1993,6,2.04723101040099
1993,7,2.03789669002119
1993,8,2.03680292748312
1993,9,2.03696946144525
1993,10,2.03702497276595
1993,11,2.03702497276595
1993,12,2.03702497276595
1994,1,2.03702497276595
1994,2,2.03702497276595
1994,3,2.02424619325498
1994,4,2.00768283569778
1994,5,2.00398992506242
1994,6,1.99189072328948
1994,7,1.98868035561622
1994,8,1.98850558053295
1994,9,1.98865518375334
1994,10,1.98869258455844
1994,11,1.98869258455844
1994,12,1.98671429939675
1995,1,1.98399931081024
1995,2,1.98399931081024
1995,3,1.9828598105448
1995,4,1.9778261829653
1995,5,1.97032741601361
1995,6,1.96730419504327
1995,7,1.95390191292202
1995,8,1.95406236620878
1995,9,1.95364274039519
1995,10,1.95364274039519
1995,11,1.95369570405905
1995,12,1.95781820505199
1996,1,1.96485005026157
1996,2,1.96485005026157
1996,3,1.9665183586957
1996,4,1.96742703105023
1996,5,1.96735918662748
1996,6,1.96609739384639
1996,7,1.96367632249425
1996,8,1.96466792795118
1996,9,1.96571937568985
1996,10,1.96769755525052
1996,11,1.96872987268286
1996,12,1.96255004340597
1997,1,1.96255004340597
1997,2,1.96277847125389
1997,3,1.96204331893512
1997,4,1.95939437068518
1997,5,1.95559658141065
1997,6,1.9555221527226
1997,7,1.95514307069156
1997,8,1.95505064897391
1997,9,1.96457917244699
1997,10,1.97635298754908
1997,11,1.97981747873648
1997,12,1.97984855380091
1998,1,1.97312381564374
1998,2,1.97055931561615
1998,3,1.97042817039162
1998,4,1.96239352060111
1998,5,1.95700368312475
1998,6,1.96040730898893
1998,7,1.96984479286029
1998,8,1.97682264570901
1998,9,1.97593216908979
1998,10,1.97540519412079
1998,11,1.97497551163369
1998,12,1.97347519497795
1999,1,1.97326089187872
1999,2,1.97308710010384
1999,3,1.97350277257999
1999,4,1.97366389210249
1999,5,1.97197757087659
1999,6,1.9656470166655
1999,7,1.95907560730017
1999,8,1.95761132268328
1999,9,1.94779288425311
1999,10,1.93476439847987
1999,11,1.92427789231275
1999,12,1.92042100276267
2000,1,1.92043084380675
2000,2,1.92023715688427
2000,3,1.93058102110931
2000,4,1.93246226074016
2000,5,1.93365414501067
2000,6,1.92656720061149
2000,7,1.92896606681028
2000,8,1.92686099095176
2000,9,1.92451157027285
2000,10,1.92688000457944
2000,11,1.92462944851036
2000,12,1.90622131617407
2001,1,1.90897061453198
2001,2,1.91138746280483
2001,3,1.9009162834681
2001,4,1.87332599182681
2001,5,1.86668414857667
2001,6,1.86362680058338
2001,7,1.8527916450018
2001,8,1.82828722171936
2001,9,1.79693189835021
2001,10,1.78989706771361
2001,11,1.78837439664988
2001,12,1.79059998860497
2002,1,1.83050194329992
2002,2,1.850171788506
2002,3,1.85922595154339
2002,4,1.86021647873276
2002,5,1.87624704467391
2002,6,1.88746376566819
2002,7,1.88825059325588
2002,8,1.89088899613161
2002,9,1.89518547923533
2002,10,1.89867606205957
2002,11,1.90594967018928
2002,12,1.90700883172002
2003,1,1.91139860455635
2003,2,1.91911491529894
2003,3,1.91942893033166
2003,4,1.92163036639143
2003,5,1.92606315516082
2003,6,1.93449102479005
2003,7,1.95105428146413
2003,8,2.0058425530028
2003,9,2.02411595880871
2003,10,2.01252436476993
2003,11,1.99846026808365
2003,12,1.98802269596851
2004,1,1.99106570142211
2004,2,1.98512986515114
2004,3,1.97245111418099
2004,4,1.90714718026714
2004,5,1.92281149480541
2004,6,1.9787419087877
2004,7,2.0114363943815
2004,8,2.05872828713161
2004,9,2.05243456510505
2004,10,2.05656510554564
2004,11,2.07539667509457
2004,12,2.07674399332463
2005,1,2.0851921144049
2005,2,2.09764794252935
2005,3,2.10258232193978
2005,4,2.12033174115888
2005,5,2.14560912212825
2005,6,2.11639855507824
2005,7,2.08877744701183
2005,8,2.0886846677869
2005,9,2.08002536068619
2005,10,2.08078776099131
2005,11,2.09011951071525
2005,12,2.10737618509598
2006,1,2.12507306219537
2006,2,2.20828021123374
2006,3,2.2070323553431
2006,4,2.21792739560084
2006,5,2.26769183471365
2006,6,2.3331305721958
2006,7,2.37240297742591
2006,8,2.39045702454194
2006,9,2.39931342324247
2006,10,2.41569008068026
2006,11,2.44238144694632
2006,12,2.44516519013882
2007,1,2.45145572987915
2007,2,2.47023126946909
2007,3,2.4791995157477
2007,4,2.49276063807501
2007,5,2.52936796351591
2007,6,2.57563471092368
2007,7,2.62761000490572
2007,8,2.65390653936539
2007,9,2.68233994209713
2007,10,2.68751992161825
2007,11,2.69208453095154
2007,12,2.66016150310311
2008,1,2.63127273403796
2008,2,2.62864496246097
2008,3,2.61967549579397
2008,4,2.59312155019662
2008,5,2.55002485817572
2008,6,2.45064712751451
2008,7,2.44606257666205
2008,8,2.42794224749901
2008,9,2.39579448741676
2008,10,2.38871467623538
2008,11,2.38207111617378
2008,12,2.3675739341907
2009,1,2.36543222111348
2009,2,2.36310285974784
2009,3,2.36627461876892
2009,4,2.36200479562078
2009,5,2.36052179896391
2009,6,2.35342303150905
2009,7,190.95627738213
2009,8,456.450273580089
2009,9,456.627436644509
2009,10,456.520645299165
2009,11,455.35509499341
2009,12,452.586465770661
2010,1,452.152756733406
2010,2,452.982351360975
2010,3,457.324895817431
2010,4,463.111299068869
2010,5,469.128019579436
2010,6,490.369045054423
2010,7,506.49475414074
2010,8,508.921361924581
2010,9,512.330459705083
2010,10,517.76832433384
2010,11,523.516737861794
2010,12,526.368617950614
2011,1,527.303988500614
2011,2,526.693484441586
2011,3,524.938164255698
2011,4,525.357316839224
2011,5,538.05424190256
2011,6,548.895069622832
2011,7,550.852715109037
2011,8,553.997491796691
2011,9,554.824023297475
2011,10,558.137435505988
2011,11,557.373015233684
2011,12,560.816243299929
2012,1,561.140921949788
2012,2,564.317964730305
2012,3,568.159433085604
2012,4,568.886414521685
2012,5,569.132644259733
2012,6,569.257942526578
2012,7,568.840577224861
2012,8,1533.41917533435
2012,9,1536.82992321133
2012,10,1538.29023993631
2012,11,1538.16319821328
2012,12,1535.60973709511
2013,1,1524.43534235255
2013,2,1514.20754558596
2013,3,1330.82982182835
2013,4,1082.30225481752
2013,5,1631.00258449491
2013,6,1661.72069539105
2013,7,1690.46889981901
2013,8,1705.3195936924
2013,9,1713.79540151026
2013,10,1717.93320575256
2013,11,1723.18550104174
2013,12,1724.8563994131
2014,1,1730.03797435126
2014,2,1736.4313009795
2014,3,1742.78937864444
2014,4,1749.59808203192
2014,5,1754.62118917729
2014,6,1756.77675110354
2014,7,1772.26326580314
2014,8,1805.10250560984
2014,9,1821.57855136164
2014,10,1827.41501981693
2014,11,1838.8778216269
2014,12,1838.2165933978
2015,1,1844.52811904709
2015,2,1854.31898151775
2015,3,1858.22406014308
2015,4,1855.04160346974
2015,5,1854.51233847083
2015,6,1855.4084956154
2015,7,1855.42874054328
2015,8,1856.07200430178
2015,9,1856.35269619862
2015,10,1860.6855245728
2015,11,1863.11435828226
2015,12,1863.4948686595
