Year,Month,Concentration
1986,1,36.5667039410663
1986,2,36.5667039410663
1986,3,36.5667039410663
1986,4,36.5667039410663
1986,5,36.5667039410663
1986,6,36.5667039410663
1986,7,36.5667039410663
1986,8,36.5667039410663
1986,9,36.5667039410663
1986,10,36.5667039410663
1986,11,36.5667039410663
1986,12,36.5667039410663
1987,1,36.5667039410663
1987,2,36.5667039410663
1987,3,36.5656740059758
1987,4,36.5625842007042
1987,5,36.5352715199612
1987,6,36.5352715199612
1987,7,36.5352715199612
1987,8,36.5352715199612
1987,9,36.5352715199612
1987,10,36.5352715199612
1987,11,36.5352715199612
1987,12,36.5352715199612
1988,1,36.5248011303672
1988,2,36.5178208706378
1988,3,36.5178208706378
1988,4,36.5275287280462
1988,5,36.5340006329851
1988,6,36.5340006329851
1988,7,36.5340006329851
1988,8,36.5340006329851
1988,9,36.5340006329851
1988,10,36.5340006329851
1988,11,36.5340006329851
1988,12,36.5340006329851
1989,1,36.5340006329851
1989,2,36.5627500386711
1989,3,36.5869955472989
1989,4,36.5889986352724
1989,5,36.5889986352724
1989,6,36.5889986352724
1989,7,36.5888994692368
1989,8,36.5876168211024
1989,9,36.5872002901726
1989,10,36.5872002901726
1989,11,36.5872002901726
1989,12,36.5872002901726
1990,1,36.5878968996633
1990,2,36.6069294000469
1990,3,36.6069294000469
1990,4,36.6069294000469
1990,5,36.6069294000469
1990,6,36.6069294000469
1990,7,36.6445085848398
1990,8,36.6084581852835
1990,9,36.6101019698054
1990,10,36.6101019698054
1990,11,36.6101019698054
1990,12,36.5355035128553
1991,1,36.5511645545513
1991,2,36.5998288111767
1991,3,36.5998288111767
1991,4,36.5998288111767
1991,5,36.5998288111767
1991,6,36.5983201151101
1991,7,36.5983201151101
1991,8,36.579602690541
1991,9,36.5515265536872
1991,10,36.5515265536872
1991,11,36.5665705772264
1991,12,36.5780633215685
1992,1,36.5591122343163
1992,2,36.5312947134711
1992,3,36.5216824377331
1992,4,36.507880754659
1992,5,36.4653932724204
1992,6,36.4629540436757
1992,7,36.4763514800885
1992,8,36.4964476347077
1992,9,36.4784783545203
1992,10,36.4299163805002
1992,11,36.5011084951815
1992,12,36.7701694129061
1993,1,36.8509023838811
1993,2,36.8522147602953
1993,3,37.0324540972654
1993,4,37.162930895387
1993,5,37.4483694519896
1993,6,37.8087093755223
1993,7,37.9532264808337
1993,8,38.0316578842689
1993,9,38.0544641357176
1993,10,38.0403754205241
1993,11,38.0428146583635
1993,12,38.0452538962028
1994,1,38.0452538962028
1994,2,38.0324244154483
1994,3,38.0373366225246
1994,4,38.028626921659
1994,5,37.98755683017
1994,6,37.9776281304763
1994,7,37.947842031395
1994,8,37.947842031395
1994,9,37.9250473832058
1994,10,38.0779262624239
1994,11,38.1875509918817
1994,12,38.2216046267621
1995,1,38.2216046267621
1995,2,38.2216046267621
1995,3,38.2143303265631
1995,4,38.3436363650177
1995,5,41.7380363569866
1995,6,41.832345156038
1995,7,41.8377942289563
1995,8,41.8457030421347
1995,9,42.4335681843125
1995,10,43.5823580611279
1995,11,43.7302422675758
1995,12,43.9105361070361
1996,1,44.029277784498
1996,2,44.256748550426
1996,3,44.6254157861467
1996,4,44.713091395542
1996,5,44.7748969873858
1996,6,44.8429128815673
1996,7,44.8917869949146
1996,8,45.0409368773706
1996,9,45.1234933640847
1996,10,291.422060428935
1996,11,537.687102846251
1996,12,537.687102846251
1997,1,537.687102846251
1997,2,537.687102846251
1997,3,537.6766539933
1997,4,537.645307434447
1997,5,537.645307434447
1997,6,537.645307434447
1997,7,537.645307434447
1997,8,537.740561174158
1997,9,537.892600863855
1997,10,537.873552866059
1997,11,537.370464275181
1997,12,537.219600042334
1998,1,536.982864888434
1998,2,536.770281484272
1998,3,536.779327815251
1998,4,536.767934486002
1998,5,536.837947291702
1998,6,536.869058812807
1998,7,536.746460725482
1998,8,545.545672022933
1998,9,591.175267513528
1998,10,613.004775127886
1998,11,613.914219762103
1998,12,603.706982191715
1999,1,602.256534424132
1999,2,612.771588701346
1999,3,675.532564312896
1999,4,685.678112333805
1999,5,681.327082380532
1999,6,680.126822219788
1999,7,730.248942973891
1999,8,890.646702216668
1999,9,946.308421907377
1999,10,953.743033637387
1999,11,955.623236372925
1999,12,957.309775740612
2000,1,960.050010469451
2000,2,959.880118212548
2000,3,959.859704433706
2000,4,959.792740791463
2000,5,959.426223176903
2000,6,1156.26114501304
2000,7,1142.81045194757
2000,8,988.199210726528
2000,9,1124.48691306488
2000,10,979.614398641257
2000,11,905.437115537749
2000,12,869.640521184083
2001,1,852.161113444673
2001,2,860.708639023558
2001,3,889.059714156554
2001,4,890.981410249996
2001,5,893.112159417196
2001,6,899.32925852875
2001,7,902.915830316442
2001,8,901.628082880832
2001,9,897.930146480415
2001,10,896.144562744916
2001,11,896.160398473734
2001,12,896.188251566165
2002,1,898.977359978849
2002,2,901.580658466328
2002,3,903.351447767575
2002,4,903.637053951676
2002,5,903.969326507837
2002,6,903.924002031321
2002,7,903.329791503186
2002,8,902.981783312421
2002,9,903.990037646175
2002,10,904.35802202474
2002,11,904.559934497154
2002,12,904.234402284304
2003,1,908.455089490589
2003,2,909.565467504128
2003,3,912.044061350268
2003,4,915.650817682989
2003,5,915.58901694327
2003,6,914.085726673173
2003,7,912.459558064915
2003,8,912.050696104123
2003,9,912.084597959178
2003,10,912.650213950248
2003,11,912.696875737522
2003,12,912.775991964615
2004,1,912.6615649387
2004,2,912.639110002604
2004,3,912.633675755983
2004,4,912.668670193208
2004,5,913.186662442598
2004,6,913.628986442603
2004,7,913.625190791606
2004,8,913.227429056077
2004,9,912.591777902714
2004,10,912.494489736906
2004,11,912.52571508177
2004,12,912.626968427818
2005,1,912.678261746604
2005,2,912.535507310491
2005,3,911.740084628601
2005,4,911.924387911547
2005,5,912.63086795478
2005,6,908.505463936503
2005,7,900.567972178757
2005,8,900.256924132748
2005,9,905.817126881071
2005,10,908.441702268025
2005,11,906.865386447558
2005,12,907.584005344357
2006,1,908.901288931984
2006,2,908.908753043916
2006,3,908.969122358336
2006,4,909.451928863442
2006,5,911.092196921178
2006,6,910.137101800833
2006,7,909.450630982502
2006,8,907.948913019737
2006,9,907.485188582411
2006,10,907.485188582411
2006,11,907.485188582411
2006,12,906.455068669949
2007,1,906.197538691833
2007,2,906.180284833414
2007,3,906.174533547274
2007,4,906.133028102462
2007,5,904.996235519626
2007,6,904.631139806952
2007,7,904.631139806952
2007,8,903.743025388861
2007,9,903.498297704879
2007,10,903.498297704879
2007,11,903.460769191276
2007,12,903.460769191276
2008,1,903.460769191276
2008,2,903.460769191276
2008,3,903.460769191276
2008,4,903.405289378973
2008,5,903.34980956667
2008,6,903.34980956667
2008,7,903.344724136297
2008,8,903.343028992839
2008,9,903.343028992839
2008,10,903.357542083506
2008,11,903.361170356172
2008,12,903.361170356172
2009,1,903.361170356172
2009,2,903.361170356172
2009,3,903.361170356172
2009,4,903.368594757616
2009,5,903.348761325701
2009,6,903.348761325701
2009,7,903.348761325701
2009,8,903.348761325701
2009,9,902.722522346061
2009,10,902.157491682478
2009,11,902.015429419295
2009,12,902.020281031329
2010,1,902.014165529095
2010,2,901.98970352016
2010,3,901.98970352016
2010,4,901.994942906094
2010,5,901.99843583005
2010,6,901.99843583005
2010,7,901.99843583005
2010,8,901.99843583005
2010,9,901.99843583005
2010,10,902.108280034801
2010,11,902.126376611039
2010,12,902.126376611039
2011,1,902.126376611039
2011,2,902.126376611039
2011,3,902.126376611039
2011,4,902.102725040665
2011,5,902.096812148072
2011,6,902.096812148072
2011,7,902.096812148072
2011,8,902.096812148072
2011,9,902.096812148072
2011,10,902.096812148072
2011,11,902.096812148072
2011,12,902.096812148072
2012,1,902.096812148072
2012,2,902.094914187614
2012,3,902.089220306241
2012,4,902.089220306241
2012,5,902.089220306241
2012,6,902.089220306241
2012,7,902.089220306241
2012,8,901.6645605379
2012,9,901.647372179621
2012,10,901.595807104784
2012,11,901.595807104784
2012,12,901.595807104784
2013,1,901.595807104784
2013,2,901.595807104784
2013,3,901.556276883305
2013,4,901.398155997388
2013,5,901.398155997388
2013,6,901.332419328977
2013,7,901.332419328977
2013,8,901.28400733765
2013,9,901.271904339818
2013,10,901.454557853628
2013,11,901.454557853628
2013,12,901.265795366052
2014,1,901.077032878475
2014,2,901.077032878475
2014,3,901.077032878475
2014,4,901.077032878475
2014,5,901.074436166683
2014,6,901.064049319516
2014,7,901.064049319516
2014,8,901.064049319516
2014,9,901.064049319516
2014,10,900.815430605905
2014,11,900.753275927502
2014,12,900.768874284901
2015,1,900.7844726423
2015,2,900.7844726423
2015,3,900.7844726423
2015,4,900.7844726423
2015,5,900.7844726423
2015,6,900.771769573778
2015,7,900.733660368211
2015,8,900.733660368211
2015,9,900.733660368211
2015,10,900.733660368211
2015,11,901.146854411106
2015,12,901.284585758738
