Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,10398.6341209988
1990,6,10224.1354845994
1990,7,9462.52937296899
1990,8,8990.88904017268
1990,9,8989.72536356364
1990,10,8906.10841303954
1990,11,8773.60937280085
1990,12,8773.47323035991
1991,1,8733.36679360717
1991,2,8607.02325005924
1991,3,8607.72347606673
1991,4,8537.39019348321
1991,5,8414.98000404283
1991,6,8381.36941064467
1991,7,8322.17286195864
1991,8,8149.82720105223
1991,9,8113.83052580923
1991,10,8082.11968709387
1991,11,8015.89782230795
1991,12,8011.64882169733
1992,1,8050.29975283701
1992,2,8032.36642480562
1992,3,8033.94333561111
1992,4,7973.6970204156
1992,5,7923.89271972288
1992,6,7874.61920061162
1992,7,7838.06056733699
1992,8,7782.14330365241
1992,9,7764.31332162773
1992,10,7765.45788609743
1992,11,7712.00568218393
1992,12,7689.29650500256
1993,1,7685.86027787602
1993,2,7648.53127389976
1993,3,7504.03669080358
1993,4,7528.31822688231
1993,5,7538.25488295674
1993,6,7535.44265004952
1993,7,7494.63127076502
1993,8,7394.48596000717
1993,9,7375.69283133546
1993,10,7352.2208183594
1993,11,7310.56276910294
1993,12,7299.38568828605
1994,1,7275.76856769096
1994,2,7243.23210067865
1994,3,7141.45196420494
1994,4,7054.77877589478
1994,5,6872.32024892276
1994,6,6761.8329018882
1994,7,6556.65956335786
1994,8,6511.65936928264
1994,9,6450.38520523974
1994,10,6334.08135688282
1994,11,6249.52369614229
1994,12,6216.33893545711
1995,1,6204.76711954889
1995,2,6177.06685217894
1995,3,6176.05508765241
1995,4,6143.23843390829
1995,5,6124.50887851432
1995,6,6116.91588982843
1995,7,6104.74771815405
1995,8,6104.35465892789
1995,9,6104.44008252238
1995,10,6104.83050577158
1995,11,6102.82161711063
1995,12,6102.1876601901
1996,1,6107.17412624462
1996,2,6114.23024706594
1996,3,6114.23024706594
1996,4,6111.49338502948
1996,5,6114.25263484611
1996,6,6113.68646831538
1996,7,6111.52726521868
1996,8,6100.57109829441
1996,9,6074.57749828322
1996,10,6068.3267858713
1996,11,6154.07546429201
1996,12,6151.71726404725
1997,1,6155.28446002659
1997,2,6166.48750097629
1997,3,6165.93898988534
1997,4,6167.17899003138
1997,5,6168.63260062758
1997,6,6165.6088607223
1997,7,6157.80727925061
1997,8,6133.33843907784
1997,9,6116.98708818646
1997,10,6117.3212451598
1997,11,6126.41309026835
1997,12,6120.45550676507
1998,1,6108.28055092674
1998,2,6076.01129488663
1998,3,5981.36463964525
1998,4,5995.67899708522
1998,5,6013.62837649565
1998,6,6028.86905967317
1998,7,5987.42730051599
1998,8,5950.362820253
1998,9,5894.44347608558
1998,10,5862.87890510651
1998,11,5834.52464461463
1998,12,5828.6625632077
1999,1,5819.56875749395
1999,2,5770.02847158031
1999,3,5744.4489636762
1999,4,5728.27643704169
1999,5,5671.73046821021
1999,6,5475.84931420067
1999,7,5419.52387370859
1999,8,5347.07260644028
1999,9,5297.39856093809
1999,10,5293.04988730456
1999,11,5268.79875061536
1999,12,5095.29716936286
2000,1,4821.28685078232
2000,2,4154.76202696371
2000,3,3885.08070875501
2000,4,3865.83119213117
2000,5,3785.64715560503
2000,6,3217.10792130666
2000,7,3074.10973255178
2000,8,3064.00698417628
2000,9,3049.22326316644
2000,10,3037.58214096736
2000,11,3036.84804607757
2000,12,3028.13836974371
2001,1,3025.39815512289
2001,2,3036.72473896214
2001,3,3033.15264966411
2001,4,3028.65081342194
2001,5,3031.25850920257
2001,6,3030.21807211964
2001,7,3034.54930726768
2001,8,3002.67527582987
2001,9,2943.72979180374
2001,10,2864.30448277244
2001,11,2809.51872615601
2001,12,2760.6608072246
2002,1,2746.13373773031
2002,2,2730.85811679757
2002,3,2723.50108404049
2002,4,2718.28479011219
2002,5,2709.03772882582
2002,6,2716.80962449153
2002,7,2717.57219025952
2002,8,2723.90358483179
2002,9,2729.46733755184
2002,10,2730.86830884674
2002,11,2727.86852749361
2002,12,2719.80468605939
2003,1,2716.1292315668
2003,2,2713.14810481261
2003,3,2629.2595236005
2003,4,2597.65771137127
2003,5,2568.29498251998
2003,6,2560.45506174441
2003,7,2555.9346221042
2003,8,2552.83832656068
2003,9,2547.2404217101
2003,10,2548.72506394751
2003,11,2550.04597954978
