Year,Month,Concentration
1986,1,24.4748121682023
1986,2,24.4748121682023
1986,3,24.4748121682023
1986,4,24.4748121682023
1986,5,24.4748121682023
1986,6,24.4748121682023
1986,7,24.4748121682023
1986,8,24.4748121682023
1986,9,24.4748121682023
1986,10,24.4748121682023
1986,11,24.4748121682023
1986,12,24.4632443684667
1987,1,24.451676568731
1987,2,24.451676568731
1987,3,24.4509582951584
1987,4,24.4488034744404
1987,5,24.4488034744404
1987,6,24.4488034744404
1987,7,24.4488034744404
1987,8,24.4488034744404
1987,9,24.4488034744404
1987,10,24.4488034744404
1987,11,24.4488034744404
1987,12,24.4488034744404
1988,1,24.4461123080831
1988,2,24.4443181971782
1988,3,24.4443181971782
1988,4,24.4492769044562
1988,5,24.4525827093082
1988,6,24.4525827093082
1988,7,24.4525827093082
1988,8,24.4525827093082
1988,9,24.4525827093082
1988,10,24.4525827093082
1988,11,24.4525827093082
1988,12,24.45215090528
1989,1,24.4518630359278
1989,2,24.4751660144888
1989,3,24.4840524973298
1989,4,24.4838767174405
1989,5,24.4838767174405
1989,6,24.4838767174405
1989,7,24.4838140538609
1989,8,24.4829270207575
1989,9,24.4826383056764
1989,10,24.4826383056764
1989,11,24.4904300754298
1989,12,24.4904300754298
1990,1,24.4909129247245
1990,2,24.502690391498
1990,3,24.502690391498
1990,4,24.502690391498
1990,5,24.502690391498
1990,6,24.502690391498
1990,7,24.5104397494347
1990,8,24.4873253477507
1990,9,24.4884728952824
1990,10,24.4884728952824
1990,11,24.4884728952824
1990,12,24.4620613147176
1991,1,24.4615665976316
1991,2,24.4597291832489
1991,3,24.4597291832489
1991,4,24.4597291832489
1991,5,24.4597291832489
1991,6,24.4586842619046
1991,7,24.4586842619046
1991,8,24.4354757402432
1991,9,24.4006629577512
1991,10,24.4001210922259
1991,11,24.4222466682591
1991,12,24.4275208056803
1992,1,24.4153217250456
1992,2,24.4071890046225
1992,3,24.4020887624838
1992,4,24.393490607145
1992,5,24.3804825669387
1992,6,24.3788063665345
1992,7,24.3871658926933
1992,8,24.3896806828342
1992,9,24.3695127873218
1992,10,24.3485864924802
1992,11,24.4666654612221
1992,12,24.8259813886659
1993,1,24.9068888694869
1993,2,24.9173721776487
1993,3,25.1262573077135
1993,4,25.2168539074968
1993,5,25.4401939292602
1993,6,25.6662279458213
1993,7,25.7801277748989
1993,8,25.844653321004
1993,9,25.8775932780167
1993,10,25.8438919644608
1993,11,25.847684693828
1993,12,25.8514774231953
1994,1,25.8514774231953
1994,2,25.8483852127169
1994,3,25.8503879348379
1994,4,25.8492334918129
1994,5,25.8322160681007
1994,6,25.8245065081014
1994,7,25.8013778281036
1994,8,25.8013778281036
1994,9,25.7971505090298
1994,10,25.8252661019781
1994,11,25.8496874988835
1994,12,25.8666063968721
1995,1,25.8666063968721
1995,2,25.8666063968721
1995,3,25.8666063968721
1995,4,25.9281534282014
1995,5,26.9171651351579
1995,6,26.9216359455308
1995,7,26.9290460522532
1995,8,26.9299507630348
1995,9,27.1386914881579
1995,10,27.4869819622297
1995,11,27.5320497158459
1995,12,27.5945021247379
1996,1,27.6268865297206
1996,2,27.6897093812246
1996,3,27.7738173151342
1996,4,27.7941653964568
1996,5,27.7961959743046
1996,6,27.8046719044113
1996,7,27.8034253422067
1996,8,27.8138736409458
1996,9,27.8332557588579
1996,10,27.8419750839526
1996,11,27.9652162899852
1996,12,28.0555885162483
1997,1,28.0699908228204
1997,2,28.0886712090947
1997,3,28.2017724013643
1997,4,28.2241825844719
1997,5,28.309256676219
1997,6,28.3684170381369
1997,7,28.3809920222862
1997,8,28.3311788594239
1997,9,28.2780356248553
1997,10,27.9290043549325
1997,11,27.4204529606808
1997,12,27.246477451426
1998,1,26.5281345343375
1998,2,26.0848079205862
1998,3,25.6133541150551
1998,4,24.9481071308108
1998,5,24.4821426785877
1998,6,24.3681583196851
