Year,Month,Concentration
1986,1,2.05247379720307
1986,2,2.05247379720307
1986,3,2.05247379720307
1986,4,2.05247379720307
1986,5,2.05247379720307
1986,6,2.05247379720307
1986,7,2.05247379720307
1986,8,2.05247379720307
1986,9,2.05247379720307
1986,10,2.06533824102439
1986,11,2.06855435197971
1986,12,2.06855435197971
1987,1,2.06855435197971
1987,2,2.07337463746343
1987,3,2.09418238714575
1987,4,2.10111830370652
1987,5,2.10234314185054
1987,6,2.10315970061322
1987,7,2.10315970061322
1987,8,2.10315970061322
1987,9,2.10315970061322
1987,10,2.10824919815045
1987,11,2.1116421965086
1987,12,2.1116421965086
1988,1,2.0938125723229
1988,2,2.07546140462486
1988,3,2.07546140462486
1988,4,2.07306404215848
1988,5,2.06361390668159
1988,6,2.0572050862928
1988,7,2.0568179976713
1988,8,2.05194242486784
1988,9,2.0336756564407
1988,10,2.03345504461539
1988,11,2.03323443279007
1988,12,2.03083856252843
1989,1,2.03317295082952
1989,2,2.03912331293719
1989,3,2.04016982831713
1989,4,2.05815387512762
1989,5,2.05815387512762
1989,6,2.05815387512762
1989,7,2.06269467559896
1989,8,2.06415118539822
1989,9,2.0643218967884
1989,10,2.06568815024251
1989,11,2.06814629671788
1989,12,2.06935587282981
1990,1,2.0740394737394
1990,2,2.07363872030259
1990,3,2.07363872030259
1990,4,2.07394394978945
1990,5,2.0746950170457
1990,6,2.07122666274225
1990,7,2.06673504577696
1990,8,1.99824151660741
1990,9,1.94101264749429
1990,10,1.92736372676042
1990,11,1.89538699430494
1990,12,1.89584131334017
1991,1,1.89351932732735
1991,2,1.88234845925154
1991,3,1.87707308121933
1991,4,1.87691421369715
1991,5,1.88007887220887
1991,6,1.88074976266081
1991,7,1.88070873780062
1991,8,1.87630374869644
1991,9,1.87149417070484
1991,10,1.87151521221737
1991,11,1.87331908047477
1991,12,1.87741943205894
1992,1,1.87741943205894
1992,2,1.87855569687542
1992,3,1.87884118291517
1992,4,1.87710139078004
1992,5,1.87183311540575
1992,6,1.87194726594087
1992,7,1.87194726594087
1992,8,1.87466269811019
1992,9,1.87584110087224
1992,10,1.87584110087224
1992,11,1.87429365964705
1992,12,1.87640069659446
1993,1,1.87035939295044
1993,2,1.86840258921951
1993,3,1.87540172096701
1993,4,1.87540172096701
1993,5,1.87540172096701
1993,6,1.87788898141735
1993,7,1.87477625717273
1993,8,1.87447450144891
1993,9,1.87251190363884
1993,10,1.87234643002117
1993,11,1.87078963324551
1993,12,1.86926840188352
1994,1,1.86876344339416
1994,2,1.86876344339416
1994,3,1.86457112949768
1994,4,1.84630533393524
1994,5,1.83586779574931
1994,6,1.81224288922895
1994,7,1.80137523614203
1994,8,1.79770340272883
1994,9,1.79255141518906
1994,10,1.79085626309165
1994,11,1.79004949599975
1994,12,1.7754118884688
1995,1,1.74049244691792
1995,2,1.72288208608283
1995,3,1.71998175554537
1995,4,1.71621306103049
1995,5,1.71415099199275
1995,6,1.71346363564683
1995,7,1.70983689214994
1995,8,1.70983689214994
1995,9,1.70996831199973
1995,10,1.71292828488016
1995,11,1.7127846569273
1995,12,1.71551500671485
1996,1,1.71711670771031
1996,2,1.71810756081115
1996,3,1.71884548887313
1996,4,1.72169335350264
1996,5,1.72180963654138
1996,6,1.71904645845959
1996,7,1.71292445689339
1996,8,1.7131585498868
1996,9,1.71394955592051
1996,10,1.71478475641568
1996,11,1.71717796025005
1996,12,1.71691363131299
1997,1,1.72084464574429
1997,2,1.72245176959788
1997,3,1.72360059359839
1997,4,1.72375031269947
1997,5,1.72803587917212
1997,6,1.73036956563869
1997,7,1.73300678602004
1997,8,1.74219315038926
1997,9,1.78241539367152
1997,10,1.80890299905514
1997,11,1.82841727768457
1997,12,1.82759793823756
1998,1,1.82019176651786
1998,2,1.82817804695494
1998,3,1.83650328394595
1998,4,1.82996562382694
1998,5,1.8273409179954
1998,6,1.82977346188356
1998,7,1.830190757263
1998,8,1.83055223518544
1998,9,1.82919909894349
1998,10,1.82786784427854
1998,11,1.82507767114192
1998,12,1.82011326816555
1999,1,1.80763840546332
1999,2,1.80072039167053
1999,3,1.80172157750611
1999,4,1.81264753554274
1999,5,1.81634529486901
1999,6,1.81628142524811
1999,7,1.81757586954706
1999,8,1.81808257463447
1999,9,1.81276211144725
1999,10,1.79320894827981
1999,11,1.78195662829145
1999,12,1.77823026994134
2000,1,1.77529478481441
2000,2,1.77341628908534
2000,3,1.77268977609138
2000,4,1.77582857584384
2000,5,1.78059820328216
2000,6,1.77623647470824
2000,7,1.77373481837998
2000,8,1.76941789530237
2000,9,1.7584208070322
2000,10,1.75536904421691
2000,11,1.75156881704718
2000,12,1.7470363159474
2001,1,1.7455367501639
2001,2,1.74912902213993
2001,3,1.75446206809601
2001,4,1.74932375759936
2001,5,1.74802868425383
2001,6,1.75140542747525
2001,7,1.77725605437807
2001,8,1.7673430962593
2001,9,1.76351849596765
2001,10,1.76504105491909
2001,11,1.76792845034539
2001,12,1.77921305732713
2002,1,1.81264961470801
2002,2,1.83314041613219
2002,3,1.84136666966207
2002,4,1.85826413271409
2002,5,1.88648941556515
2002,6,1.89252893555519
2002,7,1.89433890546778
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,0
2003,2,0
2003,3,0
2003,4,0
2003,5,0
2003,6,0
2003,7,0
2003,8,0
2003,9,0
2003,10,0
2003,11,0
2003,12,0
2004,1,0
2004,2,0
2004,3,0
2004,4,0
2004,5,0
2004,6,0
2004,7,0
2004,8,0
2004,9,0
2004,10,0
2004,11,0
2004,12,0
2005,1,0
2005,2,0
2005,3,0
2005,4,0
2005,5,0
2005,6,0
2005,7,0
2005,8,0
2005,9,0
2005,10,0
2005,11,0
2005,12,0
2006,1,0
2006,2,0
2006,3,0
2006,4,0
2006,5,0
2006,6,0
2006,7,0
2006,8,0
2006,9,0
2006,10,0
2006,11,0
2006,12,0
2007,1,0
2007,2,0
2007,3,0
2007,4,0
2007,5,0
2007,6,0
2007,7,0
2007,8,0
2007,9,0
2007,10,0
2007,11,0
2007,12,0
2008,1,0
2008,2,0
2008,3,0
2008,4,0
2008,5,0
2008,6,0
2008,7,0
2008,8,0
2008,9,0
2008,10,0
2008,11,0
2008,12,0
2009,1,0
2009,2,0
2009,3,0
2009,4,0
2009,5,0
2009,6,0
2009,7,0
2009,8,0
2009,9,0
2009,10,0
2009,11,0
2009,12,0
2010,1,0
2010,2,0
2010,3,0
2010,4,0
2010,5,0
2010,6,0
2010,7,0
2010,8,0
2010,9,0
2010,10,0
