Year,Month,Concentration
1986,1,30637.3567162028
1986,2,30637.3567162028
1986,3,30637.3567162028
1986,4,30637.3567162028
1986,5,30637.3567162028
1986,6,30637.3567162028
1986,7,30637.3567162028
1986,8,30637.3567162028
1986,9,30637.3567162028
1986,10,30637.3567162028
1986,11,30637.3567162028
1986,12,30648.8186141721
1987,1,30723.178779917
1987,2,30834.7190285343
1987,3,30836.9355016286
1987,4,30836.9355016286
1987,5,30836.9355016286
1987,6,30844.9952483202
1987,7,30844.9952483202
1987,8,30909.6934299895
1987,9,31008.2671714524
1987,10,31036.5708721048
1987,11,31077.6542685091
1987,12,31089.7177743901
1988,1,31101.5614788381
1988,2,31109.4572818034
1988,3,31109.4572818034
1988,4,31109.4572818034
1988,5,31088.874229672
1988,6,31068.2911775406
1988,7,31068.2911775406
1988,8,30897.1966781013
1988,9,30778.9322454534
1988,10,30779.3658855242
1988,11,30779.1995546056
1988,12,30729.1465476987
1989,1,30730.3529106237
1989,2,30670.3999181322
1989,3,30649.5180600575
1989,4,30715.1070028689
1989,5,30715.1070028689
1989,6,30723.1919278071
1989,7,30742.7115507847
1989,8,30699.1165514789
1989,9,30672.8783856448
1989,10,30645.156957483
1989,11,30394.0113380851
1989,12,30391.4517584892
1990,1,30548.1321127408
1990,2,30549.218881325
1990,3,30560.7005187661
1990,4,30560.0915036328
1990,5,30577.6164313617
1990,6,30767.2641867235
1990,7,31484.9397035961
1990,8,31920.5782390386
1990,9,31920.4921463172
1990,10,31890.6387158917
1990,11,31739.1857858687
1990,12,31716.252588561
1991,1,31775.1942995578
1991,2,31933.5681612022
1991,3,31926.7341022881
1991,4,31926.7341022881
1991,5,31853.8719522802
1991,6,31815.5475646289
1991,7,31815.5475646289
1991,8,31694.605199862
1991,9,31661.1214634449
1991,10,31659.7938117249
1991,11,31487.4353977032
1991,12,31379.9709809443
1992,1,31376.9268249276
1992,2,31210.7554441343
1992,3,31194.155698738
1992,4,31228.4652529294
1992,5,30811.5983952071
1992,6,30534.0503504851
1992,7,30597.920368353
1992,8,30390.3547490902
1992,9,30258.6348182386
1992,10,30230.0961254345
1992,11,30120.6558854783
1992,12,30099.6338539517
1993,1,30099.6338539517
1993,2,30070.7401571732
1993,3,29998.6919599147
1993,4,30001.1772002414
1993,5,29982.6775050079
1993,6,29934.6998258985
1993,7,29858.4630378472
1993,8,29781.8538759898
1993,9,29776.1046513126
1993,10,29752.9857307183
1993,11,29782.5818149236
1993,12,29795.7390095832
1994,1,29790.0361249361
1994,2,29780.6086115358
1994,3,29799.7964879214
1994,4,29822.3521708525
1994,5,29847.1049595679
1994,6,29828.3299942975
1994,7,29916.7749267893
1994,8,29915.6271482976
1994,9,29739.8188410958
1994,10,29496.7293937387
1994,11,29350.7044572265
1994,12,29309.8961771643
1995,1,29306.3503404006
1995,2,29215.2792753351
1995,3,29216.2763315666
1995,4,29218.0986356672
1995,5,29217.3766620588
1995,6,29217.3766620588
1995,7,29217.8491496764
1995,8,29215.8574491994
1995,9,29201.8536670464
1995,10,29243.175848373
1995,11,29252.2202762454
1995,12,29258.9146840329
1996,1,29294.4068296328
1996,2,29329.8989752326
1996,3,29329.8989752326
1996,4,29310.1314521426
1996,5,29310.1314521426
1996,6,29304.7153117322
1996,7,29286.9487022113
1996,8,29268.6446589089
1996,9,29262.3872188926
1996,10,29244.2517651126
1996,11,29202.3816792578
1996,12,29210.504097276
1997,1,29205.3130530007
1997,2,29173.3465439436
1997,3,29169.7246113716
1997,4,29193.2621960724
1997,5,29403.7773363389
1997,6,29533.8581956078
1997,7,29658.9229712923
1997,8,29893.4352057499
1997,9,30079.6257155404
1997,10,30252.4625156704
1997,11,31449.6259762365
1997,12,31862.4428271457
1998,1,32387.8473537257
1998,2,32969.5165395778
1998,3,32229.4817224223
1998,4,32057.4376347953
1998,5,32765.8341791356
1998,6,34350.5921402351
1998,7,33647.7844427963
1998,8,32382.4286150915
1998,9,29867.424852173
1998,10,28301.2926169226
1998,11,27352.2329654775
1998,12,26197.6253098992
1999,1,26045.6924103768
1999,2,24659.8559149878
1999,3,23061.3495005835
1999,4,21304.3231007199
1999,5,20163.13307902
1999,6,19517.3242365274
1999,7,18811.3438464495
1999,8,17729.5854564722
1999,9,17415.2644553944
1999,10,17487.6934395374
1999,11,18021.7487902492
1999,12,15665.6045729868
2000,1,13494.9562688103
2000,2,11656.8318352222
2000,3,11235.6372220716
2000,4,10923.6206313526
2000,5,10424.3811744899
2000,6,6979.66016321236
2000,7,6036.34922155141
2000,8,5922.08798983179
2000,9,5501.74715143747
2000,10,5370.36893246151
2000,11,5338.2741979183
2000,12,5185.49242798551
2001,1,5123.05696966719
2001,2,4001.41829142877
2001,3,4037.23443467215
2001,4,3697.22293257919
2001,5,593.312421449844
2001,6,607.152325321013
2001,7,608.351883015625
2001,8,607.488816805312
2001,9,599.300367024531
2001,10,1464.93151071793
2001,11,604.014099106845
2001,12,605.113908337904
2002,1,605.184406960892
2002,2,608.555386830706
2002,3,609.408306326012
2002,4,1130.09315976724
2002,5,1812.63775496338
2002,6,674.539221265529
2002,7,695.022271509234
2002,8,704.000939785745
2002,9,701.389051170223
2002,10,695.422913223009
2002,11,671.153676066118
2002,12,615.733780854884
2003,1,592.297422762351
2003,2,584.185159579918
2003,3,578.080436644561
2003,4,566.901349984955
2003,5,544.503672702658
2003,6,521.484638420009
2003,7,1775.38966699375
2003,8,2131.47540396423
2003,9,2104.58247939131
2003,10,1450.01656835915
2003,11,491.463407831392
2003,12,489.372080177842
2004,1,487.308105143299
2004,2,473.9555916491
2004,3,472.635430807021
2004,4,470.634827101083
2004,5,470.190126976142
2004,6,473.7705238251
2004,7,479.023721722749
2004,8,468.860021692044
2004,9,461.498523109985
2004,10,458.389155142636
2004,11,445.404114381112
2004,12,436.823073757383
2005,1,437.26202779397
2005,2,432.452289047281
2005,3,430.88825771969
2005,4,423.871225997077
2005,5,420.201611359313
2005,6,415.630669620305
2005,7,414.238653222073
2005,8,414.907608039413
2005,9,212.483343609863
2005,10,214.374052467772
2005,11,214.36504729165
2005,12,214.132420619015
2006,1,214.394713971836
2006,2,212.040904509614
2006,3,210.053358031171
2006,4,210.30960143704
2006,5,212.204294095855
2006,6,211.985642864654
2006,7,213.247127940145
2006,8,215.415376197789
2006,9,220.932326089986
2006,10,314.239241002115
2006,11,405.003540728866
2006,12,400.353279299691
2007,1,401.980470476532
2007,2,400.272155319995
2007,3,398.842740192192
2007,4,397.936918826734
2007,5,398.519331442617
2007,6,399.175352922063
2007,7,400.028426731566
2007,8,399.47767256209
2007,9,398.972597975645
2007,10,402.502334389729
2007,11,402.625206205708
2007,12,402.334050761267
2008,1,401.466520313057
2008,2,399.758256875152
2008,3,399.190976495718
2008,4,398.42553052319
2008,5,397.130551164434
2008,6,397.025561973576
2008,7,397.298885600746
2008,8,394.053198933326
2008,9,391.526652883847
2008,10,390.757656116525
2008,11,409.297346952695
2008,12,417.2714991631
2009,1,416.413529483131
2009,2,409.665487568992
2009,3,402.871178019002
2009,4,393.385838150852
2009,5,392.457051733226
2009,6,356.206359975623
2009,7,232.457435786635
2009,8,233.436680032754
2009,9,234.28464636115
2009,10,233.661691558867
2009,11,232.25586482495
2009,12,231.914274371534
2010,1,231.864290414275
2010,2,232.02169200401
2010,3,232.657259587568
2010,4,233.580900385355
2010,5,234.429907382039
2010,6,234.425343900578
2010,7,234.29591054419
2010,8,233.749244062733
2010,9,233.779301903561
2010,10,234.548532912846
2010,11,234.742277997274
2010,12,234.156445322632
2011,1,233.820866756267
2011,2,230.012053531838
2011,3,228.543412563088
2011,4,228.067068915985
2011,5,228.944048083113
2011,6,228.528490408642
2011,7,228.513540081536
2011,8,227.792186063837
2011,9,229.938467434209
2011,10,230.350760407276
2011,11,230.976407407415
2011,12,233.704366997886
2012,1,236.10709914865
2012,2,236.429545817846
2012,3,259.937130138612
2012,4,350.255441323175
2012,5,351.17495578564
2012,6,329.149625291132
2012,7,236.881834159345
2012,8,236.709242187798
2012,9,322.611273466058
2012,10,350.301845804393
2012,11,349.840639161364
2012,12,349.814220633394
2013,1,349.787030824553
2013,2,348.596844127728
2013,3,348.461870001535
2013,4,347.909572390037
2013,5,347.757760711932
2013,6,347.19684298825
2013,7,345.560373773558
2013,8,343.588281916692
2013,9,344.35054410343
2013,10,346.16298463895
2013,11,233.455989224352
2013,12,234.571671292919
2014,1,239.313517137765
2014,2,239.080766449071
2014,3,239.195207829236
2014,4,241.161214084418
2014,5,344.812778187189
2014,6,342.901328102821
