Year,Month,Concentration
1986,1,29603.3988565787
1986,2,29603.3988565787
1986,3,29603.3988565787
1986,4,29603.3988565787
1986,5,29603.3988565787
1986,6,29603.3988565787
1986,7,29603.3988565787
1986,8,29550.1494115519
1986,9,29550.1494115519
1986,10,29550.1494115519
1986,11,29550.1494115519
1986,12,29550.1494115519
1987,1,29550.1494115519
1987,2,29550.1494115519
1987,3,29701.1817562749
1987,4,29723.2714998691
1987,5,29745.3612434632
1987,6,29745.3612434632
1987,7,29745.3612434632
1987,8,29787.1338778182
1987,9,29949.1511577746
1987,10,29759.1899000056
1987,11,29679.2784424579
1987,12,29679.2784424579
1988,1,29497.423656866
1988,2,29376.187133138
1988,3,29376.187133138
1988,4,29333.0744333422
1988,5,29064.3177096544
1988,6,28814.4697429366
1988,7,28814.4697429366
1988,8,28711.5369555311
1988,9,28026.8707529298
1988,10,27802.6898244722
1988,11,27131.3320444145
1988,12,26895.7062605093
1989,1,26892.8955978831
1989,2,26891.2507270876
1989,3,26884.3348780953
1989,4,26373.1720582454
1989,5,26248.5110320509
1989,6,26044.7951393813
1989,7,25753.8667234494
1989,8,25519.6737545701
1989,9,25459.8228300291
1989,10,25317.6513224574
1989,11,25069.592743605
1989,12,25025.9537403161
1990,1,24980.2795350912
1990,2,24963.0630607652
1990,3,24908.3704622006
1990,4,24867.5259447743
1990,5,24656.1722358258
1990,6,24381.5252435005
1990,7,23837.1362919772
1990,8,23381.8872470469
1990,9,23381.8872470469
1990,10,23387.5743660091
1990,11,23529.3250678638
1990,12,23552.331739889
1991,1,23548.05685854
1991,2,23650.936741638
1991,3,23702.7038868015
1991,4,23718.9659642199
1991,5,24485.1930839867
1991,6,24670.6668946853
1991,7,24772.6721388826
1991,8,25075.1908135596
1991,9,25047.0440652444
1991,10,25108.9098415202
1991,11,25693.9769405352
1991,12,25709.3251369219
1992,1,25999.2305091506
1992,2,26153.969421867
1992,3,26080.2653010373
1992,4,26097.8155650157
1992,5,26038.1842954474
1992,6,25973.111825115
1992,7,25728.8280708431
1992,8,25536.5996729441
1992,9,25463.6973375609
1992,10,25425.1990306709
1992,11,24185.2952749196
1992,12,23790.356085422
1993,1,23637.9874145574
1993,2,23536.4083006476
1993,3,22572.1948827022
1993,4,22557.3234551537
1993,5,22351.1653551177
1993,6,22226.0591950445
1993,7,22136.9134281138
1993,8,21679.646355383
1993,9,21535.6189565405
1993,10,21465.7676567892
1993,11,21186.3624577838
1993,12,21121.3879283846
1994,1,21026.0104559608
1994,2,20962.0380375409
1994,3,20704.832902063
1994,4,20083.3901415384
1994,5,20054.768882403
1994,6,19911.5105003196
1994,7,19473.9229223619
1994,8,19425.8883322728
1994,9,19181.766122735
1994,10,16626.1405809476
1994,11,15598.2282710843
1994,12,15534.965123224
1995,1,15534.965123224
1995,2,15534.965123224
1995,3,15531.4998724883
1995,4,15425.5117601337
1995,5,15363.5678243504
1995,6,15309.9288811268
1995,7,15306.154424375
1995,8,15291.4426960705
1995,9,15291.4426960705
1995,10,15284.8047071646
1995,11,15284.8047071646
1995,12,15277.3222654134
1996,1,15253.8216687784
1996,2,15208.6283620849
1996,3,15175.4005915475
1996,4,15201.1134490059
1996,5,15201.1134490059
1996,6,15189.5577871666
1996,7,15188.8646963229
1996,8,15160.1351855721
1996,9,15153.0712942823
1996,10,15131.7647531482
1996,11,15067.8451297461
1996,12,15078.2949493335
1997,1,15069.127843758
1997,2,15030.0457866716
1997,3,14967.3965768472
1997,4,14899.2305243681
1997,5,14883.1378024544
1997,6,14879.9438079784
1997,7,14879.9438079784
1997,8,14831.9378190658
1997,9,14817.4906653094
1997,10,14802.7034014565
1997,11,14758.8351316052
1997,12,14772.5379225346
1998,1,14749.5286181159
1998,2,14714.6793796209
1998,3,14670.7115308191
1998,4,14637.5530537602
1998,5,14574.2436692736
1998,6,14558.6932102901
1998,7,14518.5277408601
1998,8,14382.9883008444
1998,9,14223.4541763626
1998,10,14004.9508306935
1998,11,13795.965717102
1998,12,13560.8902961154
1999,1,13530.6954271151
1999,2,13465.0953267021
1999,3,13386.8777508287
1999,4,13115.6546205272
1999,5,12898.51140946
1999,6,12579.7436423556
1999,7,12513.1898042094
1999,8,12469.6830842479
1999,9,12459.1676503976
1999,10,12636.0827125462
1999,11,12562.3651281946
1999,12,12471.7996354134
2000,1,12358.6289884311
2000,2,11654.7656962287
2000,3,11344.5418037031
2000,4,11340.4556089551
2000,5,11246.8827709166
2000,6,10856.9998427454
2000,7,10667.5217515326
2000,8,10650.6768624441
2000,9,10640.756214756
2000,10,10665.6720157897
2000,11,10662.2808606663
2000,12,10660.4428229892
2001,1,10669.3909191571
2001,2,10686.7359700814
2001,3,10650.5240134731
2001,4,10637.4029835462
2001,5,10647.8024161781
2001,6,10622.288100259
2001,7,10481.836294899
2001,8,10458.9643889466
2001,9,10587.7483591705
2001,10,10834.4278663973
2001,11,10747.0098154434
2001,12,10692.0193445283
2002,1,10747.0748164969
2002,2,10830.7832414382
2002,3,10895.5710667681
2002,4,11060.1975908858
2002,5,11206.3532510162
2002,6,11483.2348753905
2002,7,11619.7108589153
2002,8,11659.7856501634
2002,9,11694.5100694879
2002,10,11717.7701096892
2002,11,11781.4011102061
2002,12,11810.8399090157
2003,1,11847.7100982498
2003,2,11909.9173885981
2003,3,11995.2913966191
2003,4,12124.6944658024
2003,5,12146.5730493059
2003,6,12175.9599679738
2003,7,12272.1262189015
2003,8,12381.1510399861
2003,9,12461.9571741117
2003,10,12550.5756070094
2003,11,12558.006446084
2003,12,12600.5352068426
2004,1,12634.8671368113
2004,2,12666.6440185773
2004,3,12704.5455162066
2004,4,12726.729888923
2004,5,12812.0969728686
2004,6,12824.394804555
2004,7,12864.8900722179
2004,8,12879.2971626335
2004,9,12896.2008234346
2004,10,12878.3970962342
2004,11,12813.8072121981
2004,12,12810.5336000983
2005,1,12801.9899178729
2005,2,12805.8158911967
2005,3,12881.1089871821
2005,4,13103.5041246187
2005,5,13400.7523647042
2005,6,13669.9928308304
2005,7,13948.0394193709
2005,8,14163.6857346687
2005,9,14324.9848868703
2005,10,14325.0539972779
2005,11,14318.3188716075
2005,12,14312.5701038372
2006,1,14344.2783683871
