Year,Month,Concentration
1986,1,0
1986,2,0
1986,3,0
1986,4,0
1986,5,0
1986,6,0
1986,7,0
1986,8,0
1986,9,0
1986,10,0
1986,11,0
1986,12,0
1987,1,0
1987,2,0
1987,3,0
1987,4,0
1987,5,0
1987,6,0
1987,7,0
1987,8,0
1987,9,0
1987,10,0
1987,11,0
1987,12,0
1988,1,0
1988,2,0
1988,3,0
1988,4,0
1988,5,0
1988,6,0
1988,7,0
1988,8,0
1988,9,0
1988,10,0
1988,11,0
1988,12,0
1989,1,0
1989,2,0
1989,3,0
1989,4,0
1989,5,0
1989,6,0
1989,7,0
1989,8,0
1989,9,0
1989,10,0
1989,11,0
1989,12,0
1990,1,0
1990,2,0
1990,3,0
1990,4,0
1990,5,0
1990,6,0
1990,7,0
1990,8,0
1990,9,0
1990,10,0
1990,11,0
1990,12,0
1991,1,0
1991,2,0
1991,3,0
1991,4,0
1991,5,0
1991,6,0
1991,7,0
1991,8,0
1991,9,0
1991,10,0
1991,11,0
1991,12,0
1992,1,0
1992,2,0
1992,3,0
1992,4,0
1992,5,0
1992,6,0
1992,7,0
1992,8,0
1992,9,0
1992,10,0
1992,11,0
1992,12,0
1993,1,0
1993,2,0
1993,3,0
1993,4,0
1993,5,0
1993,6,0
1993,7,0
1993,8,0
1993,9,0
1993,10,0
1993,11,0
1993,12,0
1994,1,0
1994,2,0
1994,3,0
1994,4,0
1994,5,0
1994,6,0
1994,7,0
1994,8,0
1994,9,0
1994,10,0
1994,11,0
1994,12,0
1995,1,0
1995,2,0
1995,3,0
1995,4,0
1995,5,0
1995,6,0
1995,7,0
1995,8,0
1995,9,0
1995,10,1.54312102549641
1995,11,1.54094282987015
1995,12,1.54399562220365
1996,1,1.56327584078327
1996,2,1.4526576656018
1996,3,1.42766366887985
1996,4,1.43634267107189
1996,5,1.43601049454554
1996,6,1.43933481626879
1996,7,1.44009327887392
1996,8,1.44030987933862
1996,9,1.43867402899402
1996,10,1.44099174969498
1996,11,1.48467932297775
1996,12,1.55846918898041
1997,1,1.64706335415235
1997,2,1.67203529923833
1997,3,1.64038787344919
1997,4,1.53733999059795
1997,5,1.49998634628682
1997,6,1.49759677407648
1997,7,1.49321179603438
1997,8,1.54508604333929
1997,9,1.84514135363587
1997,10,1.84674350479249
1997,11,2.12173793241958
1997,12,1.96380753586964
1998,1,2.0512873204009
1998,2,2.10446491367167
1998,3,1.98623232168893
1998,4,1.92122256364265
1998,5,2.08959999693241
1998,6,2.02291960493884
1998,7,2.35395325555328
1998,8,2.67484366749049
1998,9,10.229251428643
1998,10,17.9022371645108
1998,11,18.0334461173885
1998,12,18.8201661104515
1999,1,19.7020129600109
1999,2,21.3373134655163
1999,3,24.3496120125844
1999,4,29.3037705181953
1999,5,30.3614661556966
1999,6,31.5894992395356
1999,7,31.8104869110512
1999,8,31.7209336688398
1999,9,31.8374669583428
1999,10,30.0371599716033
1999,11,28.3899851257618
1999,12,28.1358654281356
2000,1,26.2897298277289
2000,2,24.2351407111291
2000,3,20.9748881049825
2000,4,18.2404167046053
2000,5,16.8208992691543
2000,6,16.7426920212705
2000,7,16.8996688548493
2000,8,17.0392132464201
2000,9,17.2355390323398
2000,10,17.8549340326329
2000,11,18.0348847087113
2000,12,18.3236180103619
2001,1,18.3118603496706
2001,2,18.3536352316888
2001,3,18.6877831196351
2001,4,18.8675997451037
2001,5,18.9093308789107
2001,6,19.0542480003226
2001,7,18.6874647726031
2001,8,18.0446834444059
2001,9,16.6388746008268
2001,10,16.4403237433763
2001,11,16.3230058200347
2001,12,16.2346245235306
2002,1,15.8806509808388
2002,2,15.384397612432
2002,3,14.602422503064
2002,4,14.2429038675283
2002,5,14.1933399019814
2002,6,14.1664060856956
2002,7,14.0346457862795
2002,8,13.789675772744
2002,9,13.5784129809573
2002,10,13.2528230661959
2002,11,13.0387286887442
2002,12,12.9929369677987
2003,1,12.730728828368
2003,2,12.1490401353885
2003,3,12.1135341791813
2003,4,12.0330717871423
2003,5,11.9770939785422
2003,6,11.9566024023157
2003,7,6.64337329313576
2003,8,4.89039401818897
2003,9,4.91949972936544
2003,10,4.99061806872923
2003,11,4.99388510430642
2003,12,5.0078086779296
2004,1,5.06167179502191
2004,2,5.11615757984541
2004,3,5.2059011979515
2004,4,5.1035400312886
2004,5,5.08772215643515
2004,6,5.16611811916509
2004,7,5.20917781609153
2004,8,5.23340506763725
2004,9,5.26846752783263
2004,10,5.29711086857249
2004,11,5.26533680160665
2004,12,5.27137002921455
2005,1,5.28056840863673
2005,2,5.29207709511579
2005,3,5.29686583674547
2005,4,5.30193169841414
2005,5,5.32774836719876
2005,6,5.31618626362209
2005,7,5.29854556220624
2005,8,5.19421893519037
2005,9,5.11409960245663
2005,10,5.06999878905088
2005,11,5.0642493111833
2005,12,5.09420657571271
2006,1,5.17484216787269
2006,2,5.25325175145945
2006,3,5.34789680877178
2006,4,5.41196834653071
2006,5,5.47335506809789
