Year,Month,Concentration
1986,1,3.12290417927308
1986,2,3.12290417927308
1986,3,3.12290417927308
1986,4,3.12290417927308
1986,5,3.12518876699718
1986,6,3.12861564858332
1986,7,3.12861564858332
1986,8,3.12861564858332
1986,9,3.12861564858332
1986,10,3.12861564858332
1986,11,3.12861564858332
1986,12,3.12861564858332
1987,1,3.12861564858332
1987,2,3.13588636315662
1987,3,3.18158360460387
1987,4,3.19681601841962
1987,5,3.19681601841962
1987,6,3.19681601841962
1987,7,3.19681601841962
1987,8,3.19681601841962
1987,9,3.19681601841962
1987,10,3.20521911916689
1987,11,3.21082118633174
1987,12,3.21082118633174
1988,1,3.19748627903921
1988,2,3.16698637805832
1988,3,3.16698637805832
1988,4,3.16380383556546
1988,5,3.15251747549437
1988,6,3.14272972047865
1988,7,3.13795664874328
1988,8,3.12130705235441
1988,9,3.10749705562732
1988,10,3.10749705562732
1988,11,3.10749705562732
1988,12,3.10708782203028
1989,1,3.10708782203028
1989,2,3.10846426570381
1989,3,3.11292054175043
1989,4,3.11579244523058
1989,5,3.11915442324
1989,6,3.12348809549261
1989,7,3.12899809698546
1989,8,3.12946948960289
1989,9,3.13066313461657
1989,10,3.13268936749287
1989,11,3.13339666356019
1989,12,3.13339666356019
1990,1,3.13348411990551
1990,2,3.13252747241261
1990,3,3.13368418600807
1990,4,3.13465000402257
1990,5,3.13425837277822
1990,6,3.13418996176821
1990,7,3.13113025323924
1990,8,3.08513648539161
1990,9,3.07094753853322
1990,10,3.06674268399526
1990,11,3.05339044454383
1990,12,3.05360521784732
1991,1,3.05701241143506
1991,2,3.05777695711591
1991,3,3.05777695711591
1991,4,3.05777695711591
1991,5,3.0672351536722
1991,6,3.06739279490315
1991,7,3.06764185423218
1991,8,3.06312907832629
1991,9,3.05979784214537
1991,10,3.05979784214537
1991,11,3.05979784214537
1991,12,3.05979784214537
1992,1,3.0606832202174
1992,2,3.06247038785386
1992,3,3.06440639490348
1992,4,3.07615485557363
1992,5,3.08170016577924
1992,6,3.08635177971596
1992,7,3.08771798076837
1992,8,3.08976728234697
1992,9,3.08976728234697
1992,10,3.08976728234697
1992,11,3.08994649292495
1992,12,3.0904841246589
1993,1,3.08774176448322
1993,2,3.08705617443931
1993,3,3.0882262929007
1993,4,3.0882262929007
1993,5,3.08820847902355
1993,6,3.08692894939356
1993,7,3.04817713099425
1993,8,3.04377404458091
1993,9,3.04461622970301
1993,10,3.04461622970301
1993,11,3.04455198640289
1993,12,3.0443592565025
1994,1,3.04289698671262
1994,2,3.04289698671262
1994,3,3.0096975526938
1994,4,2.97323146705147
1994,5,2.97235520084381
1994,6,2.96266991562356
1994,7,2.9621016161679
1994,8,2.96613392736691
1994,9,3.01014607974324
1994,10,3.02864254111348
1994,11,3.04721257564456
1994,12,3.04807496827463
1995,1,3.04829056643214
1995,2,3.04643227419081
1995,3,3.04270611617912
1995,4,3.03523465309769
1995,5,2.99488882235922
1995,6,2.98196804677216
1995,7,2.98129433066754
1995,8,2.98106975863267
1995,9,30.1623967124988
1995,10,30.9614678151193
1995,11,31.2676047002184
1995,12,31.3619495564603
1996,1,33.4570660872883
1996,2,34.3146321129792
1996,3,34.9477743175917
1996,4,34.7771839621261
1996,5,34.7790031011105
1996,6,34.8496048812736
1996,7,34.8821161378489
1996,8,35.0333214554764
