Year,Month,Concentration
1986,1,2.08074581350751
1986,2,2.08074581350751
1986,3,2.08074581350751
1986,4,2.08074581350751
1986,5,2.08074581350751
1986,6,2.08074581350751
1986,7,2.08074581350751
1986,8,2.08074581350751
1986,9,2.08136652844245
1986,10,2.08277541736167
1986,11,2.08312763959148
1986,12,2.08312763959148
1987,1,2.08312763959148
1987,2,2.08312763959148
1987,3,2.08450436138352
1987,4,2.08496326864754
1987,5,2.08503152195263
1987,6,2.08507702415603
1987,7,2.08507702415603
1987,8,2.08507702415603
1987,9,2.08507702415603
1987,10,2.08788515955696
1987,11,2.08983205738343
1987,12,2.08983205738343
1988,1,2.07984572108794
1988,2,2.06555083286116
1988,3,2.06555083286116
1988,4,2.06032187714241
1988,5,2.05398033844429
1988,6,2.0496497504386
1988,7,2.0496497504386
1988,8,2.04794056018921
1988,9,2.04645226865829
1988,10,2.04645226865829
1988,11,2.04649832172242
1988,12,2.04476433382673
1989,1,2.0444677417015
1989,2,2.04554031965156
1989,3,2.04653573627169
1989,4,2.04971831944361
1989,5,2.05012140110358
1989,6,2.0504294158455
1989,7,2.05065589816051
1989,8,2.05067240027971
1989,9,2.05067240027971
1989,10,2.05288060115921
1989,11,2.0521761260065
1989,12,2.0521761260065
1990,1,2.0521761260065
1990,2,2.05214113903382
1990,3,2.05214113903382
1990,4,2.05210887442308
1990,5,2.05010339060903
1990,6,2.04977513626101
1990,7,2.04592396659211
1990,8,2.02185286250146
1990,9,2.0014627645171
1990,10,1.99822443400442
1990,11,1.99002349115385
1990,12,1.99148248799403
1991,1,1.99037261114433
1991,2,1.9855582747703
1991,3,1.98511837054472
1991,4,1.98420227728903
1991,5,1.97856587801971
1991,6,1.97825740422372
1991,7,1.97825740422372
1991,8,1.97800047749156
1991,9,1.97780716185282
1991,10,1.97780716185282
1991,11,1.97787213068275
1991,12,1.97788837289023
1992,1,1.97788837289023
1992,2,1.98093434654085
1992,3,1.98209966419452
1992,4,1.98455912656504
1992,5,1.98525422437434
1992,6,1.98525422437434
1992,7,1.98527568132066
1992,8,1.98536150910597
1992,9,1.98233408458529
1992,10,1.9813590138161
1992,11,1.98166229157936
1992,12,1.98206679202367
1993,1,1.98108916589311
1993,2,1.98085860650166
1993,3,1.98085860650166
1993,4,1.9792566597725
1993,5,1.97930775819409
1993,6,1.97738904294953
1993,7,1.96077238271615
1993,8,1.96004126020304
1993,9,1.96105172301633
1993,10,1.96105172301633
1993,11,1.95804409744398
1993,12,1.95485996876352
1994,1,1.95471212841421
1994,2,1.9536566738279
1994,3,1.92675492810424
1994,4,1.88509064612013
1994,5,1.87966477073654
1994,6,1.84480070527798
1994,7,1.83323763158339
1994,8,1.83310533872122
1994,9,1.83812012138797
1994,10,1.83887689093542
1994,11,1.83778395638225
1994,12,1.83018963837187
1995,1,1.82250094077658
1995,2,1.8217752897273
1995,3,1.82078062104361
1995,4,1.82168396827564
1995,5,1.82045860464756
1995,6,1.82208467413957
1995,7,1.82485294743309
1995,8,1.82709984096427
1995,9,1.87900611622898
1995,10,1.92763769900122
1995,11,1.93607280435974
1995,12,2.05786776381273
1996,1,2.24238207396676
1996,2,2.36140453214331
1996,3,2.53567729318057
1996,4,2.61762630477251
1996,5,2.61534657138292
1996,6,2.61752685317167
1996,7,2.65677169679361
1996,8,2.66028931585859
1996,9,2.69456441200094
1996,10,2.67129899142511
1996,11,3.126639007501
1996,12,3.3466556589211
1997,1,3.39462793828285
1997,2,3.42705894343505
1997,3,3.42414376048589
1997,4,3.42535569180857
1997,5,3.26160518741983
1997,6,2.74475963941203
1997,7,2.77627899057001
1997,8,2.83038968091565
1997,9,2.85652040532685
1997,10,2.81205475162618
1997,11,2.79865803791187
1997,12,2.7545083504545
1998,1,2.70997757938283
1998,2,3.13518405390034
1998,3,2.63383208077435
1998,4,2.62128605371224
1998,5,2.48833168189165
1998,6,2.45451049163597
1998,7,2.31821237049503
1998,8,2.25754354388044
1998,9,2.23045119501659
1998,10,2.24386673393668
1998,11,2.33465768126999
1998,12,2.26947244676989
1999,1,2.21026494195548
1999,2,2.17215841340276
1999,3,2.70515676856066
1999,4,3.06512049775739
1999,5,3.08152003240325
