Year,Month,Concentration
1986,1,11790.7748764116
1986,2,11790.7748764116
1986,3,11790.7748764116
1986,4,11790.7748764116
1986,5,11790.7748764116
1986,6,11790.7748764116
1986,7,11790.7748764116
1986,8,11790.7748764116
1986,9,11790.7748764116
1986,10,11790.7748764116
1986,11,11790.7748764116
1986,12,11793.4233424934
1987,1,11804.5267729284
1987,2,11821.1819185809
1987,3,11821.1819185809
1987,4,11822.7300094463
1987,5,11824.2781003117
1987,6,11830.4347948776
1987,7,11830.4347948776
1987,8,11854.4744619272
1987,9,11906.3650157422
1987,10,11905.473234086
1987,11,11900.9125939874
1987,12,11900.9125939874
1988,1,11882.6202905788
1988,2,11870.4254216397
1988,3,11870.4254216397
1988,4,11885.6778611018
1988,5,11902.9927735807
1988,6,11903.1865727266
1988,7,11894.8563011936
1988,8,11880.1545303701
1988,9,11875.0960495913
1988,10,11874.8808065737
1988,11,11809.8600339008
1988,12,11644.3771690829
1989,1,11598.5283301551
1989,2,11536.8459663504
1989,3,11472.5851871131
1989,4,11441.1089447096
1989,5,11433.4710661043
1989,6,11395.269754777
1989,7,11300.3465418601
1989,8,11120.7268135583
1989,9,10988.4266957172
1989,10,10887.8545225086
1989,11,10767.2337993745
1989,12,10691.2195657018
1990,1,10156.9776612541
1990,2,9765.62758235709
1990,3,9726.79174790612
1990,4,9723.39785103193
1990,5,9682.00714054009
1990,6,9419.87922639018
1990,7,8843.31118583021
1990,8,8475.83006843686
1990,9,8446.49521865162
1990,10,8365.1935552116
1990,11,7837.47208106626
1990,12,7801.00400477872
1991,1,7651.88444192148
1991,2,7333.64464691669
1991,3,7286.45908850212
1991,4,7236.47315136443
1991,5,6966.64630061336
1991,6,6918.79845432233
1991,7,6892.81817477948
1991,8,6812.76672629111
1991,9,6811.20966089319
1991,10,6809.57944524121
1991,11,6577.77891222236
1991,12,6562.5442828725
1992,1,6560.16214822539
1992,2,6549.43240792262
1992,3,6547.60598382072
1992,4,6548.69223379957
1992,5,6516.73045076606
1992,6,6464.52005066189
1992,7,6420.3742151325
1992,8,6338.96426308249
1992,9,6311.83078153073
1992,10,6295.06247270032
1992,11,6274.31479863416
1992,12,6274.31479863416
1993,1,6275.86210622709
1993,2,6276.58741505452
1993,3,6239.91379992308
1993,4,6260.55653208064
1993,5,6249.74901610762
1993,6,6224.89164802576
1993,7,6217.33991500222
1993,8,6193.98294693501
1993,9,6190.30312126622
1993,10,6177.7842038476
1993,11,6171.88211250252
1993,12,6175.45147932583
1994,1,6161.45248667847
1994,2,6143.77599377261
1994,3,6138.47956300606
1994,4,6125.36519088569
1994,5,6092.07719967059
1994,6,5993.22163695272
1994,7,5696.60000098537
1994,8,5627.2339097892
1994,9,5360.81978358568
1994,10,5161.25168399635
1994,11,5123.44742995088
1994,12,4934.03186824488
1995,1,4751.65598125653
1995,2,4681.76047559911
1995,3,4587.21886323956
1995,4,4351.16232260977
1995,5,4257.44161062522
1995,6,4203.85319387256
1995,7,4171.13379214303
1995,8,4140.82109450495
1995,9,4132.73834173797
1995,10,4042.18680872808
1995,11,3935.46297375541
1995,12,4014.68295315412
1996,1,4148.89187984124
1996,2,4178.03906919001
1996,3,4170.42114464789
1996,4,4162.73329568335
1996,5,4168.53477977024
1996,6,4169.23747515769
1996,7,4170.50502272544
1996,8,4173.38603194093
1996,9,4170.63444036502
1996,10,4167.30981458676
1996,11,4167.40677928659
1996,12,4166.22187791319
1997,1,4137.45276137272
1997,2,4136.41613527576
1997,3,3772.99221086626
1997,4,3616.42656625934
1997,5,3606.65567979853
1997,6,3606.64529700298
1997,7,3619.92094202858
1997,8,3622.98693800264
1997,9,3624.32947255952
1997,10,3546.32962741667
1997,11,3520.10341895871
1997,12,3521.96663325518
1998,1,3528.81877510361
1998,2,3545.77392393697
1998,3,3348.93907287469
1998,4,3541.07513867786
1998,5,3279.96125619869
1998,6,3295.67251307275
1998,7,3297.05627730218
1998,8,3289.36386427822
1998,9,3287.87425193736
1998,10,3280.14271446559
1998,11,3287.546437775
1998,12,3268.08583535834
1999,1,3231.82668777427
1999,2,3230.60178489347
1999,3,3254.5111209455
1999,4,3249.45152018612
1999,5,3234.34444310387
1999,6,3175.92465703029
1999,7,3186.56470402878
1999,8,3226.39475941129
1999,9,3230.38642521569
1999,10,3170.18718120612
1999,11,3146.63204127102
1999,12,3087.94565937884
2000,1,2959.27693019069
2000,2,2649.66081235173
2000,3,2571.65154866446
2000,4,2566.84304521884
2000,5,2513.0441095948
2000,6,2256.54037443061
2000,7,2176.90960654796
2000,8,2155.50057244413
2000,9,2159.25069176195
2000,10,2160.8180861842
2000,11,2160.88591376711
2000,12,2158.43317028704
2001,1,2150.93148179338
2001,2,2148.20964247153
2001,3,2143.40788808759
2001,4,2136.97617733538
2001,5,2145.00494908615
2001,6,2128.19358777701
2001,7,2030.4751665596
2001,8,1994.51592020268
2001,9,1920.91555553143
2001,10,1745.20481979415
2001,11,1736.27728007873
2001,12,1733.54858751967
2002,1,1731.91470124343
2002,2,1730.11664898784
2002,3,1728.77951353168
2002,4,1702.74864634351
2002,5,1657.54501856861
2002,6,1644.43933320152
2002,7,1643.99070306193
2002,8,1638.78729918278
2002,9,1637.27108107648
2002,10,1636.90519287409
2002,11,1626.5053057088
2002,12,1624.44839919599
2003,1,1643.95297186711
2003,2,1658.27535227378
2003,3,1670.57312497798
2003,4,1657.60139819226
2003,5,1622.91343216153
2003,6,1610.79093492718
2003,7,1594.08009927656
2003,8,1584.47790172851
2003,9,1590.85213458816
2003,10,1572.80996741184
2003,11,1581.31152607849
2003,12,1575.86808241008
2004,1,1413.59133703411
2004,2,791.516089015634
2004,3,791.503969583452
2004,4,794.401474312305
2004,5,796.509142345169
2004,6,801.744069315671
2004,7,812.957908018445
2004,8,815.770837716483
2004,9,816.070921924761
2004,10,816.375651950132
2004,11,819.907592555414
2004,12,821.940450178131
2005,1,820.719406245871
2005,2,822.992044983303
2005,3,823.188714885956
2005,4,823.410400062586
2005,5,827.694031806226
2005,6,827.962381478264
2005,7,828.758104578878
2005,8,824.933250329815
2005,9,820.990842093711
2005,10,816.338826099454
2005,11,809.238975648523
2005,12,799.801285949222
2006,1,789.419224314346
2006,2,785.868411587806
2006,3,783.474993772699
2006,4,772.180164871931
2006,5,752.534252762626
2006,6,741.776986000956
2006,7,730.499826669523
2006,8,728.087704719916
2006,9,721.985341566923
2006,10,721.029383093113
2006,11,728.450307426003
2006,12,744.863924233041
2007,1,766.370639842541
2007,2,766.901102090541
2007,3,773.630634156246
2007,4,780.064297736141
2007,5,780.784948914918
2007,6,782.37403754012
2007,7,783.511979620193
2007,8,786.562739318829
2007,9,787.274781781779
2007,10,787.327359299316
2007,11,787.834768284776
2007,12,788.122481073362
2008,1,788.328713144374
2008,2,788.519211662301
2008,3,783.006437736855
2008,4,783.12313029255
2008,5,783.391811352304
2008,6,783.990906561388
2008,7,784.045796360603
2008,8,784.092213941283
2008,9,782.346830679921
2008,10,782.085216718789
2008,11,780.081594725188
2008,12,779.858156645287
2009,1,779.060658379493
2009,2,773.148103614515
2009,3,770.499839449858
2009,4,769.225119830599
2009,5,767.55462988185
2009,6,761.184393169539
2009,7,747.971737662604
2009,8,738.36430183915
2009,9,738.415387132255
2009,10,738.749619080061
2009,11,736.491787542413
2009,12,730.387361479084
2010,1,720.654003023298
2010,2,714.299463204706
2010,3,706.441720816465
2010,4,700.846172765092
2010,5,696.777515189182
2010,6,693.827550176145
2010,7,689.564012391016
2010,8,687.226691800924
2010,9,688.063850180738
2010,10,688.183846500738
2010,11,688.154464078228
2010,12,688.703806099898
2011,1,688.707469548863
2011,2,688.298892138298
2011,3,686.434295592138
2011,4,686.38800140273
2011,5,686.042883727519
2011,6,685.688153540833
2011,7,685.242419826142
2011,8,684.314016240906
2011,9,683.260348739576
2011,10,682.938903243365
2011,11,682.903761871434
2011,12,682.530573841482
2012,1,682.409062915147
2012,2,681.783323684542
2012,3,680.846500594743
2012,4,680.633594627485
2012,5,680.361719064215
2012,6,680.392495179989
2012,7,679.124933897404
2012,8,678.861271296188
2012,9,678.988997443751
2012,10,678.877106834631
2012,11,679.479949101242
2012,12,680.69765553198
2013,1,682.526246629967
2013,2,680.726384086156
2013,3,678.474023461996
2013,4,679.239933021055
2013,5,678.337335251319
2013,6,677.93873500977
2013,7,677.040782821514
2013,8,673.884258683161
2013,9,672.546210035046
2013,10,670.840348376009
2013,11,670.075571007258
2013,12,649.761905248067
2014,1,599.344149667648
2014,2,589.386904606665
2014,3,576.700160119278
2014,4,556.105522001047
2014,5,541.154844165076
2014,6,517.036611942104
2014,7,512.72134722189
2014,8,512.786198078178
2014,9,511.15315963807
2014,10,510.677955095518
2014,11,512.556760519385
2014,12,524.505751884379
2015,1,538.912949449249
2015,2,546.44866189424
2015,3,566.888438211172
2015,4,574.840152600712
2015,5,585.14320865076
2015,6,591.298338946882
2015,7,642.44200048668
2015,8,695.775676752156
2015,9,698.201996499381
2015,10,697.889387819669
2015,11,701.588238193371
2015,12,701.666829373637
